symbol,horizon,model,control_seed,adverse_before_fill,bin,day,eligible_decisions,fill_before_adverse,fill_probability,fills,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions
KGHM,10,linear,,0.04512820512820513,1,all,8775,0.012193732193732194,0.014017094017094018,123,retain,0,0.5081626616559264,0.23431965212943065,123,123,0.6509679645634702,123,0.5613582311016763,123,7.056910569105691,139.6777207977208,7.0,137.0,0.9425641025641025,8775,90.0,200.0,0.00011396011396011396,7.90145602028981,7.353563753051306,123,123,8.187079656865318,123,8.007800711587299,123,0.9859829059829059,0
KGHM,10,linear,,0.03024747937671861,2,all,8728,0.008707607699358386,0.010540788267644362,92,retain,0,-0.07387150237238566,-0.07296766367989056,92,92,0.1694101532277957,92,0.09577028678345646,92,7.673913043478261,284.698670944088,8.0,285.0,0.961044912923923,8728,231.0,346.0,0.0,3.331104106849628,3.3329213764206305,92,92,3.817621538820547,92,3.6704189039726947,92,0.9894592117323556,0
KGHM,10,linear,,0.030442597169175467,3,all,8902,0.0029206919793304874,0.00471804088968771,42,retain,0,0.6880465881046514,0.16002369661690885,42,42,0.05385193641809885,42,0.21244213873491372,42,8.0,433.00280835767245,8.0,430.0,0.966636710851494,8902,374.0,500.0,0.0,2.6498955306365115,1.5936610593497793,42,42,1.381364871660457,42,1.6986862041318924,42,0.9952819591103123,0
KGHM,10,linear,,0.02927689594356261,4,all,8505,0.0012933568489124044,0.0015285126396237508,13,retain,0,0.6848789221197455,-0.1666213892197666,13,13,0.34513771972160695,13,0.6848789221197455,13,8.307692307692308,570.3365079365079,9.0,571.0,0.969429747207525,8505,512.0,626.0,0.0,3.7741593840208734,2.070854660495591,13,13,3.0943728783783375,13,3.7741593840208734,13,0.9984714873603763,0
KGHM,10,linear,,0.01896551724137931,5,all,8700,0.0016091954022988506,0.0021839080459770113,19,retain,0,0.23644638817206556,-0.1139117710398571,19,19,0.23644638817206556,19,0.2356123584225078,19,8.894736842105264,713.3721839080459,9.0,712.0,0.9794252873563218,8700,648.0,779.0,0.0,1.6401522904134505,0.9392285060454507,19,19,1.6401522904134505,19,1.6386918817752756,19,0.997816091954023,0
KGHM,10,linear,,0.017673521850899744,6,all,9336,0.001178234790059983,0.002035132819194516,19,retain,0,0.11546620953699883,-2.685844978851365,19,19,-1.2852411476785806,19,-0.11715489821916933,19,8.368421052631579,904.2393958868895,9.0,903.5,0.9810411311053985,9336,814.0,998.0,0.00010711225364181663,-0.001634409001571413,-5.6036357213821715,19,19,-2.8028421632072487,19,-0.4665660463859221,19,0.9979648671808055,0
KGHM,10,linear,,0.01757404448814059,7,all,8137,0.0004915816640039326,0.0004915816640039326,4,retain,0,1.1151133168005445,-0.5509477342025609,4,4,0.5576997159085559,4,0.560789591744986,4,7.5,1110.4198107410593,7.5,1113.0,0.9819343738478554,8137,1021.0,1187.0,0.0,3.3448053228568035,0.012931733378855226,4,4,2.230226633601089,4,2.236157872745687,4,0.999508418335996,0
KGHM,10,linear,,0.016505078485687903,8,all,8664,0.0017313019390581717,0.0025392428439519853,22,retain,0,0.30588523186090144,1.5182741810021638,22,22,0.10318937699108742,22,0.20392348790726764,22,7.590909090909091,1424.5019621421975,8.0,1410.0,0.9817636195752539,8664,1262.0,1615.0,0.0,5.276654946681109,7.700894006928954,22,22,4.871353605133577,22,5.072731458773842,22,0.997460757156048,0
KGHM,10,linear,,0.02945896377808345,9,all,8724,0.0009170105456212746,0.0009170105456212746,8,retain,0,-0.2774694783574438,-1.3873473917869035,8,8,-1.3873473917869035,8,-0.27951699463317836,8,8.875,2116.540004585053,9.0,2067.0,0.9696240256762952,8724,1728.0,2537.0,0.0,5.58089383906262,3.3606451712119463,8,8,3.3606451712119463,8,5.5766718896945395,8,0.9990829894543787,0
KGHM,10,linear,,0.012511478420569329,10,all,8712,0.000573921028466483,0.000573921028466483,5,retain,0,0.0,0.0,5,5,0.0,5,0.0,5,8.0,8767.719123048668,8.0,6434.0,0.9869146005509641,8712,3101.0,16884.0,0.0,0.0,0.0,5,5,0.0,5,0.0,5,0.9994260789715336,0
