symbol,horizon,model,control_seed,adverse_before_fill,day,eligible_decisions,excluded_invalid_placement,fill_before_adverse,fill_probability,fills,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions
KGHM,10,linear,,0.024798412534553754,all,87183,0,0.0031772249177018457,0.003980133741669821,347,retain,0,0.31459862752485934,-0.018538060477140822,347,347,0.21866988765626572,347,0.29518142798773805,347,7.648414985590778,1643.5609809251803,8.0,795.0,0.972001422295631,87183,210.0,2861.0,2.2940252113370725e-05,4.737593582658661,4.07119539682822,347,347,4.545708619678785,347,4.698776394324201,347,0.9960198662583302,0
KGHM,10,linear,,0.017415379119406982,2017-12-27,22394,0,0.0019201571849602572,0.002456015004018934,55,retain,0,0.08164250228588191,0.7278379189060196,55,55,0.4454489078726134,55,0.24331328908159264,55,7.909090909090909,3158.6020809145307,8.0,1126.0,0.9806644636956328,22394,336.0,14261.400000000038,0.0,2.185535959964703,3.477861269693483,55,55,2.9132085311275695,55,2.5088064440100113,55,0.9975439849959811,0
KGHM,10,linear,,0.021487603305785124,2017-12-28,35090,0,0.0030777999430037046,0.0040752351097178684,143,retain,0,0.2482341647281249,-0.5430388164515134,143,143,-0.0005476483325747413,143,0.2014552899609562,143,7.489510489510489,1164.1572242804218,8.0,717.0,0.9753776004559703,35090,215.0,2165.0,5.699629524080935e-05,3.0748793866128246,1.4924296366242233,143,143,2.577253543752879,143,2.9813490810680596,143,0.9959247648902821,0
KGHM,10,linear,,0.03427724839220176,2017-12-29,29699,0,0.0042425670898010035,0.005017003939526583,149,retain,0,0.46428121187436794,0.20933394783333878,149,149,0.3453494952703936,149,0.40427931642846143,149,7.704697986577181,1067.597057139971,8.0,668.0,0.9614801845179972,29699,160.0,2119.0,0.0,7.275387537576263,6.765134193483135,149,149,7.0374977520796,149,7.155423730316878,149,0.9949829960604735,0
KGHM,10,linear,,0.02643864056065976,all,87183,0,0.0036589702120826306,0.004679811431127628,408,retain,1,0.3276545978597693,-0.14615085411708523,408,408,0.19693547739777462,408,0.40192751603373394,321,7.5,1622.2240459722652,8.0,785.0,0.9698679788490876,87183,200.0,2805.200000000026,3.4410378170056086e-05,4.6404439558118185,3.6926566837747083,408,408,4.37897015104021,408,4.731450277996286,321,0.9953201885688724,0
KGHM,10,linear,,0.01804054657497544,2017-12-27,22394,0,0.0021880860944895955,0.002857908368312941,64,retain,1,0.20981287992476014,0.7314084827448911,64,64,0.38378639536829817,64,0.13678737147188597,49,7.953125,3126.1502634634276,8.0,1102.0,0.9797713673305349,22394,323.0,14067.0,0.0,2.0881427987254026,3.131369425753202,64,64,2.436201587594201,64,1.817244730991386,49,0.9971420916316871,0
KGHM,10,linear,,0.023510971786833857,2017-12-28,35090,0,0.0037902536335138216,0.005186662866913651,182,retain,1,0.2806707312657926,-0.6580651040393726,182,182,0.08515623677525122,182,0.45000631269945734,143,7.318681318681318,1145.7038757480764,8.0,707.0,0.9726132801367912,35090,200.0,2131.0,8.549444286121403e-05,3.1233458375869834,1.2458092266627434,182,182,2.73223567313802,182,3.4466272910372573,143,0.9948133371330864,0
KGHM,10,linear,,0.036230176100205395,2017-12-29,29699,0,0.004612949930974107,0.005454729115458433,162,retain,1,0.4269936945754751,0.08227257752914813,162,162,0.24869697766435322,162,0.4493430134006495,129,7.5246913580246915,1051.2340819556214,8.0,653.0,0.9591568739688205,29699,150.0,2111.0,0.0,7.353154644518307,6.66332718814356,162,162,6.996518688316406,162,7.262657711627148,129,0.9945452708845416,0
KGHM,10,linear,,0.03192136081575536,all,87183,0,0.004737162061411055,0.006125047314269984,534,retain,5,0.16723597178968044,-0.3651355033256984,534,534,0.03038384653027104,534,0.6838562731361153,91,7.644194756554307,1562.199901356916,8.0,746.0,0.9632497161143802,87183,159.0,2675.0,9.17610084534829e-05,3.86234623958346,2.797429322192397,534,534,3.5885145304453037,534,3.7218249525022404,91,0.99387495268573,0
KGHM,10,linear,,0.021434312762347058,2017-12-27,22394,0,0.0029025631865678306,0.004286862552469411,96,retain,5,0.1405907704407065,0.4660530372637184,96,96,0.4902313350200857,96,0.0,11,7.885416666666667,3034.2020630526035,8.0,1060.0,0.9754845047780656,22394,262.0,13567.0,0.00017861927301955882,1.252048156701446,1.9028812459637905,96,96,1.951257251006034,96,0.8046447878471351,11,0.9957131374475305,0
