symbol,horizon,model,control_seed,adverse_before_fill,bin,day,eligible_decisions,fill_before_adverse,fill_probability,fills,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions
KGHM,10,linear,,0.016286271361394655,1,all,8719,0.003440761555224223,0.004243605918109875,37,retain,0,-0.4817932683032957,0.7142873335819271,37,37,-0.18616462470000456,37,-0.0010094342764816902,37,7.351351351351352,2238.1351072370685,8.0,1088.0,0.9802729670833811,8719,285.0,6104.2,0.0,4.442840153998486,6.834665074165918,37,37,5.034054930640122,37,5.404034609517595,37,0.9957563940818901,0
KGHM,10,linear,,0.029698429079234034,2,all,8721,0.0033253067308794864,0.00355463822956083,31,retain,0,0.0017715374108276125,0.06916975014941626,31,31,0.2851504148402836,31,0.429516871868854,31,7.32258064516129,1811.3089095287237,7.0,830.0,0.9669762641898865,8721,200.0,4673.0,0.0,6.897885166220648,7.032400251566544,31,31,7.464586339560713,31,7.75312433009445,31,0.9964453617704392,0
KGHM,10,linear,,0.029030407343660355,3,all,8715,0.004245553643144004,0.005507745266781412,48,retain,0,1.017316693052911,0.73717592682158,48,48,0.9244144262375796,48,0.8313661805234706,48,7.604166666666667,1168.704876649455,8.0,739.0,0.9667240390131956,8715,180.0,2220.800000000003,0.0,3.9900942033584754,3.430083518266885,48,48,3.8043310884825225,48,3.6183184175590593,48,0.9944922547332186,0
KGHM,10,linear,,0.032002752924982794,4,all,8718,0.002638219775177793,0.0028676301904106446,25,retain,0,-0.08835136745291339,-0.5346664342590024,25,25,-0.6228997908198027,25,0.08861244403095359,25,7.88,796.4380591878871,8.0,599.0,0.965244322092223,8718,164.0,1562.500000000001,0.00011470520761642578,8.920637256817908,8.028327072302039,25,25,7.851978162011267,25,9.274606060536886,25,0.9971323698095893,0
KGHM,10,linear,,0.045282586266192824,5,all,8723,0.006763728075203485,0.009285796171042074,81,retain,0,0.41414081529637736,0.582753154218002,81,81,0.8018977008346424,81,0.5519379528453557,81,7.54320987654321,695.4374641751691,8.0,556.0,0.9478390461997019,8723,150.0,1349.6000000000004,0.00011463945890175398,5.065696491742579,5.402625409523734,81,81,5.840951092010102,81,5.341301986182831,81,0.9907142038289579,0
KGHM,10,linear,,0.028112449799196786,6,all,8715,0.0019506597819850832,0.0024096385542168677,21,retain,0,0.31864552684886793,-0.9504463462075814,21,21,-0.952091770511775,21,-0.739585564475932,21,7.333333333333333,858.2452094090648,8.0,707.0,0.9699368904188181,8715,186.0,1686.0,0.0,6.361801600222585,3.8232407043857526,21,21,3.819572057389205,21,4.244914107131445,21,0.9975903614457832,0
KGHM,10,linear,,0.02432029367901801,7,all,8717,0.0032121142594929448,0.0034415509923138693,30,retain,0,-0.4454274899118514,-1.5598127010569236,30,30,-0.6678650458125515,30,-0.44575713242136555,30,7.466666666666667,1028.1670299414936,7.0,698.0,0.972467592061489,8717,238.0,2186.0,0.0,3.4164622276217362,1.1866945621332283,30,30,2.971685550819917,30,3.4159340735651265,30,0.9965584490076861,0
KGHM,10,linear,,0.02202339986235375,8,all,8718,0.004014682266574902,0.004702913512273458,41,retain,0,0.38156993450725285,-0.429656631592122,41,41,0.38211398819053366,41,0.2729945580340827,41,7.951219512195122,1536.8529479238357,8.0,797.0,0.9739619178710713,8718,250.70000000000005,2547.0,0.0,2.8258207272133427,1.2036548801447795,41,41,2.827268981090006,41,2.609006186225773,41,0.9952970864877265,0
KGHM,10,linear,,0.012616125702488818,9,all,8719,0.001835072829452919,0.003440761555224223,30,retain,0,1.4079239557864527,-0.5138410017511152,30,30,0.29928187696151193,30,0.7418131760213552,30,8.466666666666667,2447.810643422411,9.0,1000.0,0.9855488014680582,8719,393.80000000000007,5173.0,0.0,2.9637742689964903,-0.8795266147042237,30,30,0.7464896454583271,30,1.6318811834351963,30,0.9965592384447758,0
KGHM,10,linear,,0.008602890571231933,10,all,8718,0.00034411562284927734,0.00034411562284927734,3,retain,0,-1.4804944851575381,-1.4804944851575381,3,3,-1.4804944851575381,3,-0.7402472425787691,3,8.0,3854.3309245239734,9.0,1217.0,0.9910529938059188,8718,423.0,15251.0,0.0,0.0,0.0,3,3,0.0,3,1.4808233377752984,3,0.9996558843771507,0
KGHM,10,linear,,0.004140786749482402,1,2017-12-27,3381,0.004140786749482402,0.004140786749482402,14,retain,0,-0.158518800329665,0.7823930046612736,14,14,-0.3269923958271081,14,0.3171079908904724,14,7.785714285714286,2736.396332446022,8.0,1297.0,0.9917184265010351,3381,325.0,8732.0,0.0,6.992459909757374,8.874380363090872,14,14,6.656101747296225,14,7.943291400643566,14,0.9958592132505176,0
KGHM,10,linear,,0.02715466351829988,2,2017-12-27,2541,0.0003935458480913026,0.0003935458480913026,1,retain,0,0.0,-6.727965911639636,1,1,-6.727965911639636,1,-2.2426553038803037,1,8.0,2533.3038173947266,8.0,1508.0,0.9724517906336088,2541,268.0,7973.0,0.0,13.44688480502068,0.0,1,1,0.0,1,8.964589870012938,1,0.9996064541519087,0
KGHM,10,linear,,0.03111587982832618,3,2017-12-27,1864,0.002145922746781116,0.002145922746781116,4,retain,0,-2.2241992882567336,-2.2241992882567336,4,4,-2.2241992882567336,4,-1.6681494661925502,4,8.5,1534.7403433476395,8.5,1170.0,0.9667381974248928,1864,359.0,2297.0,0.0,-4.448398576513467,-4.448398576513467,4,4,-4.448398576513467,4,-3.3362989323851004,4,0.9978540772532188,0
KGHM,10,linear,,0.031331592689295036,4,2017-12-27,1915,0.0010443864229765013,0.0010443864229765013,2,retain,0,0.0,0.0,2,2,0.0,2,0.0,2,9.5,1222.0569190600522,9.5,790.0,0.9676240208877285,1915,254.0,2428.0,0.0,4.466279589103293,4.466279589103293,2,2,4.466279589103293,2,4.466279589103293,2,0.9989556135770234,0
KGHM,10,linear,,0.03380876914949815,5,2017-12-27,1893,0.005810882197569995,0.009508716323296355,18,retain,0,-0.0008582924786115775,1.6155832939588368,18,18,1.6155832939588368,18,0.3724431899573222,18,7.777777777777778,750.5451664025356,8.0,694.0,0.9603803486529319,1893,251.60000000000005,1235.0,0.0,0.48485755188510077,3.7169625792981287,18,18,3.7169625792981287,18,1.2313490751658185,18,0.9904912836767037,0
KGHM,10,linear,,0.01732811626607043,6,2017-12-27,1789,0.0005589714924538849,0.0005589714924538849,1,retain,0,2.243158366979944,2.243158366979944,1,1,2.243158366979944,1,2.243158366979944,1,5.0,1040.8250419228618,5.0,960.0,0.9821129122414757,1789,282.6000000000001,1646.2,0.0,4.486316733959888,4.486316733959888,1,1,4.486316733959888,1,4.486316733959888,1,0.9994410285075461,0
KGHM,10,linear,,0.021010789324247586,7,2017-12-27,1761,0.0028392958546280523,0.0028392958546280523,5,retain,0,-1.3434830219449208,-1.3434830219449208,5,5,-1.3434830219449208,5,-1.3434830219449208,5,7.2,1206.3764906303236,7.0,946.0,0.9761499148211243,1761,287.0,2486.0,0.0,-2.6869660438898415,-2.6869660438898415,5,5,-2.6869660438898415,5,-2.6869660438898415,5,0.997160704145372,0
KGHM,10,linear,,0.01627906976744186,8,2017-12-27,1720,0.0029069767441860465,0.004069767441860465,7,retain,0,1.917431668148862,1.917431668148862,7,7,1.917431668148862,7,1.5969804728660129,7,8.285714285714286,3177.0732558139534,8.0,1011.0,0.9808139534883721,1720,464.0,14729.0,0.0,2.5636095622627932,2.5636095622627932,7,7,2.5636095622627932,7,1.9227071716970947,7,0.9959302325581395,0
KGHM,10,linear,,0.0040128410914927765,9,2017-12-27,2492,0.0,0.001203852327447833,3,retain,0,2.2246941045611286,2.2246941045611286,3,3,2.2246941045611286,3,1.4831294030407525,3,8.666666666666666,5499.205056179775,9.0,1304.0,0.9959871589085072,2492,519.0,17158.0,0.0,0.0,0.0,3,3,0.0,3,-1.482799525504489,3,0.9987961476725522,0
KGHM,10,linear,,0.006254114549045424,10,2017-12-27,3038,0.0,0.0,0,retain,0,,,0,0,,0,,0,,8317.322909809085,,5068.0,0.9937458854509545,3038,629.0,16938.0,0.0,,,0,0,,0,,0,1.0,0
KGHM,10,linear,,0.015596663039535727,1,2017-12-28,2757,0.005077983315197679,0.005077983315197679,14,retain,0,-0.4746076070867716,-0.15806175542008566,14,14,0.475170260790798,14,0.00031640507139117446,14,6.857142857142857,1927.789989118607,7.0,734.0,0.9793253536452666,2757,202.0,2214.0,0.0,3.166162572736701,3.7991140253604283,14,14,5.065016930607884,14,4.115589751672293,14,0.9949220166848023,0
KGHM,10,linear,,0.019844082211197732,2,2017-12-28,2822,0.0031892274982282067,0.003543586109142452,10,retain,0,-0.22163120567380937,0.443115082826231,10,10,1.3296399055214683,10,1.1080086998476588,10,6.3,1886.512402551382,6.5,800.0,0.976966690290574,2822,180.0,6793.0,0.0,4.877083461634209,6.206281512144036,10,10,7.978545579490474,10,7.535479562653866,10,0.9964564138908576,0
KGHM,10,linear,,0.020872865275142316,3,2017-12-28,3162,0.004111321948134092,0.005376344086021506,17,retain,0,0.5194006387624474,0.9101337740030274,17,17,0.5194006387624474,17,0.7806643714373813,17,7.647058823529412,1308.7375079063884,8.0,685.0,0.9750158127767236,3162,200.0,3436.0,0.0,1.8284477040283587,2.609740986560326,17,17,1.8284477040283587,17,2.3508591552873406,17,0.9946236559139785,0
KGHM,10,linear,,0.026945201332122314,4,2017-12-28,3303,0.0012110202845897668,0.0015137753557372085,5,retain,0,-0.8890840571259971,-1.3323464684733637,5,5,-2.2208404711387955,5,0.44326241134736655,5,9.2,711.50923402967,9.0,538.0,0.9715410233121404,3303,180.0,1433.0,0.0003027550711474417,1.7825466758028754,0.8960218531081422,5,5,-0.8801770811723963,5,4.44684507722444,5,0.9984862246442628,0
KGHM,10,linear,,0.04697766097240473,5,2017-12-28,3044,0.005584756898817346,0.00821287779237845,25,retain,0,0.7109339331200937,-0.17649684454369693,25,25,0.4442856141157951,25,0.5325835300782743,25,7.36,641.2729960578187,8.0,556.0,0.9471090670170828,3044,186.3,1158.0,0.000328515111695138,3.559363596446648,1.7843442776819984,25,25,3.025948060366364,25,3.2027013045615074,25,0.9917871222076216,0
KGHM,10,linear,,0.029151483602290473,6,2017-12-28,3842,0.0031233732431025507,0.004164497657470068,16,retain,0,0.2780248560528927,-1.2484290003344127,16,16,-1.2505886197336669,16,-0.9711449539943181,16,7.0,724.7870900572618,7.0,611.0,0.967725143154607,3842,155.0,1438.0,0.0,6.113096956317817,3.059756279640614,16,16,3.0549411804576447,16,3.614324179801147,16,0.9958355023425299,0
KGHM,10,linear,,0.016397642838841917,7,2017-12-28,3903,0.003330771201639764,0.003843197540353574,15,retain,0,-0.59183682965162,-0.7393282643808425,15,15,-0.4431961019992574,15,-0.29573819494376724,15,7.133333333333334,887.3264155777607,7.0,661.0,0.9802715859595184,3903,237.0,1738.0,0.0,1.7773852329734938,1.482665561576362,15,15,2.0751278128808774,15,2.3699768916157846,15,0.9961568024596464,0
KGHM,10,linear,,0.018409613909486065,8,2017-12-28,3911,0.0035796471490667347,0.004602403477371516,18,retain,0,-0.0008755667332350411,-1.6022548895459605,18,18,-0.12392169252825595,18,-0.1235662372010145,18,7.888888888888889,1105.5627716696497,8.0,795.0,0.9780107389414472,3911,282.0,2331.0,0.0,1.7234678379209762,-1.478306485078795,18,18,1.4781959200483878,18,1.478852313113728,18,0.9953975965226285,0
KGHM,10,linear,,0.02042850024912805,9,2017-12-28,4014,0.002242152466367713,0.004982561036372696,20,retain,0,1.5543481807669823,-0.9962049134338301,20,20,0.22347940463511073,20,0.6670360678615834,20,8.35,1270.4838066766317,8.5,987.0,0.9773293472845043,4014,400.0,2476.0,0.0,3.1068728257025127,-1.9936926792407792,20,20,0.4453317110030478,20,1.33264254511545,20,0.9950174389636273,0
KGHM,10,linear,,0.006232686980609419,10,2017-12-28,4332,0.0006925207756232687,0.0006925207756232687,3,retain,0,-1.4804944851575381,-1.4804944851575381,3,3,-1.4804944851575381,3,-0.7402472425787691,3,8.0,1408.0791782086797,9.0,998.5,0.9930747922437673,4332,450.0,3347.0,0.0,0.0,0.0,3,3,0.0,3,1.4808233377752984,3,0.9993074792243767,0
KGHM,10,linear,,0.032932971716388995,1,2017-12-29,2581,0.0007748934521503294,0.003487020534676482,9,retain,0,-0.9958423581546475,1.9653326503505184,9,9,-0.9958423581546475,9,-0.49792117907732375,9,7.444444444444445,1916.9418829910887,8.0,1181.0,0.9662921348314607,2581,394.0,3530.0,0.0,2.4627078825585498,8.383742922868972,9,9,2.4627078825585498,9,3.4583271577476613,9,0.9965129794653235,0
KGHM,10,linear,,0.039904705181655745,2,2017-12-29,3358,0.005658129839189994,0.005955926146515783,20,retain,0,0.11356148582368739,0.22205386690046156,20,20,0.11356148582368739,20,0.22387956666690956,20,7.8,1201.7754615842764,8.5,635.0,0.9544371649791543,3358,177.0,2000.0,0.0,7.580836036573866,7.797079633856123,20,20,7.580836036573866,20,7.801373436818818,20,0.9940440738534843,0
KGHM,10,linear,,0.03496882624017349,3,2017-12-29,3689,0.005421523448088913,0.007319056654920032,27,retain,0,1.8110439837261136,1.0669987956448632,27,27,1.6458843982766354,27,1.2335881561281967,27,7.444444444444445,863.7243155326647,8.0,593.0,0.9596096503117376,3689,120.0,1877.0,0.0,6.601277966621429,5.113778015234771,27,27,6.27103242906418,27,5.446662004907053,27,0.99268094334508,0
KGHM,10,linear,,0.037142857142857144,4,2017-12-29,3500,0.004857142857142857,0.005142857142857143,18,retain,0,0.12425756107261951,-0.37249602856156905,18,18,-0.2482384674889495,18,-5.560866461072777e-05,18,7.333333333333333,643.7122857142857,8.0,500.0,0.958,3500,130.0,1389.0,0.0,11.398368825734819,10.405306020211317,18,18,10.653765570996505,18,11.14990927494963,18,0.9948571428571429,0
KGHM,10,linear,,0.04965662968832541,5,2017-12-29,3786,0.008188061278394084,0.010036978341257264,38,retain,0,0.4154607098847164,0.593024402999777,38,38,0.6517387927224235,38,0.6496949607706619,38,7.552631578947368,711.43264659271,8.0,500.0,0.9421553090332805,3786,116.0,1546.0,0.0,8.226576052264496,8.581545389526477,38,38,8.699026592534024,38,8.695095918783867,38,0.9899630216587427,0
KGHM,10,linear,,0.033073929961089495,6,2017-12-29,3084,0.0012970168612191958,0.0012970168612191958,4,retain,0,0.0,-0.5569169079971369,4,4,-0.5569169079971369,4,-0.5590339892663567,4,9.25,918.5924124513618,9.5,678.0,0.9656290531776913,3084,174.0,2078.0,0.0,7.825491392407331,6.711409395972773,4,4,6.711409395972773,4,6.70692315974552,4,0.9987029831387808,0
KGHM,10,linear,,0.03635768096953816,7,2017-12-29,3053,0.003275466754012447,0.003275466754012447,10,retain,0,0.2232142857143365,-2.898704195627047,10,10,-0.6670594734663079,10,-0.22192259387598573,10,8.1,1105.4267933180479,8.0,698.0,0.9603668522764494,3053,211.0,2751.800000000003,0.0,8.92679185534989,2.6795683659800624,10,10,7.145847955083356,10,8.036319905216624,10,0.9967245332459875,0
KGHM,10,linear,,0.029802397149335923,8,2017-12-29,3087,0.0051830255911888565,0.0051830255911888565,16,retain,0,0.1398816149345976,-0.13733472253073414,16,16,0.2797026440174034,16,0.1398816149345976,16,7.875,1169.3754454162618,8.0,678.0,0.9650145772594753,3087,239.0,3356.0,0.0,4.18068511233312,3.6258812425946707,16,16,4.460327170498732,16,4.18068511233312,16,0.9948169744088111,0
KGHM,10,linear,,0.008133755083596927,9,2017-12-29,2213,0.0031631269769543608,0.0031631269769543608,7,retain,0,0.639524677795792,-0.3093162996486058,7,7,-0.3093162996486058,7,0.6377551020409614,7,8.714285714285714,1147.1848169905106,9.0,809.0,0.9887031179394488,2213,330.0,2315.1999999999985,0.0,3.8251102222634947,1.92686502052698,7,7,1.92686502052698,7,3.821711882465763,7,0.9968368730230457,0
KGHM,10,linear,,0.021513353115727003,10,2017-12-29,1348,0.0,0.0,0,retain,0,,,0,0,,0,,0,,1657.4413946587538,,1134.0,0.978486646884273,1348,207.0,4042.0,0.0,,,0,0,,0,,0,1.0,0
KGHM,10,linear,,0.019382956761096456,1,all,8719,0.003440761555224223,0.004243605918109875,37,retain,1,-0.5417335542454674,0.23247011692927147,37,37,-0.6080815154948739,37,0.0005276933468424024,30,7.405405405405405,2219.546851703177,8.0,1073.0,0.9771762816836793,8719,281.0,6104.0,0.0,4.445910435627934,5.99446562681591,37,37,4.313603055408116,37,5.187585890982726,30,0.9957563940818901,0
KGHM,10,linear,,0.03199174406604747,2,all,8721,0.00355463822956083,0.003898635477582846,34,retain,1,0.4587441041350675,0.5218352105674907,34,34,0.7193565237435479,34,0.8419141302424972,29,7.088235294117647,1778.6390322210755,7.0,817.0,0.9644536177043918,8721,180.0,4673.0,0.0,6.810827518558975,6.936574399706352,34,34,7.331850295988309,34,7.51817549984016,29,0.9961013645224172,0
KGHM,10,linear,,0.030292598967297763,3,all,8715,0.00527825588066552,0.006655192197360872,58,retain,1,0.6893563477208582,0.4948844665717138,58,58,0.688213957360939,58,0.8022033591697313,47,7.275862068965517,1145.0071141709695,8.0,707.0,0.9644291451520367,8715,149.0,2214.0,0.0,3.991950938090887,3.6032157875232262,58,58,3.9896678198230053,58,4.068461268158181,47,0.9933448078026391,0
