breakeven_shortfall_bps,cohort,common_rows,control_seed,coverage,crossed_bps,entry_half_spread_bps,exit_half_spread_bps,gross_midpoint_bps,horizon,latency,max_identity_error_bps,model,period,prediction_rows,selected_rows,symbol,undefined_reason,unit
10.084728987162634,monthly,1099066,,0.0001028145716453789,-10.084728987162634,4.741586339382678,5.512153631486481,0.16901098370647466,10,0,2.220446049250313e-12,linear,2017-04,1099156,113,KGHM,,bp
10.5216369077868,monthly,1099066,,0.0001028145716453789,-10.5216369077868,5.102474925564948,5.459527967054396,0.04036598483252966,10,1,2.220446049250313e-12,linear,2017-04,1099156,113,KGHM,,bp
10.91285341288619,monthly,1099066,,0.0001028145716453789,-10.91285341288619,5.438746315018942,5.454733692438194,-0.019373405429036133,10,5,2.220446049250313e-12,linear,2017-04,1099156,113,KGHM,,bp
5.540250462680755,monthly,1099066,,0.009128660153257402,-5.540250462680755,3.069678441377191,3.8634881355361466,1.3929161142325783,10,0,2.220446049250313e-12,xgboost,2017-04,1099156,10033,KGHM,,bp
6.705454348826088,monthly,1099066,,0.009128660153257402,-6.705454348826088,3.6485086067945005,3.884933176555999,0.8279874345244083,10,1,2.220446049250313e-12,xgboost,2017-04,1099156,10033,KGHM,,bp
7.240146429222945,monthly,1099066,,0.009128660153257402,-7.240146429222945,3.801241451306789,3.9182612698382253,0.4793562919220708,10,5,2.220446049250313e-12,xgboost,2017-04,1099156,10033,KGHM,,bp
6.16893699053125,monthly,1098886,,0.0008608718283789219,-6.16893699053125,3.0845695238904773,4.011475707831059,0.9271082411903078,20,0,2.220446049250313e-12,linear,2017-04,1098976,946,KGHM,,bp
7.011505991419935,monthly,1098886,,0.0008608718283789219,-7.011505991419935,3.5496231227055346,4.014502508469287,0.5526196397549064,20,1,2.220446049250313e-12,linear,2017-04,1098976,946,KGHM,,bp
7.384535940778363,monthly,1098886,,0.0008608718283789219,-7.384535940778363,3.7661880908548544,4.010240864860157,0.39189301493666345,20,5,2.220446049250313e-12,linear,2017-04,1098976,946,KGHM,,bp
5.742713005580422,monthly,1098886,,0.04028898357063426,-5.742713005580422,3.196101255181148,3.878723733266766,1.3321119828674914,20,0,2.220446049250313e-12,xgboost,2017-04,1098976,44273,KGHM,,bp
6.255645560002704,monthly,1098886,,0.04028898357063426,-6.255645560002704,3.438436843951278,3.8976864537938116,1.0804777377423875,20,1,2.220446049250313e-12,xgboost,2017-04,1098976,44273,KGHM,,bp
6.776469596091153,monthly,1098886,,0.04028898357063426,-6.776469596091153,3.595731296392915,3.954439748365374,0.7737014486671395,20,5,2.220446049250313e-12,xgboost,2017-04,1098976,44273,KGHM,,bp
6.9788557093927,monthly,1098346,,0.21028346258829184,-6.9788557093927,3.8612966543545917,4.406074245226416,1.2885151901883114,50,0,2.220446049250313e-12,linear,2017-04,1098436,230964,KGHM,,bp
7.170162174673442,monthly,1098346,,0.21028346258829184,-7.170162174673442,3.943524934431633,4.410237092718515,1.1835998524767075,50,1,2.220446049250313e-12,linear,2017-04,1098436,230964,KGHM,,bp
7.512797538458568,monthly,1098346,,0.21028346258829184,-7.512797538458568,4.045078925699125,4.423164020029539,0.9554454072700962,50,5,2.220446049250313e-12,linear,2017-04,1098436,230964,KGHM,,bp
7.58610569240365,monthly,1098346,,0.2299921882539746,-7.58610569240365,4.27570751939874,4.639126455623724,1.3287282826188191,50,0,2.220446049250313e-12,xgboost,2017-04,1098436,252611,KGHM,,bp
7.7573237346653965,monthly,1098346,,0.2299921882539746,-7.7573237346653965,4.339887546291978,4.640770153427547,1.223333965054134,50,1,2.220446049250313e-12,xgboost,2017-04,1098436,252611,KGHM,,bp
8.079936609384008,monthly,1098346,,0.2299921882539746,-8.079936609384008,4.418876801752039,4.644909062200076,0.9838492545681102,50,5,2.220446049250313e-12,xgboost,2017-04,1098436,252611,KGHM,,bp
10.640486749765433,monthly,1014670,,0.00016557107236835623,-10.640486749765433,5.541026708313569,5.619371257156527,0.5199112157046555,10,0,1.34736666268509e-12,linear,2017-06,1014775,168,KGHM,,bp
10.539851125225278,monthly,1014670,,0.00016557107236835623,-10.539851125225278,5.517055534053351,5.6473420715254905,0.6245464803535787,10,1,1.34736666268509e-12,linear,2017-06,1014775,168,KGHM,,bp
11.316245881020322,monthly,1014670,,0.00016557107236835623,-11.316245881020322,5.6611605769778635,5.863501992353719,0.20841668831126522,10,5,1.34736666268509e-12,linear,2017-06,1014775,168,KGHM,,bp
5.522227165078375,monthly,1014670,,0.017589955354942986,-5.522227165078375,3.103898959911011,4.00267676088262,1.5843485557152592,10,0,1.34736666268509e-12,xgboost,2017-06,1014775,17848,KGHM,,bp
6.706904936110418,monthly,1014670,,0.017589955354942986,-6.706904936110418,3.69081696488408,4.029415958350346,1.0133279871240077,10,1,1.34736666268509e-12,xgboost,2017-06,1014775,17848,KGHM,,bp
