breakeven_shortfall_bps,cohort,common_rows,control_seed,coverage,crossed_bps,entry_half_spread_bps,exit_half_spread_bps,gross_midpoint_bps,horizon,latency,max_identity_error_bps,model,period,prediction_rows,selected_rows,symbol,undefined_reason,unit
6.645227241696802,monthly,905401,,0.0395206102047601,-6.645227241696802,3.504180818646461,3.643862055651615,0.5028156326012695,20,5,1.8829382497642655e-12,xgboost,2017-11,905401,35782,PKOBP,,bp
2.6832468445461917,monthly,948659,,0.014475169686894869,-2.6832468445461917,1.3597616392099192,2.2804341846298164,0.9569489792935068,20,0,2.0321522242738865e-12,linear,2017-04,948659,13732,PZU,,bp
2.9594475567076213,monthly,948659,,0.014475169686894869,-2.9594475567076213,1.505189504091946,2.280422838486747,0.8261647858710323,20,1,2.0321522242738865e-12,linear,2017-04,948659,13732,PZU,,bp
3.442211096514214,monthly,948659,,0.014475169686894869,-3.442211096514214,1.7258130046519164,2.280408658272896,0.5640105664105679,20,5,2.0321522242738865e-12,linear,2017-04,948659,13732,PZU,,bp
5.055116067079666,monthly,948659,,0.06873070302395276,-5.055116067079666,2.738271766905047,3.2128849267123827,0.8960406265377503,20,0,2.0321522242738865e-12,xgboost,2017-04,948659,65202,PZU,,bp
5.372843354479554,monthly,948659,,0.06873070302395276,-5.372843354479554,2.8795343173031567,3.2128813073855773,0.719572270209169,20,1,2.0321522242738865e-12,xgboost,2017-04,948659,65202,PZU,,bp
5.784075131196045,monthly,948659,,0.06873070302395276,-5.784075131196045,3.004538774776882,3.212868179802657,0.4333318233834873,20,5,2.0321522242738865e-12,xgboost,2017-04,948659,65202,PZU,,bp
4.757038487597504,monthly,970253,,0.0005586171854145259,-4.757038487597504,1.725182433940544,3.6001923736427397,0.5683363199858225,20,0,1.6271428648906294e-12,linear,2017-06,970253,542,PZU,,bp
5.454234861963225,monthly,970253,,0.0005586171854145259,-5.454234861963225,2.2783337905779395,3.6001758538272775,0.4242747824420126,20,1,1.6271428648906294e-12,linear,2017-06,970253,542,PZU,,bp
6.019212322807231,monthly,970253,,0.0005586171854145259,-6.019212322807231,2.772034157917506,3.6001392885012184,0.35296112361154425,20,5,1.6271428648906294e-12,linear,2017-06,970253,542,PZU,,bp
4.812593819124815,monthly,970253,,0.03950722131237935,-4.812593819124815,2.596964490404626,3.4132566726169666,1.1976273438967524,20,0,1.6271428648906294e-12,xgboost,2017-06,970253,38332,PZU,,bp
5.424504145191141,monthly,970253,,0.03950722131237935,-5.424504145191141,2.892372167732487,3.4132389740555706,0.8811069965968982,20,1,1.6271428648906294e-12,xgboost,2017-06,970253,38332,PZU,,bp
6.011027893348508,monthly,970253,,0.03950722131237935,-6.011027893348508,3.080311871627871,3.4132457489054904,0.48252972718484144,20,5,1.6271428648906294e-12,xgboost,2017-06,970253,38332,PZU,,bp
,monthly,970253,7.0,0.0,,,,,20,0,1.6271428648906294e-12,xgboost,2017-06,970253,0,PZU,no_threshold_selected_rows,bp
,monthly,970253,7.0,0.0,,,,,20,1,1.6271428648906294e-12,xgboost,2017-06,970253,0,PZU,no_threshold_selected_rows,bp
,monthly,970253,7.0,0.0,,,,,20,5,1.6271428648906294e-12,xgboost,2017-06,970253,0,PZU,no_threshold_selected_rows,bp
3.8447688276158867,monthly,770961,,2.9832896865081372e-05,-3.8447688276158867,2.016414525747166,2.976679649478585,1.1483253476098951,20,0,1.595168441781425e-12,linear,2017-09,770961,23,PZU,,bp
5.592885089294257,monthly,770961,,2.9832896865081372e-05,-5.592885089294257,2.890442260396561,2.976867037445298,0.27442420854740585,20,1,1.595168441781425e-12,linear,2017-09,770961,23,PZU,,bp
5.777379182546572,monthly,770961,,2.9832896865081372e-05,-5.777379182546572,2.742559101174527,2.976900092465128,-0.057919988907079785,20,5,1.596056620201125e-12,linear,2017-09,770961,23,PZU,,bp
3.295005466563348,monthly,770961,,0.03733911313283032,-3.295005466563348,1.8681141571450703,2.3255929607218344,0.8987016513035471,20,0,1.595168441781425e-12,xgboost,2017-09,770961,28787,PZU,,bp
3.669669315484865,monthly,770961,,0.03733911313283032,-3.669669315484865,2.041086979712052,2.3256001347128707,0.6970177989400489,20,1,1.595168441781425e-12,xgboost,2017-09,770961,28787,PZU,,bp
