daily_ic,daily_ic_available_case,days_defined,days_expected,feature_group,first_test_day,horizon,ic,kind,last_train_day,mean_day_prediction_label_ic,model,origin,original_prediction_sha256,period,prediction_std_bps,scope,seed,shuffle,symbol,task_id,test_row_hash,test_rows,train_row_hash,train_rows,undefined_reason
0.26471357187856115,0.26471357187856115,21,21,F1,2017-06-01,20,0.2608769467937195,ablation,2017-05-31,0.0012987012987012987,linear,new_fit,,2017-06,0.48257965916055584,monthly,,none,KGHM,368297dcc195101f5141166f157fe9b5e6619665595c75a99ab3187517f8f802,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3,1014565,fa1f687728225a3b991ccc3a9fa3b13b58a4acd4a4bda6a6f70ebb0173c112b0,7204856,
0.2690636531826665,0.2690636531826665,21,21,F2,2017-06-01,20,0.2641179530267327,ablation,2017-05-31,0.029870129870129873,linear,new_fit,,2017-06,0.4627482668915714,monthly,,none,KGHM,b2bd87b01cd6f2fe70b1b8c49af4f8418325af472da84b954bb21db7cd73dcdc,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3,1014565,fa1f687728225a3b991ccc3a9fa3b13b58a4acd4a4bda6a6f70ebb0173c112b0,7204856,
0.26871072803031104,0.26871072803031104,21,21,F3,2017-06-01,20,0.2638513494408056,ablation,2017-05-31,0.03506493506493507,linear,new_fit,,2017-06,0.46710496255443673,monthly,,none,KGHM,acebcb38ca36ee771a14ba2638d7c058b593f4a94cfdc504d1a3430dfdb8761b,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3,1014565,fa1f687728225a3b991ccc3a9fa3b13b58a4acd4a4bda6a6f70ebb0173c112b0,7204856,
0.2694740321767783,0.2694740321767783,21,21,F4,2017-06-01,20,0.26510286695446844,ablation,2017-05-31,0.07532467532467534,linear,new_fit,,2017-06,0.4637651777848297,monthly,,none,KGHM,5778ce3aa3ba99ce07593ec4fe5b0574464efc7581ce0db3deb55259a9d42d93,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3,1014565,fa1f687728225a3b991ccc3a9fa3b13b58a4acd4a4bda6a6f70ebb0173c112b0,7204856,
0.2690701373609857,0.2690701373609857,21,21,F5,2017-06-01,20,0.26476447855567553,ablation,2017-05-31,0.07532467532467534,linear,verified_original_prediction,e134ebcc76991faf55169cb71fca8622764318fcdaa565f79c492afe99a8dac2,2017-06,0.467993762596369,monthly,,none,KGHM,28215a7c8ad1fb4c5594b331c742284bcc50be5b4970ea38d38a82376c9b966d,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3,1014565,fa1f687728225a3b991ccc3a9fa3b13b58a4acd4a4bda6a6f70ebb0173c112b0,7204856,
0.2635145062849214,0.2635145062849214,21,21,F1,2017-06-01,20,0.2598679918129896,ablation,2017-05-31,0.03506493506493507,xgboost,new_fit,,2017-06,0.48819919513080184,monthly,,none,KGHM,95f6bef59823a21a4fb6f389abf65c1fb451427daa2eb7eb736a98e274a1f0ad,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3,1014565,fa1f687728225a3b991ccc3a9fa3b13b58a4acd4a4bda6a6f70ebb0173c112b0,7204856,
0.2658649743470653,0.2658649743470653,21,21,F2,2017-06-01,20,0.26151689142138124,ablation,2017-05-31,0.005194805194805195,xgboost,new_fit,,2017-06,0.5098062632017976,monthly,,none,KGHM,cc7fe3b0e11161c8eb16feabfa8c34515d203d5dc777028ca3ae21b668be6772,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3,1014565,fa1f687728225a3b991ccc3a9fa3b13b58a4acd4a4bda6a6f70ebb0173c112b0,7204856,
0.2748911753707123,0.2748911753707123,21,21,F3,2017-06-01,20,0.2707175974220751,ablation,2017-05-31,0.059740259740259746,xgboost,new_fit,,2017-06,0.5391407880728118,monthly,,none,KGHM,8f6f138d40ea4a2f0354246f4c3e962559c240eab9ffa7232b2c66e9708181ab,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3,1014565,fa1f687728225a3b991ccc3a9fa3b13b58a4acd4a4bda6a6f70ebb0173c112b0,7204856,
0.26635473911355817,0.26635473911355817,21,21,F4,2017-06-01,20,0.262260140013677,ablation,2017-05-31,0.12337662337662336,xgboost,new_fit,,2017-06,0.5181636624525825,monthly,,none,KGHM,d196825b06cdc4725833698a828d91653fb7a83c8126382fa6954031b4309d21,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3,1014565,fa1f687728225a3b991ccc3a9fa3b13b58a4acd4a4bda6a6f70ebb0173c112b0,7204856,
0.275522614726462,0.275522614726462,21,21,F5,2017-06-01,20,0.27163984547314557,ablation,2017-05-31,0.1155844155844156,xgboost,verified_original_prediction,6f57ba93dffe284e64152307c6941124d01ee7ce7940f5ce601c435d12373a05,2017-06,0.5442888746923359,monthly,,none,KGHM,7e14e5a78ed32eaccc97a9d4d6fad929fe98fc49a17b5c190c3ef53628932b00,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3,1014565,fa1f687728225a3b991ccc3a9fa3b13b58a4acd4a4bda6a6f70ebb0173c112b0,7204856,
0.2837254970464561,0.2837254970464561,21,21,F1,2017-09-01,20,0.27601852770740637,ablation,2017-08-31,0.251948051948052,linear,new_fit,,2017-09,0.5131055863816237,monthly,,none,KGHM,1d2f5f4a1382a99e9d99108e452f569f5c1b6d1d95973e1cf25a7bd4fbbc4e65,284d9e7413ca7e975b62d890893650d7d36e91d9e8f489daa7b527f9c0e8c641,916540,6fb42676a7057be9c05938f71a5376dbd0cfb862287b196680fbfca393973ca9,10135890,
0.28769979164388276,0.28769979164388276,21,21,F2,2017-09-01,20,0.27914200500626196,ablation,2017-08-31,0.2311688311688312,linear,new_fit,,2017-09,0.5290804756431947,monthly,,none,KGHM,1a3da28b907d84fcce3cd1597b5cc2e119de04c014fc71cf6cf5b2a0060cbc20,284d9e7413ca7e975b62d890893650d7d36e91d9e8f489daa7b527f9c0e8c641,916540,6fb42676a7057be9c05938f71a5376dbd0cfb862287b196680fbfca393973ca9,10135890,
0.2894982019977065,0.2894982019977065,21,21,F3,2017-09-01,20,0.28091696887765694,ablation,2017-08-31,0.2311688311688312,linear,new_fit,,2017-09,0.5303577400105406,monthly,,none,KGHM,8f0ee1736cc903f5a75a47b19dc8b0c0d5b0c70eee98f51c92c7bae3cfbd2aa0,284d9e7413ca7e975b62d890893650d7d36e91d9e8f489daa7b527f9c0e8c641,916540,6fb42676a7057be9c05938f71a5376dbd0cfb862287b196680fbfca393973ca9,10135890,
0.2898479466145215,0.2898479466145215,21,21,F4,2017-09-01,20,0.28278557910276025,ablation,2017-08-31,0.38051948051948054,linear,new_fit,,2017-09,0.5282554913450125,monthly,,none,KGHM,e5f1c31af4010d55332a33fa27448a4b2de0325862fdda246ae2ef0d47b2a1c3,284d9e7413ca7e975b62d890893650d7d36e91d9e8f489daa7b527f9c0e8c641,916540,6fb42676a7057be9c05938f71a5376dbd0cfb862287b196680fbfca393973ca9,10135890,
