adverse_before_fill,control_seed,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions,cohort,passive_price_markout_1_bps,passive_price_markout_5_bps,passive_price_markout_10_bps,passive_price_markout_remaining_bps,day,excluded_invalid_placement
0.1029563853,,1098436,0.0630596594,0.0758086953,83271,50,retain,0,-0.2592012644,-0.6527284687,83271,83271,-0.489439734,83271,-0.8226728088,83271,31.4442723157,819.2357333518,32.0,620.0,linear,2017-04,0.830240451,1098436,190.0,1598.0,0.0037435044,4.9836244354,4.1965307277,83271,83271,4.5231320485,83271,3.8566583163,83271,KGHM,0.9241913047,0,monthly,2.4918122177,2.26156602425,2.09826536385,1.92832915815,,
0.1016162981,,1098436,0.0634829885,0.0761418963,83637,50,retain,0,-0.2646150129,-0.6609039192,83636,83637,-0.4950618722,83637,-0.8211440989,83637,31.543909992,804.2659217287,32.0,605.0,xgboost,2017-04,0.8312418748,1098436,180.0,1579.0,0.0036588386,5.1430692246,4.3502630854,83636,83637,4.6821390264,83637,4.0299357757,83637,KGHM,0.9238581037,0,monthly,2.5715346123,2.3410695132,2.1751315427,2.01496788785,,
0.1057330605,,1098436,0.0659428497,0.079295471,87101,50,retain,1,-0.2377499133,-0.6242291185,87101,87101,-0.4571559352,87101,-0.781738375,84679,30.9315162857,809.4202520675,32.0,610.0,linear,2017-04,0.8244768016,1098436,177.0,1590.0,0.0038472883,4.9864181079,4.213423018,87101,87101,4.5475912244,87101,3.8719026492,84679,KGHM,0.920704529,0,monthly,2.49320905395,2.2737956122,2.106711509,1.9359513246,,
0.1043064867,,1098436,0.0657043287,0.0789158403,86684,50,retain,1,-0.2520487,-0.642676052,86683,86684,-0.475173972,86684,-0.7923450907,84229,31.1871164229,796.1864514637,32.0,600.0,xgboost,2017-04,0.8262411283,1098436,170.0,1572.0,0.0037480563,5.1277793869,4.3463041596,86683,86684,4.68149505,86684,4.020479836,84229,KGHM,0.9210841597,0,monthly,2.56388969345,2.340747525,2.1731520798,2.010239918,,
0.1134567694,,1098436,0.0716464136,0.0863691649,94871,50,retain,5,-0.2192935844,-0.5955659429,94871,94871,-0.4285489921,94871,-0.7008478443,82325,30.3760158531,782.8605262391,31.0,585.0,linear,2017-04,0.8107955311,1098436,150.0,1565.0,0.0041012858,4.9829997789,4.2304237687,94871,94871,4.5644745533,94871,3.8729011474,82325,KGHM,0.9136308351,0,monthly,2.49149988945,2.28223727665,2.11521188435,1.9364505737,,
0.1118799821,,1098436,0.0712767972,0.0858019948,94248,50,retain,5,-0.2320779884,-0.6137820709,94247,94248,-0.4464896604,94248,-0.7181893137,81660,30.5687123334,771.9789555331,31.0,573.0,xgboost,2017-04,0.8129185496,1098436,149.0,1549.0,0.0039246711,5.0960623591,4.3324525059,94247,94248,4.6672060951,94248,3.9749735111,81660,KGHM,0.9141980052,0,monthly,2.54803117955,2.33360304755,2.16622625295,1.98748675555,,
0.0207468276,,1099156,0.0030432441,0.0034881309,3834,10,reset,0,0.0381213793,-0.1057206732,3834,3834,0.0482699041,3834,0.0771014667,3834,7.7837767345,819.9153468661,8.0,620.0,linear,2017-04,0.9761071222,1099156,190.0,1598.0,0.0001028062,4.0514455759,3.7637526909,3834,3834,4.0717810987,3834,4.1293959972,3834,KGHM,0.9965118691,0,monthly,2.02572278795,2.03589054935,1.88187634545,2.0646979986,,
0.0202992114,,1099156,0.0028976779,0.0033416549,3673,10,reset,0,0.0581381081,-0.0975390939,3672,3672,0.0860244224,3672,0.0970300578,3673,7.7884563027,807.5888627274,8.0,607.0,xgboost,2017-04,0.9766921165,1099156,182.0,1584.0,0.0001109943,4.1675593803,3.8561574165,3672,3672,4.2233751637,3672,4.2453212436,3673,KGHM,0.9966583451,0,monthly,2.08377969015,2.11168758185,1.92807870825,2.1226606218,,
0.0220751195,,1099156,0.0040594784,0.0046408335,5101,10,reset,1,0.1758027512,-0.0032239894,5101,5101,0.2333615504,5101,0.1556817576,4112,7.5042148598,810.1057247561,8.0,611.0,linear,2017-04,0.97374531,1099156,177.0,1590.0,0.0001200921,4.1860752121,3.828009715,5101,5101,4.301209632,5101,4.0101762678,4112,KGHM,0.9953591665,0,monthly,2.09303760605,2.150604816,1.9140048575,2.0050881339,,
0.0217048353,,1099156,0.003530891,0.0040840427,4489,10,reset,1,0.1193704943,-0.0509303931,4488,4488,0.1567661607,4488,0.1436004623,3541,7.6108264647,799.366287406,8.0,601.0,xgboost,2017-04,0.9746405424,1099156,172.0,1576.0,0.0001237313,4.1722473387,3.8315963625,4488,4488,4.2470838562,4488,4.0914246325,3541,KGHM,0.9959159573,0,monthly,2.08612366935,2.1235419281,1.91579818125,2.04571231625,,
0.0255596112,,1099156,0.0051967146,0.0059855016,6579,10,reset,5,0.1756533309,0.0176405066,6579,6579,0.2437604047,6579,0.2154396191,1405,7.3901808786,783.5397104688,8.0,586.0,linear,2017-04,0.9690917395,1099156,150.0,1566.0,0.0001519348,4.2285964563,3.9125474265,6579,6579,4.3647984239,6579,3.6763493117,1405,KGHM,0.9940144984,0,monthly,2.11429822815,2.18239921195,1.95627371325,1.83817465585,,
0.025293043,,1099156,0.004634465,0.0054023269,5938,10,reset,5,0.135379394,-0.021440608,5937,5937,0.1746097547,5937,0.2284340109,1175,7.4708656113,774.8037339559,8.0,577.0,xgboost,2017-04,0.9699169181,1099156,150.0,1551.0,0.0001555739,4.2237588082,3.9100626964,5937,5937,4.3022379177,5937,3.7789837811,1175,KGHM,0.9945976731,0,monthly,2.1118794041,2.15111895885,1.9550313482,1.88949189055,,
0.0415705166,,1098976,0.013718225,0.0160385668,17626,20,reset,0,-0.1479626264,-0.4099214548,17626,17626,-0.2399752624,17626,-0.2357025371,17626,14.2106547146,819.8875525944,15.0,620.0,linear,2017-04,0.944073392,1098976,190.0,1598.0,0.0006378665,4.2582106122,3.7342789059,17626,17626,4.0741931537,17626,4.0827197936,17626,KGHM,0.9839614332,0,monthly,2.1291053061,2.03709657685,1.86713945295,2.0413598968,,
0.0408944326,,1098976,0.0134598026,0.0156946103,17248,20,reset,0,-0.1640877481,-0.4328494769,17248,17248,-0.2627815735,17248,-0.2473170099,17248,14.2364911874,806.9206615977,15.0,607.0,xgboost,2017-04,0.9450088082,1098976,182.0,1583.0,0.0006369566,4.4279437127,3.8903686796,17248,17248,4.2305623147,17248,4.261460517,17248,KGHM,0.9843053897,0,monthly,2.21397185635,2.11528115735,1.9451843398,2.1307302585,,
0.0435095944,,1098976,0.0154980637,0.0181086757,19901,20,reset,1,-0.0821412769,-0.3462686154,19901,19901,-0.1549715783,19901,-0.1575667041,18114,13.7649866841,810.0699887896,14.0,611.0,linear,2017-04,0.9403117084,1098976,177.0,1590.0,0.0006806336,4.2999496486,3.7716811676,19901,19901,4.1542931827,19901,4.1036152812,18114,KGHM,0.9818913243,0,monthly,2.1499748243,2.07714659135,1.8858405838,2.0518076406,,
0.0428890167,,1098976,0.0146973182,0.0172051073,18908,20,reset,1,-0.1274659993,-0.3953087739,18908,18908,-0.218478252,18908,-0.1937421113,17142,13.971281997,798.7540919911,15.0,600.5,xgboost,2017-04,0.9417321215,1098976,172.0,1575.0,0.0006815435,4.4085523702,3.8728216244,18908,18908,4.2265375701,18908,4.2396030724,17142,KGHM,0.9827948927,0,monthly,2.2042761851,2.11326878505,1.9364108122,2.1198015362,,
0.0486289055,,1098976,0.0181805608,0.0213571543,23471,20,reset,5,-0.0563240623,-0.309286051,23471,23471,-0.1219272247,23471,-0.0047026486,14132,13.473094457,783.4848031258,14.0,586.0,linear,2017-04,0.9324225461,1098976,150.0,1566.0,0.0007679877,4.2800281225,3.7740784988,23471,23471,4.1488060283,23471,4.1642963809,14132,KGHM,0.9786428457,0,monthly,2.14001406125,2.07440301415,1.8870392494,2.08214819045,,
0.0482722098,,1098976,0.0174416912,0.0205727878,22609,20,reset,5,-0.0891937932,-0.353532782,22609,22609,-0.1794904793,22609,-0.0407277487,13289,13.6678756248,774.2768832076,14.0,577.0,xgboost,2017-04,0.933509012,1098976,150.0,1550.0,0.000777087,4.3538168192,3.8250952421,22609,22609,4.1732169671,22609,4.2254022372,13289,KGHM,0.9794272122,0,monthly,2.1769084096,2.08660848355,1.91254762105,2.1127011186,,
0.1029563853,,1098436,0.0630596594,0.0758086953,83271,50,reset,0,-0.2592012644,-0.6527284687,83271,83271,-0.489439734,83271,-0.8226728088,83271,31.4442723157,819.2357333518,32.0,620.0,linear,2017-04,0.830240451,1098436,190.0,1598.0,0.0037435044,4.9836244354,4.1965307277,83271,83271,4.5231320485,83271,3.8566583163,83271,KGHM,0.9241913047,0,monthly,2.4918122177,2.26156602425,2.09826536385,1.92832915815,,
0.1016162981,,1098436,0.0634829885,0.0761418963,83637,50,reset,0,-0.2646150129,-0.6609039192,83636,83637,-0.4950618722,83637,-0.8211440989,83637,31.543909992,804.2659217287,32.0,605.0,xgboost,2017-04,0.8312418748,1098436,180.0,1579.0,0.0036588386,5.1430692246,4.3502630854,83636,83637,4.6821390264,83637,4.0299357757,83637,KGHM,0.9238581037,0,monthly,2.5715346123,2.3410695132,2.1751315427,2.01496788785,,
0.1057330605,,1098436,0.0659428497,0.079295471,87101,50,reset,1,-0.2377499133,-0.6242291185,87101,87101,-0.4571559352,87101,-0.781738375,84679,30.9315162857,809.4202520675,32.0,610.0,linear,2017-04,0.8244768016,1098436,177.0,1590.0,0.0038472883,4.9864181079,4.213423018,87101,87101,4.5475912244,87101,3.8719026492,84679,KGHM,0.920704529,0,monthly,2.49320905395,2.2737956122,2.106711509,1.9359513246,,
0.1043064867,,1098436,0.0657043287,0.0789158403,86684,50,reset,1,-0.2520487,-0.642676052,86683,86684,-0.475173972,86684,-0.7923450907,84229,31.1871164229,796.1864514637,32.0,600.0,xgboost,2017-04,0.8262411283,1098436,170.0,1572.0,0.0037480563,5.1277793869,4.3463041596,86683,86684,4.68149505,86684,4.020479836,84229,KGHM,0.9210841597,0,monthly,2.56388969345,2.340747525,2.1731520798,2.010239918,,
0.1134567694,,1098436,0.0716464136,0.0863691649,94871,50,reset,5,-0.2192935844,-0.5955659429,94871,94871,-0.4285489921,94871,-0.7008478443,82325,30.3760158531,782.8605262391,31.0,585.0,linear,2017-04,0.8107955311,1098436,150.0,1565.0,0.0041012858,4.9829997789,4.2304237687,94871,94871,4.5644745533,94871,3.8729011474,82325,KGHM,0.9136308351,0,monthly,2.49149988945,2.28223727665,2.11521188435,1.9364505737,,
0.1118799821,,1098436,0.0712767972,0.0858019948,94248,50,reset,5,-0.2320779884,-0.6137820709,94247,94248,-0.4464896604,94248,-0.7181893137,81660,30.5687123334,771.9789555331,31.0,573.0,xgboost,2017-04,0.8129185496,1098436,149.0,1549.0,0.0039246711,5.0960623591,4.3324525059,94247,94248,4.6672060951,94248,3.9749735111,81660,KGHM,0.9141980052,0,monthly,2.54803117955,2.33360304755,2.16622625295,1.98748675555,,
0.0320238477,,1014775,0.0066310266,0.0081121431,8232,10,retain,0,0.1186842749,0.0898572339,8232,8232,0.1999613256,8232,0.2464340006,8232,7.320335277,844.8412859994,7.0,647.0,linear,2017-06,0.9610465374,1014775,200.0,1597.0,0.0002985884,4.4771862947,4.4195173258,8232,8232,4.6397095741,8232,4.7327109874,8232,KGHM,0.9918878569,0,monthly,2.23859314735,2.31985478705,2.2097586629,2.3663554937,,
0.0500682417,7.0,1014775,0.0149629228,0.0178482915,18112,10,retain,0,0.0478017537,-0.1137847571,18106,18112,0.0755535615,18112,0.0879840834,18112,7.1303003534,558.6343504718,7.0,367.0,xgboost,2017-06,0.9343164741,1014775,83.0,1214.0,0.0006523614,5.1815294417,4.8585295679,18106,18112,5.2370354495,18112,5.2619252178,18112,KGHM,0.9821517085,0,monthly,2.59076472085,2.61851772475,2.42926478395,2.6309626089,,
0.0313537484,,1014775,0.0062664137,0.0076115395,7724,10,retain,0,0.1038138734,0.0872460771,7723,7724,0.1957725533,7724,0.2373686886,7724,7.3865872605,837.0549136508,8.0,640.0,xgboost,2017-06,0.9620861767,1014775,199.0,1584.0,0.0002936612,4.5070766344,4.473869134,7723,7724,4.6909565602,7724,4.7741986709,7724,KGHM,0.9923884605,0,monthly,2.2535383172,2.3454782801,2.236934567,2.38709933545,,
0.0338390284,,1014775,0.00745584,0.0090502821,9184,10,retain,1,0.178279342,0.0518757931,9184,9184,0.1832481334,9184,0.2451812478,7585,7.21853223,830.6728259959,7.0,633.0,linear,2017-06,0.9583750092,1014775,188.0,1580.0,0.0003301224,4.6358706152,4.3830505689,9184,9184,4.6457705886,9184,4.7020884179,7585,KGHM,0.9909497179,0,monthly,2.3179353076,2.3228852943,2.19152528445,2.35104420895,,
0.0499588579,7.0,1014775,0.0149264615,0.0178078884,18071,10,retain,1,0.0488466332,-0.1288139185,18066,18071,0.0633096307,18071,0.0724777229,15036,7.1387859001,558.894804267,7.0,367.0,xgboost,2017-06,0.9344564066,1014775,83.0,1214.0,0.000658274,5.1170043874,4.7618212575,18066,18071,5.1459325418,18071,5.1221759743,15036,KGHM,0.9821921116,0,monthly,2.5585021937,2.5729662709,2.38091062875,2.56108798715,,
0.0333768569,,1014775,0.0071602079,0.0086689168,8797,10,retain,1,0.1585027085,0.0581015515,8796,8797,0.1921016473,8797,0.241976584,7256,7.23905877,824.2413283733,7.0,626.0,xgboost,2017-06,0.959135769,1014775,185.0,1573.0,0.0003271661,4.7069892192,4.5061514534,8796,8797,4.7741518161,8797,4.8136210818,7256,KGHM,0.9913310832,0,monthly,2.3534946096,2.38707590805,2.2530757267,2.4068105409,,
0.0393703038,,1014775,0.0094316474,0.0115680816,11739,10,retain,5,0.1212164342,0.0038238852,11739,11739,0.1473375486,11739,0.2082159189,2972,7.1903058182,800.5838042916,7.0,605.0,linear,2017-06,0.9507812077,1014775,150.0,1559.0,0.0004168412,4.3017433584,4.066937766,11739,11739,4.3539203217,11739,4.1883465672,2972,KGHM,0.9884319184,0,monthly,2.1508716792,2.17696016085,2.033468883,2.0941732836,,
0.0501648149,7.0,1014775,0.0148712769,0.0177359513,17998,10,retain,5,0.0272910272,-0.1419440301,17997,17998,0.026936729,17998,0.1083107515,4865,7.1282920324,557.7530871375,7.0,365.0,xgboost,2017-06,0.9343164741,1014775,82.0,1214.0,0.0006474342,5.0568241877,4.7183981404,17997,17998,5.0561264303,17998,5.4667257297,4865,KGHM,0.9822640487,0,monthly,2.52841209385,2.52806321515,2.3591990702,2.73336286485,,
0.0391929245,,1014775,0.0091616368,0.0112320465,11398,10,retain,5,0.112964356,0.0010277798,11397,11398,0.1576793076,11398,0.2092926348,2873,7.2008247061,794.9945672686,7.0,600.0,xgboost,2017-06,0.9512216994,1014775,150.0,1549.0,0.0004237393,4.394494476,4.1705854347,11397,11398,4.4838863078,11398,4.3275928162,2873,KGHM,0.9887679535,0,monthly,2.197247238,2.2419431539,2.08529271735,2.1637964081,,
0.0595368458,,1014565,0.0221947337,0.0275871925,27989,20,retain,0,-0.0810628666,-0.3689733122,27989,27989,-0.2246664437,27989,-0.1326627657,27989,13.3189824574,845.1629180979,14.0,647.0,linear,2017-06,0.9170117242,1014565,200.0,1597.0,0.0012566962,4.7910492989,4.2151883518,27989,27989,4.5038215427,27989,4.6878394461,27989,KGHM,0.9724128075,0,monthly,2.39552464945,2.25191077135,2.1075941759,2.34391972305,,
0.0901095543,7.0,1014565,0.0433565124,0.0532760346,54052,20,retain,0,-0.1248211711,-0.374153603,54052,54052,-0.20831221,54052,-0.2364129724,54052,12.7193443351,554.5319609882,13.0,365.0,xgboost,2017-06,0.8642156984,1014565,80.0,1220.0,0.0023182349,5.1249946117,4.6262722905,54052,54052,4.957984907,54052,4.9017931823,54052,KGHM,0.9467239654,0,monthly,2.56249730585,2.4789924535,2.31313614525,2.45089659115,,
0.0588350672,,1014565,0.0221868486,0.0274018915,27801,20,retain,0,-0.1039494714,-0.3867028042,27801,27801,-0.2306625327,27801,-0.1505385212,27801,13.3841588432,835.1634040204,14.0,637.0,xgboost,2017-06,0.9177144885,1014565,197.0,1580.0,0.0012635957,4.9369760183,4.3714387099,27801,27801,4.6835333772,27801,4.8437928348,27801,KGHM,0.9725981085,0,monthly,2.46848800915,2.3417666886,2.18571935495,2.4218964174,,
0.0620265828,,1014565,0.023958051,0.029779265,30213,20,retain,1,-0.0604878447,-0.3604756852,30213,30213,-0.2146312844,30213,-0.1323327955,27874,13.1551980935,830.9905348598,14.0,634.0,linear,2017-06,0.9126847467,1014565,188.0,1581.0,0.0013306195,4.8048962426,4.2048777162,30213,30213,4.4965900774,30213,4.6023292479,27874,KGHM,0.970220735,0,monthly,2.4024481213,2.2482950387,2.1024388581,2.30116462395,,
0.0900888558,7.0,1014565,0.0429307141,0.0528847339,53655,20,retain,1,-0.1212888141,-0.3739212518,53655,53655,-0.2074549561,53655,-0.2253280519,49967,12.7463982853,554.5074726607,13.0,365.0,xgboost,2017-06,0.8646759941,1014565,80.0,1220.0,0.0023044359,5.1568225143,4.651500332,53655,53655,4.9844659239,53655,4.8879757222,49967,KGHM,0.9471152661,0,monthly,2.57841125715,2.49223296195,2.325750166,2.4439878611,,
0.0612863641,,1014565,0.0237165682,0.0293436103,29771,20,retain,1,-0.0871889607,-0.3835637274,29771,29771,-0.2264487506,29771,-0.1474422134,27440,13.2230022505,822.5235031762,14.0,624.0,xgboost,2017-06,0.9136556061,1014565,184.0,1570.0,0.0013414616,4.94928801,4.3565030964,29771,29771,4.6707514054,29771,4.7781764557,27440,KGHM,0.9706563897,0,monthly,2.474644005,2.3353757027,2.1782515482,2.38908822785,,
0.0694721383,,1014565,0.0280474883,0.0353865943,35902,20,retain,5,-0.0737525849,-0.356294933,35902,35902,-0.2038912088,35902,-0.0141753857,23151,12.913403153,800.746567248,13.0,605.0,linear,2017-06,0.9009467112,1014565,150.0,1559.0,0.0015336622,4.5672404982,4.0020959005,35902,35902,4.3069352246,35902,4.3684533232,23151,KGHM,0.9646134057,0,monthly,2.2836202491,2.1534676123,2.00104795025,2.1842266616,,
0.0890696998,7.0,1014565,0.0425561694,0.0522894048,53051,20,retain,5,-0.1204185917,-0.382056474,53048,53051,-0.2198503089,53050,-0.1178746128,34872,12.7497502403,554.6986945144,13.0,365.0,xgboost,2017-06,0.8661032068,1014565,80.0,1220.0,0.002270924,5.2148322958,4.6913765994,53048,53051,5.0157949246,53050,4.9103620821,34872,KGHM,0.9477105952,0,monthly,2.6074161479,2.5078974623,2.3456882997,2.45518104105,,
0.0691192777,,1014565,0.0278750006,0.0350810446,35592,20,retain,5,-0.0941564825,-0.3699226628,35592,35592,-0.2121626287,35592,-0.0219957201,22852,12.960103394,793.3795173301,13.0,600.0,xgboost,2017-06,0.9014464327,1014565,150.0,1547.0,0.001559289,4.7008751419,4.1492900269,35592,35592,4.4648456456,35592,4.5573382009,22852,KGHM,0.9649189554,0,monthly,2.35043757095,2.2324228228,2.07464501345,2.27866910045,,
0.1295812848,,1013935,0.0823415702,0.1046309675,106089,50,retain,0,-0.2359903323,-0.7314838215,106086,106089,-0.5319567059,106086,-0.8741689691,106089,29.7267200181,845.1560060556,30.0,647.0,linear,2017-06,0.7821162106,1013935,200.0,1598.0,0.0059609344,5.7051127828,4.7138919549,106086,106089,5.1129620307,106086,4.4287636525,106089,KGHM,0.8953690325,0,monthly,2.8525563914,2.55648101535,2.35694597745,2.21438182625,,
0.1750901192,7.0,1013935,0.1288889327,0.1629078787,165178,50,retain,0,-0.1990998431,-0.5308589518,165175,165178,-0.3799039574,165178,-0.6771631961,165178,28.0352952572,557.8265510117,28.0,373.0,xgboost,2017-06,0.6866751813,1013935,84.0,1217.0,0.0093457667,6.2235598467,5.5597786414,165175,165178,5.8618626117,165178,5.2672958632,165178,KGHM,0.8370921213,0,monthly,3.11177992335,2.93093130585,2.7798893207,2.6336479316,,
0.1296227076,,1013935,0.0846109465,0.1072573686,108752,50,retain,0,-0.2434355738,-0.7232499789,108749,108752,-0.5208259806,108749,-0.8571011005,108752,29.8651243196,827.2967576817,31.0,628.0,xgboost,2017-06,0.7796199954,1013935,191.0,1577.0,0.0061463506,5.9903664972,5.0304893001,108749,108752,5.4353693724,108749,4.7629946744,108752,KGHM,0.8927426314,0,monthly,2.9951832486,2.7176846862,2.51524465005,2.3814973372,,
0.132792536,,1013935,0.0853506388,0.1085187907,110031,50,retain,1,-0.2243922132,-0.713127426,110027,110031,-0.5169889931,110027,-0.8473643091,107407,29.3919713535,830.93226193,30.0,633.0,linear,2017-06,0.7757647186,1013935,188.0,1581.0,0.0060921065,5.6999815157,4.7222155361,110027,110031,5.114507763,110027,4.4148266776,107407,KGHM,0.8914812093,0,monthly,2.84999075785,2.5572538815,2.36110776805,2.2074133388,,
0.1749372494,7.0,1013935,0.1284036945,0.1623526163,164615,50,retain,1,-0.2004187121,-0.532363428,164612,164615,-0.3817770204,164615,-0.6706499309,161068,28.0686024967,557.8099671083,28.0,373.0,xgboost,2017-06,0.6873142756,1013935,84.0,1219.0,0.0093447805,6.2297935504,5.5656397784,164612,164615,5.8669881989,164615,5.2570940761,161068,KGHM,0.8376473837,0,monthly,3.1148967752,2.93349409945,2.7828198892,2.62854703805,,
