model,contrast,symbol,period,delta_ic
linear,F5-F4,PKOBP,2017-06,-0.00019934671570975837
linear,F5-F4,PKOBP,2017-09,0.0008135951827845656
linear,F5-F4,PKOBP,2017-11,0.0002157191933556124
linear,F5-F4,PZU,2017-04,0.000487546348213852
linear,F5-F4,PZU,2017-06,-0.00026701585406399553
linear,F5-F4,PZU,2017-09,0.0007112192273335816
linear,F5-F4,PZU,2017-11,0.0007516225494595963
xgboost,F2-F1,KGHM,2017-04,0.00195354053939778
xgboost,F2-F1,KGHM,2017-06,0.0016488996083916518
xgboost,F2-F1,KGHM,2017-09,0.004158269596140074
xgboost,F2-F1,KGHM,2017-11,0.003061443748459014
xgboost,F2-F1,PEKAO,2017-04,0.005098041678542831
xgboost,F2-F1,PEKAO,2017-06,0.0026714608676231544
xgboost,F2-F1,PEKAO,2017-09,0.002785766974539805
xgboost,F2-F1,PEKAO,2017-11,0.0010618403494302986
xgboost,F2-F1,PKNORLEN,2017-04,0.006006754971939254
xgboost,F2-F1,PKNORLEN,2017-06,0.004862018375604793
xgboost,F2-F1,PKNORLEN,2017-09,-0.00047172340279716396
xgboost,F2-F1,PKNORLEN,2017-11,0.0010265816561535746
xgboost,F2-F1,PKOBP,2017-04,-0.00013928593573886427
xgboost,F2-F1,PKOBP,2017-06,0.0004749186734473443
xgboost,F2-F1,PKOBP,2017-09,0.0013169901180662968
xgboost,F2-F1,PKOBP,2017-11,0.0004747498744520351
xgboost,F2-F1,PZU,2017-04,-0.0036906637651408503
xgboost,F2-F1,PZU,2017-06,0.0022969934544457005
xgboost,F2-F1,PZU,2017-09,-0.0014034294618151255
xgboost,F2-F1,PZU,2017-11,-0.0005771217066848355
xgboost,F3-F2,KGHM,2017-04,0.010192126327989826
xgboost,F3-F2,KGHM,2017-06,0.009200706000693837
xgboost,F3-F2,KGHM,2017-09,0.010329278415573295
xgboost,F3-F2,KGHM,2017-11,0.010391290279816168
xgboost,F3-F2,PEKAO,2017-04,0.009516251448051738
xgboost,F3-F2,PEKAO,2017-06,0.005870479796803385
xgboost,F3-F2,PEKAO,2017-09,0.009449272995777747
xgboost,F3-F2,PEKAO,2017-11,0.011502445517139276
xgboost,F3-F2,PKNORLEN,2017-04,0.008630461762796304
xgboost,F3-F2,PKNORLEN,2017-06,0.010465728794730733
xgboost,F3-F2,PKNORLEN,2017-09,0.023212384301951716
xgboost,F3-F2,PKNORLEN,2017-11,0.012869100278505213
xgboost,F3-F2,PKOBP,2017-04,0.007155453976350229
xgboost,F3-F2,PKOBP,2017-06,0.0035025375864102815
xgboost,F3-F2,PKOBP,2017-09,0.0072125646838768764
xgboost,F3-F2,PKOBP,2017-11,0.005233914179579663
xgboost,F3-F2,PZU,2017-04,0.008144929055788008
xgboost,F3-F2,PZU,2017-06,0.006142756669781174
xgboost,F3-F2,PZU,2017-09,0.013066284811316942
xgboost,F3-F2,PZU,2017-11,0.011387580881451198
xgboost,F4-F2,KGHM,2017-04,0.0018411439186015177
xgboost,F4-F2,KGHM,2017-06,0.0007432485922957421
xgboost,F4-F2,KGHM,2017-09,0.0049448432581784
xgboost,F4-F2,KGHM,2017-11,0.005582837723571044
xgboost,F4-F2,PEKAO,2017-04,-0.0013794420053755974
xgboost,F4-F2,PEKAO,2017-06,-0.00020419871472227014
xgboost,F4-F2,PEKAO,2017-09,0.0006808052439511436
xgboost,F4-F2,PEKAO,2017-11,0.00033615569443001814
xgboost,F4-F2,PKNORLEN,2017-04,-0.0006978144373587791
xgboost,F4-F2,PKNORLEN,2017-06,0.0008228381352712311
xgboost,F4-F2,PKNORLEN,2017-09,0.002693801615136049
xgboost,F4-F2,PKNORLEN,2017-11,0.00015459937009895675
xgboost,F4-F2,PKOBP,2017-04,-0.0012676948226413853
xgboost,F4-F2,PKOBP,2017-06,-0.0006861235643909058
xgboost,F4-F2,PKOBP,2017-09,0.0007122452090987941
xgboost,F4-F2,PKOBP,2017-11,0.0009551872273939888
xgboost,F4-F2,PZU,2017-04,-0.004331297249969557
xgboost,F4-F2,PZU,2017-06,0.0008601036264906103
xgboost,F4-F2,PZU,2017-09,0.0029714491060420234
xgboost,F4-F2,PZU,2017-11,0.0038489424563521446
xgboost,F5-F3,KGHM,2017-04,0.001365511419976706
xgboost,F5-F3,KGHM,2017-06,0.0009222480510704956
xgboost,F5-F3,KGHM,2017-09,0.004008205612592519
xgboost,F5-F3,KGHM,2017-11,0.004765193962095793
xgboost,F5-F3,PEKAO,2017-04,-0.0017150659747543484
xgboost,F5-F3,PEKAO,2017-06,-0.0003767984780380096
xgboost,F5-F3,PEKAO,2017-09,7.117209683882297e-05
xgboost,F5-F3,PEKAO,2017-11,-0.0002552787813899504
xgboost,F5-F3,PKNORLEN,2017-04,-0.0003655292984564018
xgboost,F5-F3,PKNORLEN,2017-06,0.0006270984030754545
xgboost,F5-F3,PKNORLEN,2017-09,0.0019196283844279405
xgboost,F5-F3,PKNORLEN,2017-11,3.90490732108395e-05
xgboost,F5-F3,PKOBP,2017-04,-0.001597620966594493
xgboost,F5-F3,PKOBP,2017-06,-0.0009081739576542458
xgboost,F5-F3,PKOBP,2017-09,0.0010728533902974458
xgboost,F5-F3,PKOBP,2017-11,0.0005339232479044664
xgboost,F5-F3,PZU,2017-04,-0.0062203590893438465
xgboost,F5-F3,PZU,2017-06,0.0002975591840855829
xgboost,F5-F3,PZU,2017-09,0.0022137008490330234
xgboost,F5-F3,PZU,2017-11,0.0033466162383956333
xgboost,F5-F4,KGHM,2017-04,0.009716493829365014
xgboost,F5-F4,KGHM,2017-06,0.00937970545946859
xgboost,F5-F4,KGHM,2017-09,0.009392640769987415
xgboost,F5-F4,KGHM,2017-11,0.009573646518340917
xgboost,F5-F4,PEKAO,2017-04,0.009180627478672987
xgboost,F5-F4,PEKAO,2017-06,0.005697880033487646
xgboost,F5-F4,PEKAO,2017-09,0.008839639848665426
xgboost,F5-F4,PEKAO,2017-11,0.010911011041319307
xgboost,F5-F4,PKNORLEN,2017-04,0.008962746901698682
xgboost,F5-F4,PKNORLEN,2017-06,0.010269989062534957
xgboost,F5-F4,PKNORLEN,2017-09,0.022438211071243608
xgboost,F5-F4,PKNORLEN,2017-11,0.012753549981617096
xgboost,F5-F4,PKOBP,2017-04,0.006825527832397121
xgboost,F5-F4,PKOBP,2017-06,0.0032804871931469415
xgboost,F5-F4,PKOBP,2017-09,0.007573172865075528
xgboost,F5-F4,PKOBP,2017-11,0.0048126502000901406
xgboost,F5-F4,PZU,2017-04,0.006255867216413719
xgboost,F5-F4,PZU,2017-06,0.005580212227376147
xgboost,F5-F4,PZU,2017-09,0.012308536554307942
xgboost,F5-F4,PZU,2017-11,0.010885254663494687
xgboost-linear,F1,KGHM,2017-04,-0.0029100738338608267
xgboost-linear,F1,KGHM,2017-06,-0.0010089549807298925
xgboost-linear,F1,KGHM,2017-09,-0.006499170663381293
xgboost-linear,F1,KGHM,2017-11,-0.000981784503245986
xgboost-linear,F1,PEKAO,2017-04,0.0007917452925726987
xgboost-linear,F1,PEKAO,2017-06,0.0016934339936759413
xgboost-linear,F1,PEKAO,2017-09,-0.0013677382777995128
xgboost-linear,F1,PEKAO,2017-11,0.0011770984382245553
xgboost-linear,F1,PKNORLEN,2017-04,-0.0024666356994493266
xgboost-linear,F1,PKNORLEN,2017-06,-0.003213197442185678
xgboost-linear,F1,PKNORLEN,2017-09,-0.0022829953750246323
xgboost-linear,F1,PKNORLEN,2017-11,-0.0014377405115005015
xgboost-linear,F1,PKOBP,2017-04,-0.0025640641687151577
xgboost-linear,F1,PKOBP,2017-06,-0.0019646350306634086
xgboost-linear,F1,PKOBP,2017-09,-0.00011526192491395637
xgboost-linear,F1,PKOBP,2017-11,-0.0007091108580175587
xgboost-linear,F1,PZU,2017-04,-0.003458170574245245
xgboost-linear,F1,PZU,2017-06,-0.0009231347774683873
xgboost-linear,F1,PZU,2017-09,-0.0027580986807350105
xgboost-linear,F1,PZU,2017-11,-0.0015459541460222659
xgboost-linear,F2,KGHM,2017-04,-0.0032761863980794725
xgboost-linear,F2,KGHM,2017-06,-0.0026010616053514513
xgboost-linear,F2,KGHM,2017-09,-0.0054643783660968115
xgboost-linear,F2,KGHM,2017-11,-0.0008252038878557855
xgboost-linear,F2,PEKAO,2017-04,0.001168781632107374
xgboost-linear,F2,PEKAO,2017-06,0.0011770792594382185
xgboost-linear,F2,PEKAO,2017-09,-0.0006910897428569207
xgboost-linear,F2,PEKAO,2017-11,0.00028508028076776326
xgboost-linear,F2,PKNORLEN,2017-04,-0.0001495132487888684
xgboost-linear,F2,PKNORLEN,2017-06,-0.0007737076037203083
xgboost-linear,F2,PKNORLEN,2017-09,-0.0035507011483867923
xgboost-linear,F2,PKNORLEN,2017-11,-0.001500413603978068
xgboost-linear,F2,PKOBP,2017-04,-0.0035579808320636286
xgboost-linear,F2,PKOBP,2017-06,-0.003840360682598465
xgboost-linear,F2,PKOBP,2017-09,-0.0004865235844531135
xgboost-linear,F2,PKOBP,2017-11,-0.000549542584649565
xgboost-linear,F2,PZU,2017-04,-0.007557167338726689
xgboost-linear,F2,PZU,2017-06,-0.0020098888575738327
xgboost-linear,F2,PZU,2017-09,-0.00426268440334901
xgboost-linear,F2,PZU,2017-11,-0.000979898466679785
xgboost-linear,F3,KGHM,2017-04,0.005002237402048526
xgboost-linear,F3,KGHM,2017-06,0.006866247981269447
xgboost-linear,F3,KGHM,2017-09,0.0030899361780815093
xgboost-linear,F3,KGHM,2017-11,0.007955065118549653
xgboost-linear,F3,PEKAO,2017-04,0.009900068700024245
xgboost-linear,F3,PEKAO,2017-06,0.006521522081260445
xgboost-linear,F3,PEKAO,2017-09,0.00714350992515983
xgboost-linear,F3,PEKAO,2017-11,0.00987861239110785
xgboost-linear,F3,PKNORLEN,2017-04,0.007771126709588405
xgboost-linear,F3,PKNORLEN,2017-06,0.008696536699195678
xgboost-linear,F3,PKNORLEN,2017-09,0.016864599018951765
xgboost-linear,F3,PKNORLEN,2017-11,0.009806945022008073
xgboost-linear,F3,PKOBP,2017-04,0.002901916390412651
xgboost-linear,F3,PKOBP,2017-06,-0.00014228223254697525
xgboost-linear,F3,PKOBP,2017-09,0.005879767228582078
xgboost-linear,F3,PKOBP,2017-11,0.004462713844447352
xgboost-linear,F3,PZU,2017-04,9.622419633623092e-05
xgboost-linear,F3,PZU,2017-06,0.004396523029712468
xgboost-linear,F3,PZU,2017-09,0.008070887611703215
xgboost-linear,F3,PZU,2017-11,0.009608633142476786
xgboost-linear,F4,KGHM,2017-04,-0.0031642039277182676
xgboost-linear,F4,KGHM,2017-06,-0.0028427269407914624
xgboost-linear,F4,KGHM,2017-09,-0.004163109204416704
xgboost-linear,F4,KGHM,2017-11,0.00037589287403866356
xgboost-linear,F4,PEKAO,2017-04,-0.00021975001576546305
xgboost-linear,F4,PEKAO,2017-06,0.0010960283806713544
xgboost-linear,F4,PEKAO,2017-09,0.00023388666723567209
xgboost-linear,F4,PEKAO,2017-11,0.0014813638997847323
xgboost-linear,F4,PKNORLEN,2017-04,-0.0007366548052875621
xgboost-linear,F4,PKNORLEN,2017-06,-0.001536824751166621
xgboost-linear,F4,PKNORLEN,2017-09,-0.002458901210439568
xgboost-linear,F4,PKNORLEN,2017-11,-0.0019860759854234133
xgboost-linear,F4,PKOBP,2017-04,-0.005059661179380004
xgboost-linear,F4,PKOBP,2017-06,-0.004417247268413027
xgboost-linear,F4,PKOBP,2017-09,-0.00038930226325550876
xgboost-linear,F4,PKOBP,2017-11,-0.00011884442465670553
xgboost-linear,F4,PZU,2017-04,-0.011301682781009514
xgboost-linear,F4,PZU,2017-06,-0.0016613948630271325
xgboost-linear,F4,PZU,2017-09,-0.0016049357825704547
xgboost-linear,F4,PZU,2017-11,0.0008297722291293885
xgboost-linear,F5,KGHM,2017-04,0.0047706849907668825
xgboost-linear,F5,KGHM,2017-06,0.006875366917470038
xgboost-linear,F5,KGHM,2017-09,0.0036509608010489303
xgboost-linear,F5,KGHM,2017-11,0.008571605787803693
xgboost-linear,F5,PEKAO,2017-04,0.008163428940742068
xgboost-linear,F5,PEKAO,2017-06,0.006268576207507037
xgboost-linear,F5,PEKAO,2017-09,0.007467551181725374
xgboost-linear,F5,PEKAO,2017-11,0.010548237297259205
xgboost-linear,F5,PKNORLEN,2017-04,0.007536854721264863
xgboost-linear,F5,PKNORLEN,2017-06,0.007797349909783036
xgboost-linear,F5,PKNORLEN,2017-09,0.017364933405284666
xgboost-linear,F5,PKNORLEN,2017-11,0.009301825164775679
xgboost-linear,F5,PKOBP,2017-04,0.0010896679931151343
xgboost-linear,F5,PKOBP,2017-06,-0.0009374133595563272
xgboost-linear,F5,PKOBP,2017-09,0.006370275419035454
xgboost-linear,F5,PKOBP,2017-11,0.004478086582077823
xgboost-linear,F5,PZU,2017-04,-0.005533361912809648
xgboost-linear,F5,PZU,2017-06,0.00418583321841301
xgboost-linear,F5,PZU,2017-09,0.009992381544403905
xgboost-linear,F5,PZU,2017-11,0.010963404343164479
