symbol,period,model,origin,ic,ic_old,ic_drift,test_row_hash
KGHM,2017-04,linear,verified_original_prediction,0.2642801783854219,0.2642801783854219,0.0,6a0f0e27f0982f7802b54a8e8958bced64f92abb61024231218305f35d95a9a6
KGHM,2017-04,xgboost,verified_original_prediction,0.2690508633761888,0.2690508633761888,0.0,6a0f0e27f0982f7802b54a8e8958bced64f92abb61024231218305f35d95a9a6
KGHM,2017-06,linear,verified_original_prediction,0.2647644785556755,0.2647644785556755,0.0,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3
KGHM,2017-06,xgboost,verified_original_prediction,0.2716398454731455,0.2716398454731455,0.0,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3
KGHM,2017-09,linear,verified_original_prediction,0.284364149867282,0.284364149867282,0.0,284d9e7413ca7e975b62d890893650d7d36e91d9e8f489daa7b527f9c0e8c641
KGHM,2017-09,xgboost,verified_original_prediction,0.2880151106683309,0.2880151106683309,0.0,284d9e7413ca7e975b62d890893650d7d36e91d9e8f489daa7b527f9c0e8c641
KGHM,2017-11,linear,verified_original_prediction,0.2650989841082189,0.2650989841082189,0.0,d9776cbdf1150d918522142dde71d9249f10dac498f131e31088c432b54eb1a3
KGHM,2017-11,xgboost,verified_original_prediction,0.2736705898960226,0.2736705898960226,0.0,d9776cbdf1150d918522142dde71d9249f10dac498f131e31088c432b54eb1a3
PEKAO,2017-04,linear,verified_original_prediction,0.251340047533016,0.251340047533016,0.0,7b645ccc9783c7abd87224e53f21aead91a7177902ef2f9fa814d5cca512d3de
PEKAO,2017-04,xgboost,verified_original_prediction,0.2595034764737581,0.2595034764737581,0.0,7b645ccc9783c7abd87224e53f21aead91a7177902ef2f9fa814d5cca512d3de
PEKAO,2017-06,linear,verified_original_prediction,0.2678522102759484,0.2678522102759484,0.0,840577ef5ae26c78d60f0138f4970706b283a9d36012b42b3790486205753838
PEKAO,2017-06,xgboost,verified_original_prediction,0.2741207864834555,0.2741207864834555,0.0,840577ef5ae26c78d60f0138f4970706b283a9d36012b42b3790486205753838
PEKAO,2017-09,linear,verified_original_prediction,0.2739466104886564,0.2739466104886564,0.0,fd81c2c2506383d0b824b95d44d5dbdc5afdbfb1943f08c22175e2eececf8df0
PEKAO,2017-09,xgboost,verified_original_prediction,0.2814141616703818,0.2814141616703818,0.0,fd81c2c2506383d0b824b95d44d5dbdc5afdbfb1943f08c22175e2eececf8df0
PEKAO,2017-11,linear,verified_original_prediction,0.2243193173265345,0.2243193173265345,0.0,cf19283492df480f4826c8c46f26a139dbdae357518a6bdc802ad98a6fbc0876
PEKAO,2017-11,xgboost,verified_original_prediction,0.2348675546237937,0.2348675546237937,0.0,cf19283492df480f4826c8c46f26a139dbdae357518a6bdc802ad98a6fbc0876
PKNORLEN,2017-04,linear,verified_original_prediction,0.2791374279118928,0.2791374279118928,0.0,11de68f0a11066d078c23c2000fa67e860f9639a49f0369b1759480312fd6dcc
PKNORLEN,2017-04,xgboost,verified_original_prediction,0.2866742826331577,0.2866742826331577,0.0,11de68f0a11066d078c23c2000fa67e860f9639a49f0369b1759480312fd6dcc
PKNORLEN,2017-06,linear,verified_original_prediction,0.3016710049953383,0.3016710049953383,0.0,06746a0407e336f74af93806dbbb59609abde9bb79cbe5370dd12917857fca52
PKNORLEN,2017-06,xgboost,verified_original_prediction,0.3094683549051213,0.3094683549051213,0.0,06746a0407e336f74af93806dbbb59609abde9bb79cbe5370dd12917857fca52
PKNORLEN,2017-09,linear,verified_original_prediction,0.2997581908056418,0.2997581908056418,0.0,caad1c676641233a81089a7ddeafc0bc1d3841ec7b32eab700ccc7ab41012408
PKNORLEN,2017-09,xgboost,verified_original_prediction,0.3171231242109265,0.3171231242109265,0.0,caad1c676641233a81089a7ddeafc0bc1d3841ec7b32eab700ccc7ab41012408
PKNORLEN,2017-11,linear,verified_original_prediction,0.2505561123425847,0.2505561123425847,0.0,4ff5d5bd274198fa286ef01c01cc0383ed07e516d2b39d46f7881c6432d6f5bb
PKNORLEN,2017-11,xgboost,verified_original_prediction,0.2598579375073603,0.2598579375073603,0.0,4ff5d5bd274198fa286ef01c01cc0383ed07e516d2b39d46f7881c6432d6f5bb
PKOBP,2017-04,linear,verified_original_prediction,0.2432293463955651,0.2432293463955651,0.0,e32217e063f9c65d927883b1ad65d000d9d46f97b3178d2fd0cc0cc73ea8a041
PKOBP,2017-04,xgboost,verified_original_prediction,0.2443190143886802,0.2443190143886802,0.0,e32217e063f9c65d927883b1ad65d000d9d46f97b3178d2fd0cc0cc73ea8a041
PKOBP,2017-06,linear,verified_original_prediction,0.2658909995028166,0.2658909995028166,0.0,176aabcd5e4d39f994562723c2ce0e3d5dd4c03ef45bc63f5388c49e433e2913
PKOBP,2017-06,xgboost,verified_original_prediction,0.2649535861432602,0.2649535861432602,0.0,176aabcd5e4d39f994562723c2ce0e3d5dd4c03ef45bc63f5388c49e433e2913
PKOBP,2017-09,linear,verified_original_prediction,0.2553465712452508,0.2553465712452508,0.0,09ef2ecffd2b574d8041504addb257e549e3d428650cc496ba4322f29368151f
PKOBP,2017-09,xgboost,verified_original_prediction,0.2617168466642863,0.2617168466642863,0.0,09ef2ecffd2b574d8041504addb257e549e3d428650cc496ba4322f29368151f
PKOBP,2017-11,linear,verified_original_prediction,0.2355707364817046,0.2355707364817046,0.0,2c2be6a91231e3705e44796cb8fd73accc0141c1c97b4e4ef271e5f055130835
PKOBP,2017-11,xgboost,verified_original_prediction,0.2400488230637824,0.2400488230637824,0.0,2c2be6a91231e3705e44796cb8fd73accc0141c1c97b4e4ef271e5f055130835
PZU,2017-04,linear,verified_original_prediction,0.245224980517483,0.245224980517483,0.0,2e9c9eaff5bfafd49ea4019a0d8fd683863223f0ecda4a6f9f57664914b5fb12
PZU,2017-04,xgboost,verified_original_prediction,0.2396916186046733,0.2396916186046733,0.0,2e9c9eaff5bfafd49ea4019a0d8fd683863223f0ecda4a6f9f57664914b5fb12
PZU,2017-06,linear,verified_original_prediction,0.2177648070154844,0.2177648070154844,0.0,6ac31c5827a8fadff0e1249797f57b6ff0abce0c2a7501936be5dfec292f63db
PZU,2017-06,xgboost,verified_original_prediction,0.2219506402338974,0.2219506402338974,0.0,6ac31c5827a8fadff0e1249797f57b6ff0abce0c2a7501936be5dfec292f63db
PZU,2017-09,linear,verified_original_prediction,0.2382697346522782,0.2382697346522782,0.0,cd665b5df1898792bcf6f93a8b29bcf988ab9f50c12b25bab8f51588bd1060c1
PZU,2017-09,xgboost,verified_original_prediction,0.2482621161966821,0.2482621161966821,0.0,cd665b5df1898792bcf6f93a8b29bcf988ab9f50c12b25bab8f51588bd1060c1
PZU,2017-11,linear,verified_original_prediction,0.1754732536537376,0.1754732536537376,0.0,9285b95129ab5c7475171f77f09d660e689f6bbdc4d704ab9a37a3eec1182120
PZU,2017-11,xgboost,verified_original_prediction,0.1864366579969021,0.1864366579969021,0.0,9285b95129ab5c7475171f77f09d660e689f6bbdc4d704ab9a37a3eec1182120
