scope,shuffle,metric,expected,defined,mean,median,positive,available_case_mean,prediction_std_min_bps,prediction_std_max_bps
later,S0,correlation_of_daily_means,25,25,0.34,0.5,17,0.34,0.0127209008200358,0.0229648488029547
later,S1,correlation_of_daily_means,25,25,0.18,0.5,15,0.18,0.0084817174336226,0.0205130615653154
own_june,S0,correlation_of_daily_means,25,25,0.08083116883116881,0.1168831168831168,18,0.08083116883116881,0.0181060458885134,0.0306434528384404
own_june,S1,correlation_of_daily_means,25,25,-0.0005194805194805241,0.0064935064935064,13,-0.0005194805194805241,0.0136447190773758,0.0286765050775319
transfer_june,S0,correlation_of_daily_means,25,25,0.13771428571428568,0.1779220779220779,19,0.13771428571428568,0.0095664637845094,0.0144880838553321
transfer_june,S1,correlation_of_daily_means,25,25,-0.057610389610389605,-0.0337662337662337,10,-0.057610389610389605,0.0071739057669265,0.0114397019130488
