symbol,origin,ic,ic_old,ic_drift,test_rows,test_row_hash
KGHM,new_fit,0.0728309315417592,0.0728309315417592,0.0,1014565,dfea138502e09ff6b8f1389607fba3f9927f3534faa294dbb92e69e3cafad8b3
PEKAO,new_fit,0.0839335724229443,0.0839335724229443,0.0,657478,840577ef5ae26c78d60f0138f4970706b283a9d36012b42b3790486205753838
PKNORLEN,new_fit,0.0603910581848646,0.0603910581848646,0.0,862980,06746a0407e336f74af93806dbbb59609abde9bb79cbe5370dd12917857fca52
PKOBP,new_fit,0.0636222191828004,0.0636222191828004,0.0,1056564,176aabcd5e4d39f994562723c2ce0e3d5dd4c03ef45bc63f5388c49e433e2913
PZU,new_fit,0.0518131308041001,0.0518131308041001,0.0,970253,6ac31c5827a8fadff0e1249797f57b6ff0abce0c2a7501936be5dfec292f63db
