model,horizon,latency,metric,expected,defined,mean,median,positive,available_case_mean,cohort,mode
linear,10,5,coverage,20,20,7.25569746656124e-05,3.01925666255842e-05,20,7.25569746656124e-05,monthly,moving_exit
linear,20,0,coverage,20,20,0.024283847359715133,0.0029697178967220002,20,0.024283847359715133,monthly,moving_exit
linear,20,1,coverage,20,20,0.024283847359715133,0.0029697178967220002,20,0.024283847359715133,monthly,moving_exit
linear,20,5,coverage,20,20,0.024283847359715133,0.0029697178967220002,20,0.024283847359715133,monthly,moving_exit
linear,50,0,coverage,20,20,0.23641030313785824,0.23282881405174372,20,0.23641030313785824,monthly,moving_exit
linear,50,1,coverage,20,20,0.23641030313785824,0.23282881405174372,20,0.23641030313785824,monthly,moving_exit
linear,50,5,coverage,20,20,0.23641030313785824,0.23282881405174372,20,0.23641030313785824,monthly,moving_exit
xgboost,10,0,coverage,20,20,0.019911673632817067,0.0165250864152446,20,0.019911673632817067,monthly,moving_exit
xgboost,10,1,coverage,20,20,0.019911673632817067,0.0165250864152446,20,0.019911673632817067,monthly,moving_exit
xgboost,10,5,coverage,20,20,0.019911673632817067,0.0165250864152446,20,0.019911673632817067,monthly,moving_exit
xgboost,20,0,coverage,20,20,0.06874531491314836,0.0678398153601429,20,0.06874531491314836,monthly,moving_exit
xgboost,20,1,coverage,20,20,0.06874531491314836,0.0678398153601429,20,0.06874531491314836,monthly,moving_exit
xgboost,20,5,coverage,20,20,0.06874531491314836,0.0678398153601429,20,0.06874531491314836,monthly,moving_exit
xgboost,50,0,coverage,20,20,0.24272119144411466,0.24405516647179976,20,0.24272119144411466,monthly,moving_exit
xgboost,50,1,coverage,20,20,0.24272119144411466,0.24405516647179976,20,0.24272119144411466,monthly,moving_exit
