model,horizon,latency,interpretation,metric,expected,defined,mean,median,positive,available_case_mean,cohort
xgboost,20,0,retain,mean_fill_time,20,20,14.095897157565,14.14736725575,20,14.095897157565,monthly
xgboost,20,1,reset,mean_fill_time,20,20,13.866090885170001,13.91581801345,20,13.866090885170001,monthly
xgboost,20,1,retain,mean_fill_time,20,20,13.866090885170001,13.91581801345,20,13.866090885170001,monthly
xgboost,20,5,reset,mean_fill_time,20,20,13.58135728796,13.573650228350001,20,13.58135728796,monthly
xgboost,20,5,retain,mean_fill_time,20,20,13.58135728796,13.573650228350001,20,13.58135728796,monthly
xgboost,50,0,reset,mean_fill_time,20,20,31.021042190584996,31.00756210235,20,31.021042190584996,monthly
xgboost,50,0,retain,mean_fill_time,20,20,31.021042190584996,31.00756210235,20,31.021042190584996,monthly
xgboost,50,1,reset,mean_fill_time,20,20,30.72251463718,30.73531977875,20,30.72251463718,monthly
xgboost,50,1,retain,mean_fill_time,20,20,30.72251463718,30.73531977875,20,30.72251463718,monthly
xgboost,50,5,reset,mean_fill_time,20,20,30.170483466385,30.19641342065,20,30.170483466385,monthly
xgboost,50,5,retain,mean_fill_time,20,20,30.170483466385,30.19641342065,20,30.170483466385,monthly
linear,10,0,reset,markout_5,20,20,-0.097903436245,-0.102622172,7,-0.097903436245,monthly
linear,10,0,retain,markout_5,20,20,-0.097903436245,-0.102622172,7,-0.097903436245,monthly
linear,10,1,reset,markout_5,20,20,-0.025675290299999997,-0.02432786045,9,-0.025675290299999997,monthly
linear,10,1,retain,markout_5,20,20,-0.025675290299999997,-0.02432786045,9,-0.025675290299999997,monthly
linear,10,5,reset,markout_5,20,20,-0.029069334599999996,-0.0248328935,9,-0.029069334599999996,monthly
linear,10,5,retain,markout_5,20,20,-0.029069334599999996,-0.0248328935,9,-0.029069334599999996,monthly
linear,20,0,reset,markout_5,20,20,-0.33252455248,-0.30544878115,1,-0.33252455248,monthly
linear,20,0,retain,markout_5,20,20,-0.33252455248,-0.30544878115,1,-0.33252455248,monthly
linear,20,1,reset,markout_5,20,20,-0.2922680662,-0.2649240437,1,-0.2922680662,monthly
linear,20,1,retain,markout_5,20,20,-0.2922680662,-0.2649240437,1,-0.2922680662,monthly
linear,20,5,reset,markout_5,20,20,-0.271626218695,-0.23436744980000002,1,-0.271626218695,monthly
linear,20,5,retain,markout_5,20,20,-0.271626218695,-0.23436744980000002,1,-0.271626218695,monthly
linear,50,0,reset,markout_5,20,20,-0.5201311309900001,-0.5243803312499999,0,-0.5201311309900001,monthly
linear,50,0,retain,markout_5,20,20,-0.5201311309900001,-0.5243803312499999,0,-0.5201311309900001,monthly
linear,50,1,reset,markout_5,20,20,-0.5011257923800001,-0.5020181408,0,-0.5011257923800001,monthly
linear,50,1,retain,markout_5,20,20,-0.5011257923800001,-0.5020181408,0,-0.5011257923800001,monthly
linear,50,5,reset,markout_5,20,20,-0.479808489395,-0.47456025085,0,-0.479808489395,monthly
linear,50,5,retain,markout_5,20,20,-0.479808489395,-0.47456025085,0,-0.479808489395,monthly
xgboost,10,0,reset,markout_5,20,20,-0.0974500672,-0.0914924147,6,-0.0974500672,monthly
xgboost,10,0,retain,markout_5,20,20,-0.0974500672,-0.0914924147,6,-0.0974500672,monthly
xgboost,10,1,reset,markout_5,20,20,-0.039508133295000004,-0.03139275105,9,-0.039508133295000004,monthly
xgboost,10,1,retain,markout_5,20,20,-0.039508133295000004,-0.03139275105,9,-0.039508133295000004,monthly
xgboost,10,5,reset,markout_5,20,20,-0.035579042405,-0.03894823145,8,-0.035579042405,monthly
xgboost,10,5,retain,markout_5,20,20,-0.035579042405,-0.03894823145,8,-0.035579042405,monthly
xgboost,20,0,reset,markout_5,20,20,-0.33349751848,-0.30785278245000003,0,-0.33349751848,monthly
xgboost,20,0,retain,markout_5,20,20,-0.33349751848,-0.30785278245000003,0,-0.33349751848,monthly
xgboost,20,1,reset,markout_5,20,20,-0.30386946664500003,-0.27544955905,1,-0.30386946664500003,monthly
xgboost,20,1,retain,markout_5,20,20,-0.30386946664500003,-0.27544955905,1,-0.30386946664500003,monthly
xgboost,20,5,reset,markout_5,20,20,-0.278366955225,-0.23708539255,1,-0.278366955225,monthly
xgboost,20,5,retain,markout_5,20,20,-0.278366955225,-0.23708539255,1,-0.278366955225,monthly
xgboost,50,0,reset,markout_5,20,20,-0.51428941199,-0.51005274955,0,-0.51428941199,monthly
xgboost,50,0,retain,markout_5,20,20,-0.51428941199,-0.51005274955,0,-0.51428941199,monthly
xgboost,50,1,reset,markout_5,20,20,-0.50088073242,-0.49902099065,0,-0.50088073242,monthly
xgboost,50,1,retain,markout_5,20,20,-0.50088073242,-0.49902099065,0,-0.50088073242,monthly
xgboost,50,5,reset,markout_5,20,20,-0.478643149225,-0.4788528208,0,-0.478643149225,monthly
xgboost,50,5,retain,markout_5,20,20,-0.478643149225,-0.4788528208,0,-0.478643149225,monthly
linear,10,0,reset,spread_5,20,20,4.473961385195,4.2037360794000005,20,4.473961385195,monthly
linear,10,0,retain,spread_5,20,20,4.473961385195,4.2037360794000005,20,4.473961385195,monthly
linear,10,1,reset,spread_5,20,20,4.371811441505001,4.183529708849999,20,4.371811441505001,monthly
linear,10,1,retain,spread_5,20,20,4.371811441505001,4.183529708849999,20,4.371811441505001,monthly
linear,10,5,reset,spread_5,20,20,4.093313242510001,3.9699778862999997,20,4.093313242510001,monthly
linear,10,5,retain,spread_5,20,20,4.093313242510001,3.9699778862999997,20,4.093313242510001,monthly
linear,20,0,reset,spread_5,20,20,4.357799384605,4.18674506375,20,4.357799384605,monthly
linear,20,0,retain,spread_5,20,20,4.357799384605,4.18674506375,20,4.357799384605,monthly
linear,20,1,reset,spread_5,20,20,4.324107469965,4.1964115317,20,4.324107469965,monthly
linear,20,1,retain,spread_5,20,20,4.324107469965,4.1964115317,20,4.324107469965,monthly
linear,20,5,reset,spread_5,20,20,4.163271281049999,4.0435502571,20,4.163271281049999,monthly
linear,20,5,retain,spread_5,20,20,4.163271281049999,4.0435502571,20,4.163271281049999,monthly
linear,50,0,reset,spread_5,20,20,4.84874887684,4.58133526655,20,4.84874887684,monthly
linear,50,0,retain,spread_5,20,20,4.84874887684,4.58133526655,20,4.84874887684,monthly
linear,50,1,reset,spread_5,20,20,4.842868875795,4.619636856,20,4.842868875795,monthly
linear,50,1,retain,spread_5,20,20,4.842868875795,4.619636856,20,4.842868875795,monthly
linear,50,5,reset,spread_5,20,20,4.79751599364,4.63593057105,20,4.79751599364,monthly
linear,50,5,retain,spread_5,20,20,4.79751599364,4.63593057105,20,4.79751599364,monthly
xgboost,10,0,reset,spread_5,20,20,4.548502484765001,4.30563155975,20,4.548502484765001,monthly
xgboost,10,0,retain,spread_5,20,20,4.548502484765001,4.30563155975,20,4.548502484765001,monthly
xgboost,10,1,reset,spread_5,20,20,4.422187694835001,4.2424503432,20,4.422187694835001,monthly
xgboost,10,1,retain,spread_5,20,20,4.422187694835001,4.2424503432,20,4.422187694835001,monthly
xgboost,10,5,reset,spread_5,20,20,4.117853725694999,4.02590852045,20,4.117853725694999,monthly
xgboost,10,5,retain,spread_5,20,20,4.117853725694999,4.02590852045,20,4.117853725694999,monthly
xgboost,20,0,reset,spread_5,20,20,4.45587404126,4.3074179077500006,20,4.45587404126,monthly
xgboost,20,0,retain,spread_5,20,20,4.45587404126,4.3074179077500006,20,4.45587404126,monthly
xgboost,20,1,reset,spread_5,20,20,4.40855896631,4.2791524680999995,20,4.40855896631,monthly
xgboost,20,1,retain,spread_5,20,20,4.40855896631,4.2791524680999995,20,4.40855896631,monthly
xgboost,20,5,reset,spread_5,20,20,4.21871626399,4.09219290275,20,4.21871626399,monthly
xgboost,20,5,retain,spread_5,20,20,4.21871626399,4.09219290275,20,4.21871626399,monthly
xgboost,50,0,reset,spread_5,20,20,4.955203558300001,4.702415279449999,20,4.955203558300001,monthly
xgboost,50,0,retain,spread_5,20,20,4.955203558300001,4.702415279449999,20,4.955203558300001,monthly
xgboost,50,1,reset,spread_5,20,20,4.939702635049999,4.7236309474,20,4.939702635049999,monthly
xgboost,50,1,retain,spread_5,20,20,4.939702635049999,4.7236309474,20,4.939702635049999,monthly
xgboost,50,5,reset,spread_5,20,20,4.876215848814999,4.7138680883,20,4.876215848814999,monthly
xgboost,50,5,retain,spread_5,20,20,4.876215848814999,4.7138680883,20,4.876215848814999,monthly
linear,10,0,reset,passive_price_markout_5_bps,20,20,2.2369806925975,2.1018680397000002,20,2.2369806925975,monthly
linear,10,0,retain,passive_price_markout_5_bps,20,20,2.2369806925975,2.1018680397000002,20,2.2369806925975,monthly
linear,10,1,reset,passive_price_markout_5_bps,20,20,2.1859057207525003,2.0917648544249996,20,2.1859057207525003,monthly
linear,10,1,retain,passive_price_markout_5_bps,20,20,2.1859057207525003,2.0917648544249996,20,2.1859057207525003,monthly
