task_id,symbol,period,model,feature_group,spread_bin,imbalance_bin,rows,ic,undefined_reason
8c8dbdf2a495aa0a5d42a01baebef3f79ea8494feede0be07a0fa6301b42b327,KGHM,2017-04,linear,F4,3,3,158449,0.1101982875222235,
923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,KGHM,2017-04,linear,F5,1,1,87337,0.1076816679195232,
923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,KGHM,2017-04,linear,F5,1,2,75699,0.1209371697994763,
923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,KGHM,2017-04,linear,F5,1,3,102602,0.1395806419905717,
923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,KGHM,2017-04,linear,F5,2,1,115561,0.1016324771254083,
923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,KGHM,2017-04,linear,F5,2,2,138561,0.0999462937644334,
923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,KGHM,2017-04,linear,F5,2,3,135840,0.117728482716978,
923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,KGHM,2017-04,linear,F5,3,1,126628,0.0768096562519671,
923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,KGHM,2017-04,linear,F5,3,2,158299,0.0717882545491055,
923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,KGHM,2017-04,linear,F5,3,3,158449,0.112772584742359,
a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,KGHM,2017-04,xgboost,F1,1,1,87337,0.1021480373090763,
a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,KGHM,2017-04,xgboost,F1,1,2,75699,0.1112328394652428,
a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,KGHM,2017-04,xgboost,F1,1,3,102602,0.1396969235597966,
a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,KGHM,2017-04,xgboost,F1,2,1,115561,0.0807633719715398,
a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,KGHM,2017-04,xgboost,F1,2,2,138561,0.0778101998506289,
a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,KGHM,2017-04,xgboost,F1,2,3,135840,0.1086374303702362,
a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,KGHM,2017-04,xgboost,F1,3,1,126628,0.0483735511550761,
a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,KGHM,2017-04,xgboost,F1,3,2,158299,0.055053548370069,
a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,KGHM,2017-04,xgboost,F1,3,3,158449,0.0977719955196167,
5b11b0e7f55d5153d915068cd3399bbaf7cc5153a7b8033a67f852905fc9d3f5,KGHM,2017-04,xgboost,F2,1,1,87337,0.0998441061635348,
5b11b0e7f55d5153d915068cd3399bbaf7cc5153a7b8033a67f852905fc9d3f5,KGHM,2017-04,xgboost,F2,1,2,75699,0.1129503984113185,
5b11b0e7f55d5153d915068cd3399bbaf7cc5153a7b8033a67f852905fc9d3f5,KGHM,2017-04,xgboost,F2,1,3,102602,0.1276501802938866,
5b11b0e7f55d5153d915068cd3399bbaf7cc5153a7b8033a67f852905fc9d3f5,KGHM,2017-04,xgboost,F2,2,1,115561,0.0808694792513757,
5b11b0e7f55d5153d915068cd3399bbaf7cc5153a7b8033a67f852905fc9d3f5,KGHM,2017-04,xgboost,F2,2,2,138561,0.0812157365010642,
5b11b0e7f55d5153d915068cd3399bbaf7cc5153a7b8033a67f852905fc9d3f5,KGHM,2017-04,xgboost,F2,2,3,135840,0.111027708018173,
5b11b0e7f55d5153d915068cd3399bbaf7cc5153a7b8033a67f852905fc9d3f5,KGHM,2017-04,xgboost,F2,3,1,126628,0.0509578572817152,
5b11b0e7f55d5153d915068cd3399bbaf7cc5153a7b8033a67f852905fc9d3f5,KGHM,2017-04,xgboost,F2,3,2,158299,0.0510863354980578,
5b11b0e7f55d5153d915068cd3399bbaf7cc5153a7b8033a67f852905fc9d3f5,KGHM,2017-04,xgboost,F2,3,3,158449,0.0928095201061623,
017bce95d7089978dcd9f60e07f71fbec004ec90f093a49815960eb900434f7f,KGHM,2017-04,xgboost,F3,1,1,87337,0.1481242495989873,
017bce95d7089978dcd9f60e07f71fbec004ec90f093a49815960eb900434f7f,KGHM,2017-04,xgboost,F3,1,2,75699,0.1656339759021233,
017bce95d7089978dcd9f60e07f71fbec004ec90f093a49815960eb900434f7f,KGHM,2017-04,xgboost,F3,1,3,102602,0.1803514924354756,
017bce95d7089978dcd9f60e07f71fbec004ec90f093a49815960eb900434f7f,KGHM,2017-04,xgboost,F3,2,1,115561,0.1201627963924207,
017bce95d7089978dcd9f60e07f71fbec004ec90f093a49815960eb900434f7f,KGHM,2017-04,xgboost,F3,2,2,138561,0.1123039471903604,
