kind,scope,symbol,period,model,feature_group,shuffle,seed,horizon,task_id,ic,imbalance_bin,imbalance_cut1,imbalance_cut2,rows,spread_bin,spread_cut1,spread_cut2
ablation,monthly,KGHM,2017-04,linear,F3,none,,20,fc4180e30bdf3edc88d48ea629eb15dd5c5538e076821277d3a0ce31e0ce160d,0.0934769953690384,1,-0.3261105092091008,0.29292929292929293,115561,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F3,none,,20,fc4180e30bdf3edc88d48ea629eb15dd5c5538e076821277d3a0ce31e0ce160d,0.08957404898528525,2,-0.3261105092091008,0.29292929292929293,138561,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F3,none,,20,fc4180e30bdf3edc88d48ea629eb15dd5c5538e076821277d3a0ce31e0ce160d,0.11468517751572047,3,-0.3261105092091008,0.29292929292929293,135840,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F3,none,,20,fc4180e30bdf3edc88d48ea629eb15dd5c5538e076821277d3a0ce31e0ce160d,0.06473859364700706,1,-0.3261105092091008,0.29292929292929293,126628,3,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F3,none,,20,fc4180e30bdf3edc88d48ea629eb15dd5c5538e076821277d3a0ce31e0ce160d,0.06703822040881278,2,-0.3261105092091008,0.29292929292929293,158299,3,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F3,none,,20,fc4180e30bdf3edc88d48ea629eb15dd5c5538e076821277d3a0ce31e0ce160d,0.10783452204280143,3,-0.3261105092091008,0.29292929292929293,158449,3,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F4,none,,20,8c8dbdf2a495aa0a5d42a01baebef3f79ea8494feede0be07a0fa6301b42b327,0.10110074935576631,1,-0.3261105092091008,0.29292929292929293,87337,1,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F4,none,,20,8c8dbdf2a495aa0a5d42a01baebef3f79ea8494feede0be07a0fa6301b42b327,0.11176763685019804,2,-0.3261105092091008,0.29292929292929293,75699,1,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F4,none,,20,8c8dbdf2a495aa0a5d42a01baebef3f79ea8494feede0be07a0fa6301b42b327,0.13111091146275608,3,-0.3261105092091008,0.29292929292929293,102602,1,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F4,none,,20,8c8dbdf2a495aa0a5d42a01baebef3f79ea8494feede0be07a0fa6301b42b327,0.09477642534860983,1,-0.3261105092091008,0.29292929292929293,115561,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F4,none,,20,8c8dbdf2a495aa0a5d42a01baebef3f79ea8494feede0be07a0fa6301b42b327,0.09399399871091803,2,-0.3261105092091008,0.29292929292929293,138561,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F4,none,,20,8c8dbdf2a495aa0a5d42a01baebef3f79ea8494feede0be07a0fa6301b42b327,0.11039145568148065,3,-0.3261105092091008,0.29292929292929293,135840,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F4,none,,20,8c8dbdf2a495aa0a5d42a01baebef3f79ea8494feede0be07a0fa6301b42b327,0.07489404666968795,1,-0.3261105092091008,0.29292929292929293,126628,3,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F4,none,,20,8c8dbdf2a495aa0a5d42a01baebef3f79ea8494feede0be07a0fa6301b42b327,0.06926288128255884,2,-0.3261105092091008,0.29292929292929293,158299,3,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F4,none,,20,8c8dbdf2a495aa0a5d42a01baebef3f79ea8494feede0be07a0fa6301b42b327,0.1101982875222235,3,-0.3261105092091008,0.29292929292929293,158449,3,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F5,none,,20,923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,0.10768166791952322,1,-0.3261105092091008,0.29292929292929293,87337,1,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F5,none,,20,923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,0.12093716979947632,2,-0.3261105092091008,0.29292929292929293,75699,1,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F5,none,,20,923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,0.13958064199057177,3,-0.3261105092091008,0.29292929292929293,102602,1,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F5,none,,20,923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,0.10163247712540835,1,-0.3261105092091008,0.29292929292929293,115561,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F5,none,,20,923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,0.09994629376443341,2,-0.3261105092091008,0.29292929292929293,138561,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F5,none,,20,923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,0.11772848271697808,3,-0.3261105092091008,0.29292929292929293,135840,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F5,none,,20,923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,0.07680965625196713,1,-0.3261105092091008,0.29292929292929293,126628,3,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F5,none,,20,923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,0.07178825454910555,2,-0.3261105092091008,0.29292929292929293,158299,3,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,linear,F5,none,,20,923f708926ea41e28e06e711a55cf4088afba8cab35a8ec64373bee45ecee0b4,0.11277258474235909,3,-0.3261105092091008,0.29292929292929293,158449,3,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,xgboost,F1,none,,20,a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,0.1021480373090763,1,-0.3261105092091008,0.29292929292929293,87337,1,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,xgboost,F1,none,,20,a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,0.11123283946524284,2,-0.3261105092091008,0.29292929292929293,75699,1,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,xgboost,F1,none,,20,a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,0.13969692355979668,3,-0.3261105092091008,0.29292929292929293,102602,1,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,xgboost,F1,none,,20,a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,0.08076337197153985,1,-0.3261105092091008,0.29292929292929293,115561,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,xgboost,F1,none,,20,a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,0.0778101998506289,2,-0.3261105092091008,0.29292929292929293,138561,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,xgboost,F1,none,,20,a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,0.10863743037023628,3,-0.3261105092091008,0.29292929292929293,135840,2,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,xgboost,F1,none,,20,a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,0.048373551155076126,1,-0.3261105092091008,0.29292929292929293,126628,3,4.613610149943379,8.980691513247287
ablation,monthly,KGHM,2017-04,xgboost,F1,none,,20,a734efed403d5302ca6e1041d4114d4a120f3b44146185c3f09c14f6e84ad7db,0.05505354837006907,2,-0.3261105092091008,0.29292929292929293,158299,3,4.613610149943379,8.980691513247287
