symbol,month,horizon,model_linear,control_seed_linear,task_id_linear,latency,original_rows_linear,rows_linear,threshold_bps_linear,coverage_linear,selected_rows_linear,sign_selected_bps_linear,top_decile_long_bps_linear,bottom_decile_short_bps_linear,ordered_deciles_linear,decile_bins_linear,model_xgboost,control_seed_xgboost,task_id_xgboost,original_rows_xgboost,rows_xgboost,threshold_bps_xgboost,coverage_xgboost,selected_rows_xgboost,sign_selected_bps_xgboost,top_decile_long_bps_xgboost,bottom_decile_short_bps_xgboost,ordered_deciles_xgboost,decile_bins_xgboost,coverage_delta,sign_selected_bps_delta,top_decile_long_bps_delta,bottom_decile_short_bps_delta,ordered_deciles_delta,decile_bins_delta
KGHM,2017-06,10,linear,,83160cccd789a38e1916aef464a077422ae2f4ba8debd89783e562d5cb7a9a3a,1,1014775,1014670,1.0,0.00016557107236835623,168,-10.539851125225278,-7.654224824916043,-7.055466044102642,0.0,10,xgboost,,6a367d79f64f0156a192e769c2ad50c54012787a0043380bda69133233dd4be3,1014775,1014670,1.0,0.017589955354942986,17848,-6.706904936110418,-8.129607146120822,-8.084403727043634,0.0,10,0.017424384282574628,3.8329461891148595,-0.47538232120477897,-1.0289376829409917,0.0,0
KGHM,2017-06,10,linear,,83160cccd789a38e1916aef464a077422ae2f4ba8debd89783e562d5cb7a9a3a,5,1014775,1014670,1.0,0.00016557107236835623,168,-11.316245881020322,-8.113381450291646,-7.574290591470475,0.0,10,xgboost,,6a367d79f64f0156a192e769c2ad50c54012787a0043380bda69133233dd4be3,1014775,1014670,1.0,0.017589955354942986,17848,-7.408002943466416,-8.64676486570511,-8.554607950167002,0.0,10,0.017424384282574628,3.908242937553906,-0.5333834154134642,-0.980317358696527,0.0,0
KGHM,2017-06,20,linear,,72b581a6456b8f1241618cbaec0b4ec58941001943c06d59df4907dfb8328c46,0,1014565,1014460,1.0,0.0050785639650651575,5152,-5.015452307369142,-7.1597650808908595,-6.782235488835472,0.0,10,xgboost,,34c763d45a0fb4d2cff1b0ec70532664ff7630b8e5956f49fc15e87ec3179089,1014565,1014460,1.0,0.06868383179228357,69677,-5.687268584569698,-7.245906703182542,-7.7049912154808835,0.0,10,0.06360526782721841,-0.6718162772005556,-0.08614162229168265,-0.9227557266454118,0.0,0
KGHM,2017-06,20,linear,,72b581a6456b8f1241618cbaec0b4ec58941001943c06d59df4907dfb8328c46,1,1014565,1014460,1.0,0.0050785639650651575,5152,-5.730449792775598,-7.466188633469135,-7.104072878851293,0.0,10,xgboost,,34c763d45a0fb4d2cff1b0ec70532664ff7630b8e5956f49fc15e87ec3179089,1014565,1014460,1.0,0.06868383179228357,69677,-6.241681087770861,-7.541948297027937,-7.987507875471034,0.0,10,0.06360526782721841,-0.5112312949952624,-0.07575966355880226,-0.8834349966197417,0.0,0
KGHM,2017-06,20,linear,,72b581a6456b8f1241618cbaec0b4ec58941001943c06d59df4907dfb8328c46,5,1014565,1014460,1.0,0.0050785639650651575,5152,-6.485639819041381,-7.954699639565217,-7.642395052779604,0.0,10,xgboost,,34c763d45a0fb4d2cff1b0ec70532664ff7630b8e5956f49fc15e87ec3179089,1014565,1014460,1.0,0.06868383179228357,69677,-6.989398410829525,-8.122638184801781,-8.484572978840824,0.0,10,0.06360526782721841,-0.5037585917881433,-0.16793854523656382,-0.8421779260612192,0.0,0
KGHM,2017-06,50,linear,,1192947f77115b11bec8b45e313e69da009686c301cab22a218ca26ac62c61ef,0,1013935,1013830,1.0,0.20512216052000828,207959,-7.338449039325775,-7.225674753094877,-7.293282855500733,0.0,10,xgboost,,459d8ee07a984d8b08dd16ca103dc0e386a56724a4bff76f660ae754b243c7e6,1013935,1013830,1.0,0.25223854097827053,255727,-8.058851886301579,-7.180189350721302,-8.240139196061047,0.0,10,0.04711638045826225,-0.7204028469758033,0.04548540237357468,-0.9468563405603145,0.0,0
KGHM,2017-06,50,linear,,1192947f77115b11bec8b45e313e69da009686c301cab22a218ca26ac62c61ef,1,1013935,1013830,1.0,0.20512216052000828,207959,-7.6290254611772355,-7.5279249659661005,-7.582222417730686,0.0,10,xgboost,,459d8ee07a984d8b08dd16ca103dc0e386a56724a4bff76f660ae754b243c7e6,1013935,1013830,1.0,0.25223854097827053,255727,-8.291715370778757,-7.479302686571151,-8.484619304938974,0.0,10,0.04711638045826225,-0.6626899096015215,0.048622279394949786,-0.9023968872082877,0.0,0
KGHM,2017-06,50,linear,,1192947f77115b11bec8b45e313e69da009686c301cab22a218ca26ac62c61ef,5,1013935,1013830,1.0,0.20512216052000828,207959,-8.12104485264745,-8.038344987059237,-8.069929011894612,0.0,10,xgboost,,459d8ee07a984d8b08dd16ca103dc0e386a56724a4bff76f660ae754b243c7e6,1013935,1013830,1.0,0.25223854097827053,255727,-8.74453318104883,-8.058232850063941,-8.905099943672207,0.0,10,0.04711638045826225,-0.623488328401379,-0.019887863004704798,-0.8351709317775953,0.0,0
KGHM,2017-09,10,linear,,2093d352f97a84a8dc49fbfb97038ae5f43c553a62fe5675e32fbf0679c10cf4,0,916750,916645,1.0,8.182011574819041e-05,75,-6.953277906851772,-5.39260623802654,-5.703301799780533,0.0,10,xgboost,,3f3f4532e584b61b53ed602e857dfbc9643cad361ccbf76b7baaa627e299ebfa,916750,916645,1.0,0.022548532965324636,20669,-4.939045982942899,-5.924527236860064,-5.996222709549901,0.0,10,0.022466712849576444,2.0142319239088735,-0.5319209988335247,-0.2929209097693679,0.0,0
KGHM,2017-09,10,linear,,2093d352f97a84a8dc49fbfb97038ae5f43c553a62fe5675e32fbf0679c10cf4,1,916750,916645,1.0,8.182011574819041e-05,75,-8.313337950299063,-5.636069683613639,-5.931721383362487,0.0,10,xgboost,,3f3f4532e584b61b53ed602e857dfbc9643cad361ccbf76b7baaa627e299ebfa,916750,916645,1.0,0.022548532965324636,20669,-5.818518179214429,-6.133744201328756,-6.2088300559853735,0.0,10,0.022466712849576444,2.494819771084634,-0.49767451771511784,-0.2771086726228864,0.0,0
