symbol,month,horizon,linear,xgboost,delta_ic
KGHM,2017-04,10,0.2319196558342966,0.2363123537612519,0.004392697926955291
KGHM,2017-04,20,0.2642801783854219,0.2690508633761888,0.0047706849907668825
KGHM,2017-04,50,0.2685844195660745,0.2771702791096185,0.008585859543544017
KGHM,2017-06,10,0.2358492943628321,0.2436959987537608,0.007846704390928688
KGHM,2017-06,20,0.2647644785556755,0.2716398454731455,0.006875366917470038
KGHM,2017-06,50,0.2636766790003303,0.2688187792560238,0.005142100255693505
KGHM,2017-09,10,0.2416369687310474,0.2474895070567577,0.00585253832571031
KGHM,2017-09,20,0.284364149867282,0.2880151106683309,0.0036509608010489303
KGHM,2017-09,50,0.2907245242712107,0.2965524558919272,0.005827931620716487
KGHM,2017-11,10,0.2308245487991923,0.240505521514985,0.009680972715792713
KGHM,2017-11,20,0.2650989841082189,0.2736705898960226,0.008571605787803693
KGHM,2017-11,50,0.2714349573896198,0.2781971155524962,0.006762158162876397
PEKAO,2017-04,10,0.2261854117797322,0.2372233078944695,0.011037896114737294
PEKAO,2017-04,20,0.251340047533016,0.2595034764737581,0.008163428940742123
PEKAO,2017-04,50,0.2498218683418485,0.2567040388779787,0.0068821705361302166
PEKAO,2017-06,10,0.2469111215624797,0.2544359443662767,0.007524822803796988
PEKAO,2017-06,20,0.2678522102759484,0.2741207864834555,0.006268576207507093
PEKAO,2017-06,50,0.2508169296059881,0.2542345330842873,0.0034176034782991693
PEKAO,2017-09,10,0.2495501698874493,0.2569884787704246,0.007438308882975281
PEKAO,2017-09,20,0.2739466104886564,0.2814141616703818,0.007467551181725429
PEKAO,2017-09,50,0.2386645753901083,0.2472101013973315,0.008545526007223192
PEKAO,2017-11,10,0.2119163496146333,0.2233823566593442,0.011466007044710902
PEKAO,2017-11,20,0.2243193173265345,0.2348675546237937,0.010548237297259178
PEKAO,2017-11,50,0.1970537503165157,0.2080201934417967,0.010966443125281
PKNORLEN,2017-04,10,0.2320881100545604,0.2435921743325658,0.011504064278005405
PKNORLEN,2017-04,20,0.2791374279118928,0.2866742826331577,0.007536854721264918
PKNORLEN,2017-04,50,0.3143178865509784,0.3191068208481421,0.004788934297163705
PKNORLEN,2017-06,10,0.2656279356246742,0.2738738580309722,0.008245922406298012
PKNORLEN,2017-06,20,0.3016710049953383,0.3094683549051213,0.007797349909783036
PKNORLEN,2017-06,50,0.2994058002194548,0.3081758292674125,0.008770029047957706
PKNORLEN,2017-09,10,0.2919573342321895,0.3120332685538301,0.02007593432164062
PKNORLEN,2017-09,20,0.2997581908056418,0.3171231242109265,0.017364933405284666
PKNORLEN,2017-09,50,0.2618997568706069,0.2750262067960663,0.013126449925459416
PKNORLEN,2017-11,10,0.248268683542101,0.2603849925901198,0.01211630904801883
PKNORLEN,2017-11,20,0.2505561123425847,0.2598579375073603,0.009301825164775623
PKNORLEN,2017-11,50,0.2365710160078998,0.2421836242334951,0.005612608225595311
PKOBP,2017-04,10,0.2062218504006533,0.2127090501507985,0.006487199750145195
PKOBP,2017-04,20,0.2432293463955651,0.2443190143886802,0.0010896679931151065
PKOBP,2017-04,50,0.2621174393432276,0.2623524720310461,0.00023503268781849274
PKOBP,2017-06,10,0.232345436568413,0.2342656664758839,0.0019202299074708995
PKOBP,2017-06,20,0.2658909995028166,0.2649535861432602,-0.0009374133595563827
PKOBP,2017-06,50,0.2717066236618475,0.2705093953313173,-0.001197228330530209
PKOBP,2017-09,10,0.2167463951109284,0.2245374463363303,0.007791051225401885
PKOBP,2017-09,20,0.2553465712452508,0.2617168466642863,0.006370275419035509
PKOBP,2017-09,50,0.2626573365546312,0.2682141827370833,0.005556846182452113
PKOBP,2017-11,10,0.2073304739437887,0.2126455075766671,0.005315033632878385
PKOBP,2017-11,20,0.2355707364817046,0.2400488230637824,0.004478086582077795
PKOBP,2017-11,50,0.243117979132747,0.2479306604303994,0.004812681297652416
PZU,2017-04,10,0.2117589897070288,0.2122298584395641,0.0004708687325352956
PZU,2017-04,20,0.245224980517483,0.2396916186046733,-0.005533361912809703
PZU,2017-04,50,0.2666552152173434,0.2639015430832302,-0.0027536721341132053
PZU,2017-06,10,0.197883736432989,0.204627316997719,0.006743580564729984
PZU,2017-06,20,0.2177648070154844,0.2219506402338974,0.00418583321841301
PZU,2017-06,50,0.2119457535259847,0.2159859425337781,0.004040189007793404
PZU,2017-09,10,0.2174625775302205,0.2276777101130372,0.0102151325828167
PZU,2017-09,20,0.2382697346522782,0.2482621161966821,0.009992381544403905
PZU,2017-09,50,0.214128464394882,0.2272693385206362,0.013140874125754182
PZU,2017-11,10,0.1639019298884427,0.1751485500091991,0.01124662012075639
PZU,2017-11,20,0.1754732536537376,0.1864366579969021,0.010963404343164507
PZU,2017-11,50,0.171758376060186,0.1829672856814399,0.011208909621253899
