task_id,symbol,month,horizon,model,control_seed,cost_coverage,direction_accuracy,ic,mean_abs_markout_bps,mean_signed_markout_after_cost_bps,n_test,prediction_decile_monotonicity,selected_midpoint_diagnostic_bps,train_rows
26ab8ef846e82f08249f07a88433855af3d3a732662186f100b295d87e0adf69,KGHM,2017-09,20,xgboost,,0.07259475854845397,0.6741314741737278,0.28801511066833096,1.249306043929305,0.3710425005691971,916540,1.0,1.371042500569197,10135890
e500a4f29479e6a7de35a948649c85284b42a97fac53aef9da3aa91079522536,KGHM,2017-09,50,linear,,0.27086722494568244,0.6391864653515239,0.29072452427121076,2.3868558854573942,0.4368442306068688,915910,1.0,1.436844230606869,10130880
f69e8de66884045d3c5f0bb4a7adadc0d5e85aa779d3d6ece6591abcf1a180f9,KGHM,2017-09,50,xgboost,,0.2643414745990327,0.6432130792631716,0.29655245589192725,2.3868558854573942,0.47267702977771386,915910,1.0,1.4726770297777139,10130880
2afdb57cad97270490bf6dfd582f710e24d11dd138c17419f1b81930aa4514e1,KGHM,2017-11,10,linear,,0.0001657651684138075,0.6759112066194312,0.23082454879919231,0.8062325269768911,0.1472368347772143,832503,1.0,1.1472368347772144,12144824
cff7ad25f30899a77eb625c953ac548356a2799cb7a37960f522e69943616d66,KGHM,2017-11,10,xgboost,,0.02469540650303963,0.6803455913760684,0.24050552151498503,0.8062325269768911,0.34329981431849593,832503,1.0,1.343299814318496,12144824
602a3c5cb6ecbd57fdbbafe7f31c567c7a55bcae384d4b8a8ea72fd449c34592,KGHM,2017-11,20,linear,,0.029667436828136245,0.6577693372010407,0.2650989841082189,1.3827533147687867,0.6012220571733697,832293,1.0,1.6012220571733695,12142724
f5cbb6c611ccad586c05fc76c96332e8ddd00f1581e69566fcf4d942faf22836,KGHM,2017-11,20,xgboost,,0.08594929910500268,0.6613699376572592,0.2736705898960226,1.3827533147687867,0.4465982513025398,832293,1.0,1.44659825130254,12142724
4639d51bf7cb777a5a763baa97084bd205bf84322e449d5dd2d091fe69d5d2e8,KGHM,2017-11,50,linear,,0.26009453348291317,0.6271096493748374,0.2714349573896198,2.6228089360572953,0.5361233386339389,831663,1.0,1.5361233386339388,12136424
153e385be5c510dc1b9d4f38c1cf6f636215256459614d5752dd99ac2210a4a3,KGHM,2017-11,50,xgboost,,0.2763054265970712,0.6306706597756242,0.2781971155524962,2.6228089360572953,0.5342194736212496,831663,1.0,1.5342194736212489,12136424
090141d9017a475af00773699033da30f5ccffd28dee6b72a63be4507fd10c12,PEKAO,2017-04,10,linear,,9.317799066839678e-05,0.6656126482213439,0.22618541177973225,0.9724872302514125,-0.423705992088185,579536,1.0,0.5762940079118151,1915308
375016d2d997c3b9b045bfffd1c38830ebb172415020adc097aa36670222ed5f,PEKAO,2017-04,10,xgboost,,0.037547279202672486,0.6683768290448394,0.23722330789446952,0.9724872302514125,0.32325368577141567,579536,1.0,1.3232536857714157,1915308
606d78ebcff8f88ac26c664c6ed41d83adacc272cc6d79c6c7dae31259a62ddd,PEKAO,2017-04,20,linear,,0.08813924426432107,0.6457041807750661,0.25134004753301603,1.603231438241798,0.22269419930563747,579356,1.0,1.2226941993056375,1914668
33f2bbb741b39f3b7c1beaf5bfcf5ceeba9222730f72de9c87564c2b7e799d19,PEKAO,2017-04,20,xgboost,,0.12819061164465373,0.648216061973133,0.2595034764737581,1.603231438241798,0.25558510419630615,579356,1.0,1.2555851041963064,1914668
ff2dbddb38e6a469645187c84fe991bae224cadd02c8abbf8a0be25dd6ebba00,PEKAO,2017-04,50,linear,,0.3618231009509067,0.6178830792834383,0.2498218683418485,2.8432311336882754,0.3268866785189957,578816,1.0,1.3268866785189957,1912748
5cd192e40f4432d6601fdfbee583b0adffe132c1302d3b88926b49c955e53e29,PEKAO,2017-04,50,xgboost,,0.34908675641309156,0.6201890528640978,0.25670403887797877,2.8432311336882754,0.3655464950348377,578816,1.0,1.3655464950348377,1912748
150ca72a03f4a72bb5cbe4d325165131cc76232fb8f190e3ea936391698050b1,PEKAO,2017-06,10,hist_gradient_boosting,,0.020950663536509713,0.6793750401969882,0.25242462974511815,0.9689313196658946,0.423710939233034,657688,1.0,1.4237109392330343,3180896
197de3e9c67584a978cbbb255fbe5d388e92ead4bbab33058cb94c35368c94c4,PEKAO,2017-06,10,linear,,0.0002569607473452458,0.6754426262644824,0.2469111215624797,0.9689313196658946,-0.15226370339637832,657688,1.0,0.8477362966036217,3180896
8bdd895ad51d5d5b0ce77a179774e41963a9207fd942c882ee29b72e01c4c79e,PEKAO,2017-06,10,xgboost,,0.04676533553903979,0.6794715129686969,0.2544359443662767,0.9689313196658946,0.22528291256607472,657688,1.0,1.2252829125660747,3180896
fb20d94a237ce797d287f1ecf719a178c2f76888783cc5bc9e1bdf4abac82f3b,PEKAO,2017-06,10,xgboost,7.0,0.0,0.4962789073769513,-0.010148734589571214,0.9689313196658946,,657688,0.4444444444444444,,3180896
143224de365eb1bbe1cfe49b8d57c38e90915ed1c1f95b3a27823975830bd5ce,PEKAO,2017-06,20,hist_gradient_boosting,,0.1229972713915903,0.656199883364922,0.27228862661715286,1.5556662259484149,0.28834831425347235,657478,1.0,1.2883483142534726,3179866
