task_id,symbol,month,horizon,model,control_seed,feature,normalized_gain
ffc916d9ca15dfdd7a1d31b470b79392079e8a2e8c5e1d07861f9c8cc2095b7c,KGHM,2017-06,50,xgboost,,depth_imbalance,0.045693145786110716
ffc916d9ca15dfdd7a1d31b470b79392079e8a2e8c5e1d07861f9c8cc2095b7c,KGHM,2017-06,50,xgboost,,microprice_minus_mid_bps,0.24431473612172458
ffc916d9ca15dfdd7a1d31b470b79392079e8a2e8c5e1d07861f9c8cc2095b7c,KGHM,2017-06,50,xgboost,,ofi_l1_norm,0.12374738153051218
ffc916d9ca15dfdd7a1d31b470b79392079e8a2e8c5e1d07861f9c8cc2095b7c,KGHM,2017-06,50,xgboost,,spread_bps,0.044425217497615806
ffc916d9ca15dfdd7a1d31b470b79392079e8a2e8c5e1d07861f9c8cc2095b7c,KGHM,2017-06,50,xgboost,,top_imbalance,0.5418195190640367
cb2802fdc47ca2d654f17c945bf8d52683ea729eca435cf85975b007f343eaa1,KGHM,2017-06,50,xgboost,7.0,depth_imbalance,0.2325925072470733
cb2802fdc47ca2d654f17c945bf8d52683ea729eca435cf85975b007f343eaa1,KGHM,2017-06,50,xgboost,7.0,microprice_minus_mid_bps,0.1773523336542871
cb2802fdc47ca2d654f17c945bf8d52683ea729eca435cf85975b007f343eaa1,KGHM,2017-06,50,xgboost,7.0,ofi_l1_norm,0.17996581645453782
cb2802fdc47ca2d654f17c945bf8d52683ea729eca435cf85975b007f343eaa1,KGHM,2017-06,50,xgboost,7.0,spread_bps,0.22215310024787674
cb2802fdc47ca2d654f17c945bf8d52683ea729eca435cf85975b007f343eaa1,KGHM,2017-06,50,xgboost,7.0,top_imbalance,0.18793624239622503
04cb76a4aca389f0181123c48c2df340919cf8ab4313783111642c6ffc4a7195,KGHM,2017-09,10,xgboost,,depth_imbalance,0.02328020753503486
04cb76a4aca389f0181123c48c2df340919cf8ab4313783111642c6ffc4a7195,KGHM,2017-09,10,xgboost,,microprice_minus_mid_bps,0.27602633422254547
04cb76a4aca389f0181123c48c2df340919cf8ab4313783111642c6ffc4a7195,KGHM,2017-09,10,xgboost,,ofi_l1_norm,0.13274874746897616
04cb76a4aca389f0181123c48c2df340919cf8ab4313783111642c6ffc4a7195,KGHM,2017-09,10,xgboost,,spread_bps,0.058872025791190274
04cb76a4aca389f0181123c48c2df340919cf8ab4313783111642c6ffc4a7195,KGHM,2017-09,10,xgboost,,top_imbalance,0.5090726849822532
26ab8ef846e82f08249f07a88433855af3d3a732662186f100b295d87e0adf69,KGHM,2017-09,20,xgboost,,depth_imbalance,0.025127883446922777
26ab8ef846e82f08249f07a88433855af3d3a732662186f100b295d87e0adf69,KGHM,2017-09,20,xgboost,,microprice_minus_mid_bps,0.30344333698579334
26ab8ef846e82f08249f07a88433855af3d3a732662186f100b295d87e0adf69,KGHM,2017-09,20,xgboost,,ofi_l1_norm,0.11037305715843766
26ab8ef846e82f08249f07a88433855af3d3a732662186f100b295d87e0adf69,KGHM,2017-09,20,xgboost,,spread_bps,0.05100028041998137
26ab8ef846e82f08249f07a88433855af3d3a732662186f100b295d87e0adf69,KGHM,2017-09,20,xgboost,,top_imbalance,0.5100554419888649
f69e8de66884045d3c5f0bb4a7adadc0d5e85aa779d3d6ece6591abcf1a180f9,KGHM,2017-09,50,xgboost,,depth_imbalance,0.046428262897264504
f69e8de66884045d3c5f0bb4a7adadc0d5e85aa779d3d6ece6591abcf1a180f9,KGHM,2017-09,50,xgboost,,microprice_minus_mid_bps,0.2439741441085161
f69e8de66884045d3c5f0bb4a7adadc0d5e85aa779d3d6ece6591abcf1a180f9,KGHM,2017-09,50,xgboost,,ofi_l1_norm,0.11208547325282084
f69e8de66884045d3c5f0bb4a7adadc0d5e85aa779d3d6ece6591abcf1a180f9,KGHM,2017-09,50,xgboost,,spread_bps,0.03843884484456464
f69e8de66884045d3c5f0bb4a7adadc0d5e85aa779d3d6ece6591abcf1a180f9,KGHM,2017-09,50,xgboost,,top_imbalance,0.5590732748968339
cff7ad25f30899a77eb625c953ac548356a2799cb7a37960f522e69943616d66,KGHM,2017-11,10,xgboost,,depth_imbalance,0.022486619936894083
cff7ad25f30899a77eb625c953ac548356a2799cb7a37960f522e69943616d66,KGHM,2017-11,10,xgboost,,microprice_minus_mid_bps,0.34594729652533424
cff7ad25f30899a77eb625c953ac548356a2799cb7a37960f522e69943616d66,KGHM,2017-11,10,xgboost,,ofi_l1_norm,0.11938067605113116
cff7ad25f30899a77eb625c953ac548356a2799cb7a37960f522e69943616d66,KGHM,2017-11,10,xgboost,,spread_bps,0.054945691187054634
cff7ad25f30899a77eb625c953ac548356a2799cb7a37960f522e69943616d66,KGHM,2017-11,10,xgboost,,top_imbalance,0.4572397162995859
f5cbb6c611ccad586c05fc76c96332e8ddd00f1581e69566fcf4d942faf22836,KGHM,2017-11,20,xgboost,,depth_imbalance,0.027227282547910684
f5cbb6c611ccad586c05fc76c96332e8ddd00f1581e69566fcf4d942faf22836,KGHM,2017-11,20,xgboost,,microprice_minus_mid_bps,0.36156512704490457
f5cbb6c611ccad586c05fc76c96332e8ddd00f1581e69566fcf4d942faf22836,KGHM,2017-11,20,xgboost,,ofi_l1_norm,0.10442020162773562
f5cbb6c611ccad586c05fc76c96332e8ddd00f1581e69566fcf4d942faf22836,KGHM,2017-11,20,xgboost,,spread_bps,0.047179585955786724
f5cbb6c611ccad586c05fc76c96332e8ddd00f1581e69566fcf4d942faf22836,KGHM,2017-11,20,xgboost,,top_imbalance,0.4596078028236624
153e385be5c510dc1b9d4f38c1cf6f636215256459614d5752dd99ac2210a4a3,KGHM,2017-11,50,xgboost,,depth_imbalance,0.04521215954790991
153e385be5c510dc1b9d4f38c1cf6f636215256459614d5752dd99ac2210a4a3,KGHM,2017-11,50,xgboost,,microprice_minus_mid_bps,0.30531322758762497
153e385be5c510dc1b9d4f38c1cf6f636215256459614d5752dd99ac2210a4a3,KGHM,2017-11,50,xgboost,,ofi_l1_norm,0.10852618690423058
153e385be5c510dc1b9d4f38c1cf6f636215256459614d5752dd99ac2210a4a3,KGHM,2017-11,50,xgboost,,spread_bps,0.03350364511018276
153e385be5c510dc1b9d4f38c1cf6f636215256459614d5752dd99ac2210a4a3,KGHM,2017-11,50,xgboost,,top_imbalance,0.5074447808500517
375016d2d997c3b9b045bfffd1c38830ebb172415020adc097aa36670222ed5f,PEKAO,2017-04,10,xgboost,,depth_imbalance,0.049226019910496445
375016d2d997c3b9b045bfffd1c38830ebb172415020adc097aa36670222ed5f,PEKAO,2017-04,10,xgboost,,microprice_minus_mid_bps,0.25773699546969236
375016d2d997c3b9b045bfffd1c38830ebb172415020adc097aa36670222ed5f,PEKAO,2017-04,10,xgboost,,ofi_l1_norm,0.18069038176904614
375016d2d997c3b9b045bfffd1c38830ebb172415020adc097aa36670222ed5f,PEKAO,2017-04,10,xgboost,,spread_bps,0.0700867713725396
375016d2d997c3b9b045bfffd1c38830ebb172415020adc097aa36670222ed5f,PEKAO,2017-04,10,xgboost,,top_imbalance,0.44225983147822545
33f2bbb741b39f3b7c1beaf5bfcf5ceeba9222730f72de9c87564c2b7e799d19,PEKAO,2017-04,20,xgboost,,depth_imbalance,0.04694066026894584
33f2bbb741b39f3b7c1beaf5bfcf5ceeba9222730f72de9c87564c2b7e799d19,PEKAO,2017-04,20,xgboost,,microprice_minus_mid_bps,0.29197228742781994
33f2bbb741b39f3b7c1beaf5bfcf5ceeba9222730f72de9c87564c2b7e799d19,PEKAO,2017-04,20,xgboost,,ofi_l1_norm,0.1579873888279206
33f2bbb741b39f3b7c1beaf5bfcf5ceeba9222730f72de9c87564c2b7e799d19,PEKAO,2017-04,20,xgboost,,spread_bps,0.0648283840826849
33f2bbb741b39f3b7c1beaf5bfcf5ceeba9222730f72de9c87564c2b7e799d19,PEKAO,2017-04,20,xgboost,,top_imbalance,0.43827127939262867
5cd192e40f4432d6601fdfbee583b0adffe132c1302d3b88926b49c955e53e29,PEKAO,2017-04,50,xgboost,,depth_imbalance,0.05073403901597159
5cd192e40f4432d6601fdfbee583b0adffe132c1302d3b88926b49c955e53e29,PEKAO,2017-04,50,xgboost,,microprice_minus_mid_bps,0.3478460425795868
5cd192e40f4432d6601fdfbee583b0adffe132c1302d3b88926b49c955e53e29,PEKAO,2017-04,50,xgboost,,ofi_l1_norm,0.1483081646134201
5cd192e40f4432d6601fdfbee583b0adffe132c1302d3b88926b49c955e53e29,PEKAO,2017-04,50,xgboost,,spread_bps,0.06794640494215741
5cd192e40f4432d6601fdfbee583b0adffe132c1302d3b88926b49c955e53e29,PEKAO,2017-04,50,xgboost,,top_imbalance,0.3851653488488641
8bdd895ad51d5d5b0ce77a179774e41963a9207fd942c882ee29b72e01c4c79e,PEKAO,2017-06,10,xgboost,,depth_imbalance,0.037309763876409
8bdd895ad51d5d5b0ce77a179774e41963a9207fd942c882ee29b72e01c4c79e,PEKAO,2017-06,10,xgboost,,microprice_minus_mid_bps,0.215874932043359
8bdd895ad51d5d5b0ce77a179774e41963a9207fd942c882ee29b72e01c4c79e,PEKAO,2017-06,10,xgboost,,ofi_l1_norm,0.16832929160358398
8bdd895ad51d5d5b0ce77a179774e41963a9207fd942c882ee29b72e01c4c79e,PEKAO,2017-06,10,xgboost,,spread_bps,0.0690229342440134
8bdd895ad51d5d5b0ce77a179774e41963a9207fd942c882ee29b72e01c4c79e,PEKAO,2017-06,10,xgboost,,top_imbalance,0.5094630782326346
fb20d94a237ce797d287f1ecf719a178c2f76888783cc5bc9e1bdf4abac82f3b,PEKAO,2017-06,10,xgboost,7.0,depth_imbalance,0.20635823707896203
fb20d94a237ce797d287f1ecf719a178c2f76888783cc5bc9e1bdf4abac82f3b,PEKAO,2017-06,10,xgboost,7.0,microprice_minus_mid_bps,0.1962483976305263
