symbol,model,horizon,control_seed,ic,direction_accuracy,cost_coverage,selected_midpoint_diagnostic_bps,prediction_decile_monotonicity,symbol_month_blocks
KGHM,hist_gradient_boosting,10,,0.24196599879819863,0.6806686106773173,0.009745017368382153,1.6672570513900358,1.0,1
KGHM,hist_gradient_boosting,20,,0.2700559294463465,0.6640298288573753,0.05180939614514595,1.6124172999848392,1.0,1
KGHM,hist_gradient_boosting,50,,0.2698734556213676,0.6298861740544421,0.22348276763303368,1.6462274344334613,1.0,1
KGHM,linear,10,,0.23505761693184213,0.6839320097981645,0.00012898400162625036,0.7791634956724705,1.0,4
KGHM,linear,20,,0.2696269477291496,0.6657551688698367,0.015432107897117246,1.3518649798786524,1.0,4
KGHM,linear,50,,0.27360514505680883,0.6320934390909764,0.23658875200862955,1.4783425368266994,1.0,4
KGHM,xgboost,10,7.0,0.016429251928382262,0.5077910142484003,0.0,,0.7777777777777778,1
KGHM,xgboost,10,,0.24200084527168889,0.6855412816252809,0.018490389340396617,1.3906479293456022,1.0,4
KGHM,xgboost,20,7.0,0.00892454262701265,0.5007777190167854,0.0,,0.5555555555555556,1
KGHM,xgboost,20,,0.27559410235342197,0.6673881682468457,0.06687854976091247,1.4218374754494478,1.0,4
KGHM,xgboost,50,7.0,0.028383232064024773,0.5053125813922384,0.0,,0.7777777777777778,1
KGHM,xgboost,50,,0.2801846574525164,0.6353480280978845,0.2557163028595892,1.483438961455401,1.0,4
PEKAO,hist_gradient_boosting,10,,0.25242462974511815,0.6793750401969882,0.020950663536509713,1.4237109392330343,1.0,1
PEKAO,hist_gradient_boosting,20,,0.27228862661715286,0.656199883364922,0.1229972713915903,1.2883483142534726,1.0,1
PEKAO,hist_gradient_boosting,50,,0.25490859551227196,0.6210262881177707,0.34487887608700946,1.320146181867785,1.0,1
PEKAO,linear,10,,0.23364076321107366,0.665919594361944,0.00018313641682308877,0.9919088753772982,1.0,4
PEKAO,linear,20,,0.25436454640603884,0.6450696053052017,0.09466399228836447,1.2300085998903096,1.0,4
PEKAO,linear,50,,0.2340892809136152,0.6117381048010195,0.3500709708106435,1.2683853882388543,1.0,4
PEKAO,xgboost,10,7.0,-0.010148734589571214,0.4962789073769513,0.0,,0.4444444444444444,1
PEKAO,xgboost,10,,0.24300752192262878,0.6703368304836954,0.038344975191668865,1.260262918224032,1.0,4
PEKAO,xgboost,20,7.0,0.010898420846860057,0.5009324731496331,0.0,,0.6666666666666666,1
PEKAO,xgboost,20,17.0,-0.004558677284335746,0.4966528162511542,0.0,,0.3333333333333333,1
PEKAO,xgboost,20,29.0,0.052781354462752374,0.526124435048841,0.0,,0.7777777777777778,1
PEKAO,xgboost,20,,0.2624764948128473,0.6484658577467596,0.12781595298325216,1.2597205530938673,1.0,4
