adverse_before_fill,control_seed,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.1043064867,,1098436,0.0657043287,0.0789158403,86684,50,retain,1,-0.2520487,-0.642676052,86683,86684,-0.475173972,86684,-0.7923450907,84229,31.1871164229,796.1864514637,32.0,600.0,xgboost,2017-04,0.8262411283,1098436,170.0,1572.0,0.0037480563,5.1277793869,4.3463041596,86683,86684,4.68149505,86684,4.020479836,84229,KGHM,0.9210841597,0
0.1134567694,,1098436,0.0716464136,0.0863691649,94871,50,retain,5,-0.2192935844,-0.5955659429,94871,94871,-0.4285489921,94871,-0.7008478443,82325,30.3760158531,782.8605262391,31.0,585.0,linear,2017-04,0.8107955311,1098436,150.0,1565.0,0.0041012858,4.9829997789,4.2304237687,94871,94871,4.5644745533,94871,3.8729011474,82325,KGHM,0.9136308351,0
0.1118799821,,1098436,0.0712767972,0.0858019948,94248,50,retain,5,-0.2320779884,-0.6137820709,94247,94248,-0.4464896604,94248,-0.7181893137,81660,30.5687123334,771.9789555331,31.0,573.0,xgboost,2017-04,0.8129185496,1098436,149.0,1549.0,0.0039246711,5.0960623591,4.3324525059,94247,94248,4.6672060951,94248,3.9749735111,81660,KGHM,0.9141980052,0
0.0207468276,,1099156,0.0030432441,0.0034881309,3834,10,reset,0,0.0381213793,-0.1057206732,3834,3834,0.0482699041,3834,0.0771014667,3834,7.7837767345,819.9153468661,8.0,620.0,linear,2017-04,0.9761071222,1099156,190.0,1598.0,0.0001028062,4.0514455759,3.7637526909,3834,3834,4.0717810987,3834,4.1293959972,3834,KGHM,0.9965118691,0
0.0202992114,,1099156,0.0028976779,0.0033416549,3673,10,reset,0,0.0581381081,-0.0975390939,3672,3672,0.0860244224,3672,0.0970300578,3673,7.7884563027,807.5888627274,8.0,607.0,xgboost,2017-04,0.9766921165,1099156,182.0,1584.0,0.0001109943,4.1675593803,3.8561574165,3672,3672,4.2233751637,3672,4.2453212436,3673,KGHM,0.9966583451,0
0.0220751195,,1099156,0.0040594784,0.0046408335,5101,10,reset,1,0.1758027512,-0.0032239894,5101,5101,0.2333615504,5101,0.1556817576,4112,7.5042148598,810.1057247561,8.0,611.0,linear,2017-04,0.97374531,1099156,177.0,1590.0,0.0001200921,4.1860752121,3.828009715,5101,5101,4.301209632,5101,4.0101762678,4112,KGHM,0.9953591665,0
0.0217048353,,1099156,0.003530891,0.0040840427,4489,10,reset,1,0.1193704943,-0.0509303931,4488,4488,0.1567661607,4488,0.1436004623,3541,7.6108264647,799.366287406,8.0,601.0,xgboost,2017-04,0.9746405424,1099156,172.0,1576.0,0.0001237313,4.1722473387,3.8315963625,4488,4488,4.2470838562,4488,4.0914246325,3541,KGHM,0.9959159573,0
0.0255596112,,1099156,0.0051967146,0.0059855016,6579,10,reset,5,0.1756533309,0.0176405066,6579,6579,0.2437604047,6579,0.2154396191,1405,7.3901808786,783.5397104688,8.0,586.0,linear,2017-04,0.9690917395,1099156,150.0,1566.0,0.0001519348,4.2285964563,3.9125474265,6579,6579,4.3647984239,6579,3.6763493117,1405,KGHM,0.9940144984,0
0.025293043,,1099156,0.004634465,0.0054023269,5938,10,reset,5,0.135379394,-0.021440608,5937,5937,0.1746097547,5937,0.2284340109,1175,7.4708656113,774.8037339559,8.0,577.0,xgboost,2017-04,0.9699169181,1099156,150.0,1551.0,0.0001555739,4.2237588082,3.9100626964,5937,5937,4.3022379177,5937,3.7789837811,1175,KGHM,0.9945976731,0
0.0415705166,,1098976,0.013718225,0.0160385668,17626,20,reset,0,-0.1479626264,-0.4099214548,17626,17626,-0.2399752624,17626,-0.2357025371,17626,14.2106547146,819.8875525944,15.0,620.0,linear,2017-04,0.944073392,1098976,190.0,1598.0,0.0006378665,4.2582106122,3.7342789059,17626,17626,4.0741931537,17626,4.0827197936,17626,KGHM,0.9839614332,0
