adverse_before_fill,control_seed,decile,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.0465833999,,1,110168,0.0183174788,0.0202327355,2229,10,retain,1,0.5008859586,0.4590484165,2229,2229,0.7470875442,2229,0.4005255439,1937,6.9869896815,119.2520967976,7.0,120.0,linear,2017-04,0.9348540411,110168,67.0,166.0,0.0002450802,4.873412767,4.7897285575,2229,2229,5.3657826521,2229,4.4545180514,1937,KGHM,0.9797672645,0
0.0303295103,,2,109860,0.0044966321,0.0050427817,554,10,retain,1,-0.1405695892,-0.171911425,554,554,-0.1153802151,554,-0.1573690962,422,7.6913357401,228.4602949208,8.0,230.0,linear,2017-04,0.9650919352,109860,190.0,269.0,8.19224e-05,4.3381420597,4.2755064669,554,554,4.3886536552,554,4.2539278329,422,KGHM,0.9949572183,0
0.0234057603,,3,110272,0.0039175856,0.0047337493,522,10,retain,1,0.19084429,0.0350006334,522,522,0.1642037562,522,0.17262575,412,7.561302682,329.3490913378,8.0,328.0,linear,2017-04,0.9723955311,110272,290.0,372.0,0.000281123,3.9906792747,3.6791594688,522,522,3.937627122,522,3.734122166,412,KGHM,0.9952662507,0
0.0204372233,,4,109555,0.0033590434,0.0039432249,432,10,retain,1,-0.1385173391,-0.8912835404,432,432,-0.4689628212,432,-0.2207062909,333,7.8796296296,436.8663228515,8.0,435.0,linear,2017-04,0.9760303044,109555,395.0,483.0,0.0001734289,3.3491371605,1.84361707,432,432,2.6881495372,432,3.1838849004,333,KGHM,0.9960567751,0
0.0195074571,,5,110163,0.0030046386,0.0036128283,398,10,retain,1,-0.3665011145,-0.1918605718,398,398,-0.2320719855,398,-0.1019127648,302,7.9748743719,547.491308334,8.0,546.0,linear,2017-04,0.9773517424,110163,500.0,600.0,0.0001361619,3.4662765436,3.8153806216,398,398,3.7350729457,398,3.862026711,302,KGHM,0.9963871717,0
0.0194298051,,6,110243,0.0023312138,0.0029298912,323,10,retain,1,0.0552752918,-0.3646697594,323,323,0.0277584377,323,-0.0640548095,252,7.9969040248,679.3627259781,8.0,679.0,linear,2017-04,0.9780847764,110243,623.0,736.0,0.0001542048,3.3154128725,2.4754471692,323,323,3.2604399158,323,3.1646305695,252,KGHM,0.9970701088,0
0.0149746031,,7,110053,0.0019536042,0.0022807193,251,10,retain,1,-0.424294583,-0.7861882627,251,251,-0.4652697843,251,-0.2560963238,176,8.171314741,833.0359917494,9.0,832.0,linear,2017-04,0.9830627062,110053,766.0,903.0,9.0865e-06,2.7441158483,2.020282868,251,251,2.6621763998,251,2.9532234391,176,KGHM,0.9977192807,0
0.0175930507,,8,109134,0.0016951637,0.001942566,212,10,retain,1,-0.0459270331,-0.7159818744,212,212,-0.5204696046,212,-0.0875408624,158,8.2735849057,1031.993411769,8.0,1025.0,linear,2017-04,0.9806568072,109134,943.0,1130.0,5.49783e-05,3.3588913833,2.0186868822,212,212,2.4098549446,212,3.4546651267,158,KGHM,0.998057434,0
0.0156321086,,9,109902,0.0010008917,0.0011191789,123,10,retain,1,0.7579510816,0.0239631092,123,123,0.5469051465,123,0.6324281876,84,8.4715447154,1343.8011137195,9.0,1330.0,linear,2017-04,0.9833215046,109902,1186.0,1529.0,4.54951e-05,4.4656619816,2.997566792,123,123,4.0436014231,123,3.9164342289,84,KGHM,0.9988808211,0
0.0127770796,,10,109806,0.0004735625,0.0005190973,57,10,retain,1,-0.5366777518,-0.6550633889,57,57,-0.8917725723,57,-0.3936538394,36,8.5789473684,2557.4094584995,9.0,2090.0,linear,2017-04,0.986731144,109806,1662.0,4007.0,1.82139e-05,2.7447222201,2.5076130584,57,57,2.0344753269,57,3.0330538074,36,KGHM,0.9994809027,0
