model,horizon,control_seed,latency,interpretation,adverse_before_fill,eligible_decisions,fill_before_adverse,fill_probability,fills,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions,blocks,adverse_before_fill_defined_blocks,eligible_decisions_defined_blocks,fill_before_adverse_defined_blocks,fill_probability_defined_blocks,fills_defined_blocks,markout_1_defined_blocks,markout_10_defined_blocks,markout_10_observations_defined_blocks,markout_1_observations_defined_blocks,markout_5_defined_blocks,markout_5_observations_defined_blocks,markout_remaining_defined_blocks,markout_remaining_observations_defined_blocks,mean_fill_time_defined_blocks,mean_queue_ahead_defined_blocks,median_fill_time_defined_blocks,median_queue_ahead_defined_blocks,no_event_fraction_defined_blocks,placed_orders_defined_blocks,queue_ahead_p10_defined_blocks,queue_ahead_p90_defined_blocks,simultaneous_defined_blocks,spread_1_defined_blocks,spread_10_defined_blocks,spread_10_observations_defined_blocks,spread_1_observations_defined_blocks,spread_5_defined_blocks,spread_5_observations_defined_blocks,spread_remaining_defined_blocks,spread_remaining_observations_defined_blocks,unfilled_fraction_defined_blocks,zero_signal_decisions_defined_blocks
xgboost,20,7.0,5,reset,0.12325527144000001,912368.0,0.03950609838,0.053084839679999996,46826.4,-0.09200420043999999,-0.36491744778,46785.2,46820.4,-0.22575497052000001,46801.0,-0.1392163904,30332.6,12.94768726224,995.32624529696,13.2,675.4,0.8340555971200001,912368.0,139.4,2170.8,0.00318303308,5.182820964719999,4.63947636436,46785.2,46820.4,4.9164578002,46801.0,4.76819717516,30332.6,0.94691516032,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,20,7.0,5,retain,0.12325527144000001,912368.0,0.03950609838,0.053084839679999996,46826.4,-0.09200420043999999,-0.36491744778,46785.2,46820.4,-0.22575497052000001,46801.0,-0.1392163904,30332.6,12.94768726224,995.32624529696,13.2,675.4,0.8340555971200001,912368.0,139.4,2170.8,0.00318303308,5.182820964719999,4.63947636436,46785.2,46820.4,4.9164578002,46801.0,4.76819717516,30332.6,0.94691516032,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,20,17.0,0,reset,0.1209774319,657478.0,0.0650911513,0.0804331095,52883.0,-0.2960651335,-0.546494884,52883.0,52883.0,-0.4490646039,52883.0,-0.4383161117,52883.0,12.8859746989,684.0836271328,13.0,401.0,0.810174637,657478.0,82.0,1497.0,0.0037567797,3.7615346766,3.2606807549,52883.0,52883.0,3.4555401152,52883.0,3.4770343803,52883.0,0.9195668905,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,20,17.0,0,retain,0.1209774319,657478.0,0.0650911513,0.0804331095,52883.0,-0.2960651335,-0.546494884,52883.0,52883.0,-0.4490646039,52883.0,-0.4383161117,52883.0,12.8859746989,684.0836271328,13.0,401.0,0.810174637,657478.0,82.0,1497.0,0.0037567797,3.7615346766,3.2606807549,52883.0,52883.0,3.4555401152,52883.0,3.4770343803,52883.0,0.9195668905,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,20,17.0,1,reset,0.1203188548,657478.0,0.0650789836,0.0802308214,52750.0,-0.2957046765,-0.5420885622,52750.0,52750.0,-0.4515061284,52750.0,-0.4264734152,49124.0,12.8951469194,683.9706362798,13.0,401.0,0.8108499448,657478.0,82.0,1495.0,0.0037522168,3.7856858534,3.292923737,52750.0,52750.0,3.4740861375,52750.0,3.473165504,49124.0,0.9197691786,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,20,17.0,1,retain,0.1203188548,657478.0,0.0650789836,0.0802308214,52750.0,-0.2957046765,-0.5420885622,52750.0,52750.0,-0.4515061284,52750.0,-0.4264734152,49124.0,12.8951469194,683.9706362798,13.0,401.0,0.8108499448,657478.0,82.0,1495.0,0.0037522168,3.7856858534,3.292923737,52750.0,52750.0,3.4740861375,52750.0,3.473165504,49124.0,0.9197691786,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,20,17.0,5,reset,0.1187522624,657478.0,0.0651261335,0.0799311916,52553.0,-0.295837888,-0.5370881779,52553.0,52553.0,-0.4517496357,52553.0,-0.3319280593,34262.0,12.9159134588,682.3875490891,13.0,402.0,0.8123541776,657478.0,81.0,1491.0,0.0037674264,3.8076422381,3.3251381249,52553.0,52553.0,3.4958158283,52553.0,3.4308285855,34262.0,0.9200688084,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,20,17.0,5,retain,0.1187522624,657478.0,0.0651261335,0.0799311916,52553.0,-0.295837888,-0.5370881779,52553.0,52553.0,-0.4517496357,52553.0,-0.3319280593,34262.0,12.9159134588,682.3875490891,13.0,402.0,0.8123541776,657478.0,81.0,1491.0,0.0037674264,3.8076422381,3.3251381249,52553.0,52553.0,3.4958158283,52553.0,3.4308285855,34262.0,0.9200688084,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,20,29.0,0,reset,0.1099276326,657478.0,0.0577905268,0.0703399962,46247.0,-0.2694050812,-0.5075826183,46247.0,46247.0,-0.4161390793,46247.0,-0.3978827442,46247.0,13.0201526586,757.9004362123,13.0,456.0,0.829061961,657478.0,86.0,1650.0,0.0032198796,3.9560636531,3.479663064,46247.0,46247.0,3.6625617405,46247.0,3.699070898,46247.0,0.9296600038,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xgboost,20,29.0,0,retain,0.1099276326,657478.0,0.0577905268,0.0703399962,46247.0,-0.2694050812,-0.5075826183,46247.0,46247.0,-0.4161390793,46247.0,-0.3978827442,46247.0,13.0201526586,757.9004362123,13.0,456.0,0.829061961,657478.0,86.0,1650.0,0.0032198796,3.9560636531,3.479663064,46247.0,46247.0,3.6625617405,46247.0,3.699070898,46247.0,0.9296600038,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
