model,horizon,control_seed,latency,interpretation,decile,adverse_before_fill,eligible_decisions,fill_before_adverse,fill_probability,fills,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions,blocks,adverse_before_fill_defined_blocks,eligible_decisions_defined_blocks,fill_before_adverse_defined_blocks,fill_probability_defined_blocks,fills_defined_blocks,markout_1_defined_blocks,markout_10_defined_blocks,markout_10_observations_defined_blocks,markout_1_observations_defined_blocks,markout_5_defined_blocks,markout_5_observations_defined_blocks,markout_remaining_defined_blocks,markout_remaining_observations_defined_blocks,mean_fill_time_defined_blocks,mean_queue_ahead_defined_blocks,median_fill_time_defined_blocks,median_queue_ahead_defined_blocks,no_event_fraction_defined_blocks,placed_orders_defined_blocks,queue_ahead_p10_defined_blocks,queue_ahead_p90_defined_blocks,simultaneous_defined_blocks,spread_1_defined_blocks,spread_10_defined_blocks,spread_10_observations_defined_blocks,spread_1_observations_defined_blocks,spread_5_defined_blocks,spread_5_observations_defined_blocks,spread_remaining_defined_blocks,spread_remaining_observations_defined_blocks,unfilled_fraction_defined_blocks,zero_signal_decisions_defined_blocks
linear,10,,0,retain,1,0.068344768765,86438.25,0.01125256174,0.014624856189999999,1270.5,0.2133068958,0.28161084447999996,1269.95,1270.45,0.32348277483,1270.45,0.26600216645999997,1270.5,7.31037283591,229.68390201759,7.6,234.975,0.919632073875,86438.25,133.85,321.65,0.00077059562,5.77227713822,5.909991754225,1269.95,1270.45,5.99258624834,1270.45,5.87754554538,1270.5,0.98537514381,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,2,0.050362355995,87754.4,0.007063598615,0.00924818119,779.75,0.00656873018,-0.10199960637000001,778.9,779.7,-0.031407691030000004,779.25,0.016340348580000004,779.75,7.569376649735,443.88818393005505,7.9,450.9,0.9419694263049999,87754.4,364.15,512.1,0.00060461909,5.08518160868,4.871754565310001,778.9,779.7,5.01197954944,779.25,5.10488914234,779.75,0.99075181881,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,3,0.04254404515,79322.65,0.005349355,0.006867627465,532.5,-0.11152350071499999,-0.36973932412,532.1,532.5,-0.25883479565,532.15,-0.10274124097000001,532.5,7.72333654276,610.6010852721,8.05,612.35,0.951576406435,79322.65,543.65,674.75,0.000530193425,4.306247459805,3.78980163612,532.1,532.5,4.011531202285,532.15,4.3238132145999995,532.5,0.993132372535,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,4,0.03986930643,84993.1,0.00445184782,0.00563316088,465.2,-0.097905800645,-0.45258933271,464.65,465.2,-0.29822682881,465.05,-0.089328179935,465.2,7.871578431854999,780.3159317853699,8.15,779.85,0.9552943830649999,84993.1,709.15,853.9,0.000384462695,4.386834304015,3.6840899707699997,464.65,465.2,3.986958256645,465.05,4.403988960835,465.2,0.9943668391199999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,5,0.036653977845,83698.35,0.0036521056850000004,0.004582780485,366.3,-0.17125298226000002,-0.557305768215,365.85,366.3,-0.35987026462,366.2,-0.16264278370500002,366.3,7.983599411465001,970.35544849583,8.1,968.8,0.95933266267,83698.35,890.6,1052.75,0.00036125381,3.8905876329149995,3.122519559565,365.85,366.3,3.51330201038,366.2,3.9078411604300003,366.3,0.9954172195150001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,6,0.03529098532,84008.95,0.003331050035,0.004145407764999999,333.8,-0.170356646585,-0.57471322114,333.35,333.8,-0.402640545275,333.55,-0.178070981145,333.8,8.05129570663,1183.018503919545,8.25,1181.9,0.96108992225,84008.95,1094.7,1272.7,0.00028804237999999996,3.6842824524599997,2.876155382515,333.35,333.8,3.218410883075,333.55,3.6688540042600004,333.8,0.995854592235,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,7,0.032590292435,84295.1,0.0028271658800000004,0.0035240989899999998,282.65,-0.35509174990500003,-0.73463370715,282.25,282.65,-0.509556053635,282.55,-0.251352788335,282.65,8.21649802511,1441.454784098045,8.675,1438.575,0.9643225372399999,84295.1,1325.3,1563.5,0.000260004425,3.06682115256,2.31206514565,282.25,282.65,2.75814589298,282.55,3.2743146636950002,282.65,0.9964759010099999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,8,0.031148651700000002,84266.1,0.00199976296,0.00254818788,206.1,-0.1877816378,-0.699582504565,205.35,206.1,-0.414533095005,205.85,-0.14707003971,206.1,8.310078526045,1794.149609678375,8.75,1785.0,0.966621626475,84266.1,1632.0549999999998,1970.75,0.00022995887,2.92879174739,1.92136545217,205.35,206.1,2.472254745175,205.85,3.0102023667299997,206.1,0.9974518121200001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,9,0.029977682235000004,84302.75,0.0012922879550000001,0.0016810262650000002,137.15,-0.21308854861499998,-0.7925065157100001,136.95,137.15,-0.597187860235,137.15,-0.23371267704999998,137.15,8.367008571265,2369.847521623005,8.85,2343.25,0.9685605626299999,84302.75,2079.95,2710.4,0.000169467155,2.74746213544,1.593869261535,136.95,137.15,1.979180343645,137.15,2.70616197611,137.15,0.9983189737349999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,0,retain,10,0.0284858679,84275.05,0.000986260345,0.0012414757550000001,96.5,-0.31507354791000003,-0.8758033126000001,96.15,96.5,-0.5731394938650001,96.5,-0.273255808015,96.5,8.31501848377,4718.41656435869,8.775,3764.3,0.970437679805,84275.05,2959.08,6982.655000000001,9.019195999999999e-05,2.95541071682,1.8266484788650001,96.15,96.5,2.439282181155,96.5,3.03906773419,96.5,0.9987585242450001,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,1,0.08135888837000001,87288.15,0.016430120070000002,0.021678694935,1901.3,0.29310444564,0.27764361259000003,1899.95,1901.1,0.368807744955,1900.9,0.271040903995,1615.35,6.976403669270001,211.02083148255002,7.05,214.7,0.9012337684449999,87288.15,114.9,303.75,0.0009772231100000001,5.10847284999,5.079429185945,1899.95,1901.1,5.26052210925,1900.9,4.861209995379999,1615.35,0.9783213050649999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,2,0.0552606123,85283.4,0.008484531775,0.01103662564,904.15,0.042800878005,-0.04264063531,903.2,904.05,0.043686342154999995,903.55,0.08179256363000001,733.05,7.464589811074999,422.145685213305,7.85,426.95,0.9355828420650001,85283.4,344.2,494.3,0.00067201384,4.999405218495,4.831337547705,903.2,904.05,5.002908543805001,903.55,4.96066301865,733.05,0.9889633743599999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,3,0.045840241739999996,80975.85,0.00601014106,0.00775217455,606.65,-0.067988245525,-0.327311903485,606.05,606.65,-0.189461018855,606.2,-0.02048379919,481.1,7.627736227540001,591.582104958405,7.9,592.45,0.94758525234,80975.85,525.4,657.1,0.000564364865,4.4157767227,3.8967746125250002,606.05,606.65,4.172334109095,606.2,4.444875256035,481.1,0.99224782545,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,4,0.041459625625,84066.95,0.0047749737899999995,0.006085127505,500.1,-0.10076750316000001,-0.47614960744,499.45,500.1,-0.31749951277,499.9,-0.06071358926,388.95,7.815858449329999,762.1852887927,8.1,762.55,0.9533476292299999,84066.95,691.3,833.85,0.00041777135,4.30829282935,3.5637252953800003,499.45,500.1,3.8757127151349997,499.9,4.37426707693,388.95,0.993914872495,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,5,0.037908024375,84377.6,0.00385532507,0.004861098815,392.85,-0.150637141355,-0.538382210365,392.4,392.85,-0.33849298782,392.7,-0.11394894561999999,298.35,7.969554271274999,952.5286784013349,8.15,950.65,0.95784219814,84377.6,872.2,1035.59,0.00039445241499999997,3.8525960087050004,3.080609547965,392.4,392.85,3.4771599047999997,392.7,3.871897716755,298.35,0.995138901185,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,6,0.036012055919999994,84317.75,0.0033986153,0.00424127499,340.5,-0.182269154,-0.583359897455,340.0,340.5,-0.41395396843,340.2,-0.155653435165,255.45,8.06844398482,1167.8318853256849,8.2,1166.975,0.9602976039550001,84317.75,1078.8,1258.65,0.000291724825,3.665414807995,2.864064962585,340.0,340.5,3.2008977215100005,340.2,3.717275936355,255.45,0.99575872501,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,7,0.032656942615000004,84415.6,0.00291235777,0.0036171731749999997,288.2,-0.326803351505,-0.728244740085,287.8,288.2,-0.49895890539500004,288.1,-0.194816596135,211.85,8.207388509294999,1426.487705390955,8.65,1423.6,0.96416328882,84415.6,1309.9,1549.75,0.000267410765,3.07986260352,2.28106400418,287.8,288.2,2.73575704868,288.1,3.324371806195,211.85,0.9963828268249999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,8,0.031022894439999997,84111.55,0.002036290055,0.002591045375,207.4,-0.19408538824000002,-0.7478710054050001,206.6,207.4,-0.43561327993,207.1,-0.13814331228,147.4,8.31836853113,1779.6184604089601,8.75,1770.1,0.96669764754,84111.55,1617.85,1956.5,0.00024316795000000002,2.943012156305,1.8502336923249998,206.6,207.4,2.456362079205,207.1,3.026734091065,147.4,0.9974089546249999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,9,0.02948145658,84249.05,0.001311359475,0.00170726166,138.4,-0.197094582445,-0.782673521235,138.2,138.4,-0.585757417745,138.4,-0.167185327485,95.7,8.374492942235,2354.434640976725,8.85,2327.3,0.9690334007900001,84249.05,2065.2349999999997,2694.15,0.000173783125,2.755069497575,1.588696025635,138.2,138.4,1.97766407967,138.4,2.800018644395,95.7,0.99829273834,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,reset,10,0.027776749375,84268.8,0.0009754018100000001,0.00122614681,95.35,-0.30942134713499997,-0.8691066878999999,95.0,95.35,-0.558128206005,95.35,-0.26376155229,66.7,8.325931075345,4690.352863794576,8.8,3742.3,0.9711587292700001,84268.8,2942.9,6928.969999999999,8.911952e-05,2.9720177326600004,1.8454851681050002,95.0,95.35,2.4746144283450002,95.35,3.019759994245,66.7,0.99877385319,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,retain,1,0.08135888837000001,87288.15,0.016430120070000002,0.021678694935,1901.3,0.29310444564,0.27764361259000003,1899.95,1901.1,0.368807744955,1900.9,0.271040903995,1615.35,6.976403669270001,211.02083148255002,7.05,214.7,0.9012337684449999,87288.15,114.9,303.75,0.0009772231100000001,5.10847284999,5.079429185945,1899.95,1901.1,5.26052210925,1900.9,4.861209995379999,1615.35,0.9783213050649999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,retain,2,0.0552606123,85283.4,0.008484531775,0.01103662564,904.15,0.042800878005,-0.04264063531,903.2,904.05,0.043686342154999995,903.55,0.08179256363000001,733.05,7.464589811074999,422.145685213305,7.85,426.95,0.9355828420650001,85283.4,344.2,494.3,0.00067201384,4.999405218495,4.831337547705,903.2,904.05,5.002908543805001,903.55,4.96066301865,733.05,0.9889633743599999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,retain,3,0.045840241739999996,80975.85,0.00601014106,0.00775217455,606.65,-0.067988245525,-0.327311903485,606.05,606.65,-0.189461018855,606.2,-0.02048379919,481.1,7.627736227540001,591.582104958405,7.9,592.45,0.94758525234,80975.85,525.4,657.1,0.000564364865,4.4157767227,3.8967746125250002,606.05,606.65,4.172334109095,606.2,4.444875256035,481.1,0.99224782545,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,10,,1,retain,4,0.041459625625,84066.95,0.0047749737899999995,0.006085127505,500.1,-0.10076750316000001,-0.47614960744,499.45,500.1,-0.31749951277,499.9,-0.06071358926,388.95,7.815858449329999,762.1852887927,8.1,762.55,0.9533476292299999,84066.95,691.3,833.85,0.00041777135,4.30829282935,3.5637252953800003,499.45,500.1,3.8757127151349997,499.9,4.37426707693,388.95,0.993914872495,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
