interpretation,horizon,latency,metric,blocks,defined_blocks,mean_delta,median_delta,wins,ci_low,ci_high,without_KGHM,without_PKNORLEN,without_PKOBP,without_PZU,without_PEKAO,without_2017-04,without_2017-06,without_2017-09,without_2017-11
reset,10,0,fill_probability,20,20,-0.00021253791999999985,-0.00023526145,2,-0.00028057951124999995,-0.00014421336849999985,-0.00019032222499999984,-0.0002555562874999999,-0.00023734208124999984,-0.00018759554999999987,-0.0001918734562499999,-0.00021173475333333318,-0.0002048382399999999,-0.00023046727999999987,-0.00020311140666666656
reset,10,0,fill_before_adverse,20,20,-0.0001456935100000001,-0.00014336055000000012,4,-0.00020067082612500002,-9.114883662500002e-05,-0.0001213671062500001,-0.00017596133125000006,-0.0001651367000000001,-0.00013981851250000006,-0.00012618390000000002,-0.00013597804,-0.00014661180000000005,-0.00016374827333333342,-0.00013643592666666676
reset,10,0,markout_5,20,20,0.0004533690449999961,-0.000383300799999986,10,-0.013753386787750007,0.013401885261249991,-0.00030140978750000475,-0.0024338267562500028,0.0026643361562499936,0.0036873811624999957,-0.0013496355500000013,-0.007294352926666669,-0.0025553981266666736,0.003281397513333332,0.008381829719999996
reset,10,0,spread_5,20,20,0.07454109956999999,0.051864377499999836,15,0.012486689825749867,0.13628439365687492,0.05927866286875,0.07720696413749997,0.05021197979375003,0.09361891196249997,0.09238897908749999,0.09010860939999994,0.06734751904666665,0.060072184800000004,0.08063608503333336
reset,10,1,fill_probability,20,20,-0.0003244127650000001,-0.0003121953500000007,0,-0.0003811681986249999,-0.00026670267587500024,-0.00029889594375000016,-0.0003441461875000001,-0.00034872756250000004,-0.0003231168000000001,-0.00030717733125,-0.00032232880666666666,-0.0003158649800000001,-0.00034162162666666676,-0.00031783564666666676
reset,10,1,fill_before_adverse,20,20,-0.0002542126599999999,-0.0002701331999999993,1,-0.0003083821252499998,-0.0001983991623749999,-0.00022344456249999986,-0.00026129423749999983,-0.00028218765624999986,-0.0002678291937499999,-0.00023630765000000009,-0.00024506140666666657,-0.0002515232466666666,-0.00026842343333333325,-0.0002518425533333332
reset,10,1,markout_5,20,20,-0.013832842995000002,-0.013635323600000004,6,-0.026367874033500004,-0.0022366056297500095,-0.011769596381250006,-0.011260587475000007,-0.014474733625000008,-0.013806186362500007,-0.01785311113125,-0.012607329786666673,-0.017099165086666677,-0.01496368332666667,-0.010661193780000007
reset,10,1,spread_5,20,20,0.050376253330000106,0.022796108450000352,11,9.41668347500632e-05,0.10401336931537512,0.040763663868750105,0.05064254485625014,0.04068258976250008,0.05689960846875017,0.06289285969375005,0.07937657247333346,0.035549337926666764,0.029589570166666797,0.05698953275333342
reset,10,5,fill_probability,20,20,-0.00022404934499999996,-0.00021603950000000007,1,-0.00028770791937499985,-0.0001615962597500002,-0.00019379540624999992,-0.00023438849374999996,-0.00025490938125000004,-0.00022272446874999996,-0.0002144289749999999,-0.00020317439333333322,-0.0002225813733333335,-0.00025117093333333336,-0.00021927067999999976
reset,10,5,fill_before_adverse,20,20,-0.00018682302000000003,-0.0001871347000000005,2,-0.00024672319262500017,-0.00012878615612500006,-0.0001563592625,-0.00019456746875,-0.00021160073125000005,-0.00019886351250000004,-0.00017272412500000006,-0.0001626905266666668,-0.00019286499999999994,-0.00021235195999999999,-0.0001793845933333334
