symbol,horizon_events,feature_set,model,fold,day,negative_control,n_test,ic,direction_accuracy,cost_coverage,mean_abs_markout_bps,mean_signed_markout_after_cost_bps
PEKAO,10,spread,linear,1,2017-01-03,False,40621,-0.005612045064461795,0.49910569105691055,0.0,1.0244944332252044,
PEKAO,10,spread,linear,1,2017-01-03,True,40621,0.005612045064461795,0.5039837398373984,0.0,1.0244944332252044,
PEKAO,10,spread,linear,2,2017-01-04,False,45485,-0.033871003047515065,0.5107315598548973,0.0,0.8921301228568822,
PEKAO,10,spread,linear,2,2017-01-04,True,45485,0.033871003047515065,0.5017382103990327,0.0,0.8921301228568822,
PEKAO,10,spread,linear,3,2017-01-05,False,20691,-0.059664944490494164,0.48344370860927155,0.0,0.7439959293290249,
PEKAO,10,spread,linear,3,2017-01-05,True,20691,0.059664944490494164,0.5044999150959416,0.0,0.7439959293290249,
PEKAO,10,spread,linear,4,2017-01-09,False,42009,-0.008558636434010886,0.47763374109914186,0.0,0.7043053634426805,
PEKAO,10,spread,linear,4,2017-01-09,True,42009,-0.008558636434010886,0.4756253423406975,0.0,0.7043053634426805,
PEKAO,10,spread,linear,5,2017-01-10,False,32364,-0.013033914775652996,0.49591676921355854,0.0,0.7532148607046824,
PEKAO,10,spread,linear,5,2017-01-10,True,32364,0.013033914775652996,0.49233695044188386,0.0,0.7532148607046824,
PEKAO,10,spread,linear,6,2017-01-11,False,18492,-0.03740220421793232,0.49160929432013767,0.0,0.680915000607559,
PEKAO,10,spread,linear,6,2017-01-11,True,18492,0.03740220421793232,0.4939759036144578,0.0,0.680915000607559,
PEKAO,10,spread,linear,7,2017-01-12,False,37020,0.03582803063412078,0.47752529441034997,0.0,0.908851117296522,
PEKAO,10,spread,linear,7,2017-01-12,True,37020,-0.03582803063412078,0.47346160225576384,0.0,0.908851117296522,
PEKAO,10,spread,linear,8,2017-01-13,False,19922,-0.027855793627164952,0.4757627118644068,0.0,0.7460039644481214,
PEKAO,10,spread,linear,8,2017-01-13,True,19922,0.027855793627164952,0.4757627118644068,0.0,0.7460039644481214,
PEKAO,10,spread,linear,9,2017-01-16,False,58110,0.02021421846553365,0.528464177397703,0.0,1.2838882230790947,
PEKAO,10,spread,linear,9,2017-01-16,True,58110,-0.02021421846553365,0.528464177397703,0.0,1.2838882230790947,
PEKAO,10,spread,tree,1,2017-01-03,False,40621,0.027731599297494244,0.5082926829268293,0.003938849363629649,1.0244944332252044,-0.6638013278491066
PEKAO,10,spread,tree,1,2017-01-03,True,40621,0.014817671018450026,0.5039837398373984,0.0,1.0244944332252044,
PEKAO,10,spread,tree,2,2017-01-04,False,45485,-0.06458533271642397,0.4344770253929867,0.031197097944377267,0.8921301228568822,-1.368280043332391
PEKAO,10,spread,tree,2,2017-01-04,True,45485,-0.04217471092833048,0.5118651753325272,0.0,0.8921301228568822,
PEKAO,10,spread,tree,3,2017-01-05,False,20691,-0.025865513274703773,0.45389709628120223,0.0,0.7439959293290249,
PEKAO,10,spread,tree,3,2017-01-05,True,20691,0.01336254344859159,0.5044999150959416,0.0,0.7439959293290249,
PEKAO,10,spread,tree,4,2017-01-09,False,42009,0.054185621658947684,0.5367902136205952,0.0,0.7043053634426805,
PEKAO,10,spread,tree,4,2017-01-09,True,42009,0.020153970640865555,0.47243016249771774,0.0,0.7043053634426805,
PEKAO,10,spread,tree,5,2017-01-10,False,32364,-0.018596313662194414,0.46280344557556774,0.0,0.7532148607046824,
PEKAO,10,spread,tree,5,2017-01-10,True,32364,-0.02702867651386189,0.49233695044188386,0.0,0.7532148607046824,
PEKAO,10,spread,tree,6,2017-01-11,False,18492,0.033797742787989984,0.5230206540447504,0.0,0.680915000607559,
PEKAO,10,spread,tree,6,2017-01-11,True,18492,-0.004138749742250309,0.48085197934595525,0.0,0.680915000607559,
PEKAO,10,spread,tree,7,2017-01-12,False,37020,-0.005552074824975061,0.46972964007298057,0.020583468395461914,0.908851117296522,-1.2518800387522209
PEKAO,10,spread,tree,7,2017-01-12,True,37020,0.06443323249941683,0.47346160225576384,0.0,0.908851117296522,
PEKAO,10,spread,tree,8,2017-01-13,False,19922,0.004893711241527604,0.4993220338983051,0.0,0.7460039644481214,
PEKAO,10,spread,tree,8,2017-01-13,True,19922,0.0049269688787956884,0.4738983050847458,0.0,0.7460039644481214,
PEKAO,10,spread,tree,9,2017-01-16,False,58110,0.014024430846459546,0.5145428329935863,0.0,1.2838882230790947,
PEKAO,10,spread,tree,9,2017-01-16,True,58110,0.0018396217784692208,0.5292596827922239,0.0,1.2838882230790947,
PEKAO,10,imbalance,linear,1,2017-01-03,False,40621,0.2185095182431181,0.6717073170731708,0.0,1.0244944332252044,
PEKAO,10,imbalance,linear,1,2017-01-03,True,40621,-0.07198118504928139,0.5039837398373984,0.0,1.0244944332252044,
PEKAO,10,imbalance,linear,2,2017-01-04,False,45485,0.2457372494821955,0.6942261185006046,0.0,0.8921301228568822,
PEKAO,10,imbalance,linear,2,2017-01-04,True,45485,-0.12316176047720126,0.5017382103990327,0.0,0.8921301228568822,
PEKAO,10,imbalance,linear,3,2017-01-05,False,20691,0.2840290077357767,0.7383256919680761,0.0,0.7439959293290249,
PEKAO,10,imbalance,linear,3,2017-01-05,True,20691,0.07018479364182284,0.5084055017829853,0.0,0.7439959293290249,
PEKAO,10,imbalance,linear,4,2017-01-09,False,42009,0.25221435832251726,0.7049479642139858,0.0,0.7043053634426805,
PEKAO,10,imbalance,linear,4,2017-01-09,True,42009,-0.14718094050194908,0.47608179660398026,0.0,0.7043053634426805,
PEKAO,10,imbalance,linear,5,2017-01-10,False,32364,0.24408324230238576,0.70030204720886,0.0,0.7532148607046824,
PEKAO,10,imbalance,linear,5,2017-01-10,True,32364,-0.09898982200334541,0.49166573442219486,0.0,0.7532148607046824,
PEKAO,10,imbalance,linear,6,2017-01-11,False,18492,0.27300568557701543,0.71815834767642,0.0,0.680915000607559,
PEKAO,10,imbalance,linear,6,2017-01-11,True,18492,0.16399339170897378,0.523881239242685,0.0,0.680915000607559,
PEKAO,10,imbalance,linear,7,2017-01-12,False,37020,0.24917074868223127,0.6717531929009786,0.0,0.908851117296522,
PEKAO,10,imbalance,linear,7,2017-01-12,True,37020,-0.16683204224032064,0.47346160225576384,0.0,0.908851117296522,
PEKAO,10,imbalance,linear,8,2017-01-13,False,19922,0.23439695070152974,0.6925423728813559,0.0,0.7460039644481214,
PEKAO,10,imbalance,linear,8,2017-01-13,True,19922,-0.15198413128499597,0.44796610169491524,0.0,0.7460039644481214,
PEKAO,10,imbalance,linear,9,2017-01-16,False,58110,0.19682297043267682,0.6358574056580322,0.0,1.2838882230790947,
PEKAO,10,imbalance,linear,9,2017-01-16,True,58110,0.017903747323977367,0.527668672003182,0.0,1.2838882230790947,
PEKAO,10,imbalance,tree,1,2017-01-03,False,40621,0.16490519877108395,0.6370731707317073,0.07934319686861475,1.0244944332252044,-0.6907948137488491
PEKAO,10,imbalance,tree,1,2017-01-03,True,40621,0.0019888001265747596,0.5020325203252033,0.0,1.0244944332252044,
PEKAO,10,imbalance,tree,2,2017-01-04,False,45485,0.21956112495218294,0.6735187424425635,0.040650763988127954,0.8921301228568822,-0.4134493277279903
PEKAO,10,imbalance,tree,2,2017-01-04,True,45485,0.017609333049283138,0.5111094316807738,0.0,0.8921301228568822,
PEKAO,10,imbalance,tree,3,2017-01-05,False,20691,0.27839724951741407,0.7204958397011377,0.028998115122517036,0.7439959293290249,-0.4323060829972794
PEKAO,10,imbalance,tree,3,2017-01-05,True,20691,0.013273182752470395,0.5044999150959416,0.0,0.7439959293290249,
PEKAO,10,imbalance,tree,4,2017-01-09,False,42009,0.2589131639179057,0.6954537155377031,0.01835321002642291,0.7043053634426805,-0.2978649570074001
PEKAO,10,imbalance,tree,4,2017-01-09,True,42009,-0.066750611596908,0.4756253423406975,0.0,0.7043053634426805,
PEKAO,10,imbalance,tree,5,2017-01-10,False,32364,0.23299080294929672,0.684192862736324,0.016654307254974663,0.7532148607046824,-0.06253338086625657
PEKAO,10,imbalance,tree,5,2017-01-10,True,32364,-0.01539055772324594,0.49233695044188386,0.0,0.7532148607046824,
PEKAO,10,imbalance,tree,6,2017-01-11,False,18492,0.28114423496035185,0.7211703958691911,0.011626649361886222,0.680915000607559,0.08267300655575247
PEKAO,10,imbalance,tree,6,2017-01-11,True,18492,0.045451818581332105,0.5357142857142857,0.0,0.680915000607559,
PEKAO,10,imbalance,tree,7,2017-01-12,False,37020,0.24756218699972715,0.6669431083098358,0.011399243652079958,0.908851117296522,-0.4319750422813928
PEKAO,10,imbalance,tree,7,2017-01-12,True,37020,-0.0528934311378541,0.4150771272184442,0.0,0.908851117296522,
