symbol,horizon_events,feature_set,model,negative_control,test_day_count,n_test,ic,direction_accuracy,cost_coverage,mean_abs_markout_bps,mean_signed_markout_after_cost_bps
PEKAO,10,microprice,linear,False,9,314714,0.2360596241491979,0.6822817521508406,0.006046759915351716,0.9127606039930125,-0.08556729680493501
PEKAO,10,microprice,linear,True,9,314714,-0.025092248014111015,0.48065040996246,0.0,0.9127606039930125,
PEKAO,10,microprice,tree,False,9,314714,0.23116728256965474,0.6760392628119916,0.048628278373380275,0.9127606039930125,-0.1478656893080382
PEKAO,10,microprice,tree,True,9,314714,-0.010372722851828931,0.4858826156774749,0.0,0.9127606039930125,
PEKAO,20,microprice,linear,False,9,314624,0.2711835006701216,0.6652080344332855,0.17300333096013018,1.5458405032601434,0.12169228865692946
PEKAO,20,microprice,linear,True,9,314624,-0.00874629455352017,0.4982326855354115,9.535191212367779e-06,1.5458405032601434,-1.8028611790655837
PEKAO,20,microprice,tree,False,9,314624,0.2584047827054863,0.6550867353593322,0.1766044548413344,1.5458405032601434,0.07377434246030458
PEKAO,20,microprice,tree,True,9,314624,-0.002410545240863948,0.5005021520803443,0.0,1.5458405032601434,
PEKAO,50,microprice,linear,False,9,314354,0.275837230880899,0.6373085688726065,0.46952798437430415,2.8612386109115047,0.3565868479732312
PEKAO,50,microprice,linear,True,9,314354,-0.049681998129230326,0.4972672474387101,2.5449016077415908e-05,2.8612386109115047,-0.6424250833987335
PEKAO,50,microprice,tree,False,9,314354,0.2606166218919409,0.6252529340348038,0.43272552599935105,2.8612386109115047,0.3390630807926829
PEKAO,50,microprice,tree,True,9,314354,-0.04220529017002193,0.502920189993397,0.0,2.8612386109115047,
