symbol,horizon_events,feature_set,model,negative_control,test_day_count,n_test,ic,direction_accuracy,cost_coverage,mean_abs_markout_bps,mean_signed_markout_after_cost_bps
PEKAO,10,spread,linear,False,9,314714,-0.0003368065539481577,0.4986334584667085,0.0,0.9127606039930125,
PEKAO,10,spread,linear,True,9,314714,0.0010176949300141683,0.4983463252262504,0.0,0.9127606039930125,
PEKAO,10,spread,tree,False,9,314714,-0.003905845352746594,0.4900513649463486,0.007438499717203556,0.9127606039930125,-1.2822427097281983
PEKAO,10,spread,tree,True,9,314714,0.0013739760979529798,0.4988036114980911,0.0,0.9127606039930125,
PEKAO,10,imbalance,linear,False,9,314714,0.23094112231099181,0.6815798708963874,0.0,0.9127606039930125,
PEKAO,10,imbalance,linear,True,9,314714,-0.02372210160544171,0.4981442685014835,0.0,0.9127606039930125,
PEKAO,10,imbalance,tree,False,9,314714,0.21997991526656807,0.6690842576542277,0.027647324237243975,0.9127606039930125,-0.441521966175778
PEKAO,10,imbalance,tree,True,9,314714,-0.007882334969191171,0.4892325034828199,0.0,0.9127606039930125,
PEKAO,10,ofi,linear,False,9,314714,0.2326463000559496,0.6819095423946913,0.0002796189556232007,0.9127606039930125,0.1218804540988336
PEKAO,10,ofi,linear,True,9,314714,-0.024275492484745146,0.4972509650867249,0.0,0.9127606039930125,
PEKAO,10,ofi,tree,False,9,314714,0.22912749810470898,0.671126094030819,0.0487108930648144,0.9127606039930125,-0.10214553259356987
PEKAO,10,ofi,tree,True,9,314714,-0.008921714007365468,0.49422011421522233,0.0,0.9127606039930125,
PEKAO,10,microprice,linear,False,9,314714,0.2360596241491979,0.6822817521508406,0.006046759915351716,0.9127606039930125,-0.08556729680493501
PEKAO,10,microprice,linear,True,9,314714,-0.025092248014111015,0.48065040996246,0.0,0.9127606039930125,
PEKAO,10,microprice,tree,False,9,314714,0.23116728256965474,0.6760392628119916,0.048628278373380275,0.9127606039930125,-0.1478656893080382
PEKAO,10,microprice,tree,True,9,314714,-0.010372722851828931,0.4858826156774749,0.0,0.9127606039930125,
PEKAO,20,spread,linear,False,9,314624,-0.006599589623328709,0.4960936481022564,0.0,1.5458405032601434,
PEKAO,20,spread,linear,True,9,314624,-0.005250310957278946,0.49913916786226686,0.0,1.5458405032601434,
PEKAO,20,spread,tree,False,9,314624,-0.007344837795241885,0.48253554193295944,0.03355433787632221,1.5458405032601434,-0.7986270097934771
PEKAO,20,spread,tree,True,9,314624,0.00564549028678942,0.4999478283552889,0.0,1.5458405032601434,
PEKAO,20,imbalance,linear,False,9,314624,0.26505599399989743,0.6631472544671971,0.14948319263628967,1.5458405032601434,0.08339235534117702
PEKAO,20,imbalance,linear,True,9,314624,0.0034435426500348965,0.4991065605843224,0.0,1.5458405032601434,
PEKAO,20,imbalance,tree,False,9,314624,0.25111971054167553,0.6486370157819226,0.17212927176566314,1.5458405032601434,-0.007696227712097908
PEKAO,20,imbalance,tree,True,9,314624,-0.004085239959839558,0.500521716447111,0.0,1.5458405032601434,
PEKAO,20,ofi,linear,False,9,314624,0.2662753213648801,0.6638254858484414,0.14947683584214808,1.5458405032601434,0.09857088276105842
PEKAO,20,ofi,linear,True,9,314624,0.004788375760169346,0.49960219120907784,9.535191212367779e-06,1.5458405032601434,-1.8028611790655837
PEKAO,20,ofi,tree,False,9,314624,0.25728306863630956,0.6519368723098996,0.17631839910496339,1.5458405032601434,0.05632727683112483
PEKAO,20,ofi,tree,True,9,314624,-0.007238826318094427,0.49987609234381114,0.0,1.5458405032601434,
PEKAO,20,microprice,linear,False,9,314624,0.2711835006701216,0.6652080344332855,0.17300333096013018,1.5458405032601434,0.12169228865692946
PEKAO,20,microprice,linear,True,9,314624,-0.00874629455352017,0.4982326855354115,9.535191212367779e-06,1.5458405032601434,-1.8028611790655837
PEKAO,20,microprice,tree,False,9,314624,0.2584047827054863,0.6550867353593322,0.1766044548413344,1.5458405032601434,0.07377434246030458
PEKAO,20,microprice,tree,True,9,314624,-0.002410545240863948,0.5005021520803443,0.0,1.5458405032601434,
PEKAO,50,spread,linear,False,9,314354,-0.005174890574595292,0.4894672942980681,0.039649567048613985,2.8612386109115047,-0.35969568170087146
PEKAO,50,spread,linear,True,9,314354,-0.021493639108653918,0.5027029329698183,0.0,2.8612386109115047,
PEKAO,50,spread,tree,False,9,314354,-0.007619113354135042,0.48544164944940255,0.10215235053474744,2.8612386109115047,-0.8483632875647134
PEKAO,50,spread,tree,True,9,314354,-0.017949440251676073,0.5019617031246671,0.0,2.8612386109115047,
PEKAO,50,imbalance,linear,False,9,314354,0.272851822007334,0.6351913778781231,0.46416142310897907,2.8612386109115047,0.3305572768956215
PEKAO,50,imbalance,linear,True,9,314354,-0.04318350783872407,0.5022811987475772,0.0,2.8612386109115047,
PEKAO,50,imbalance,tree,False,9,314354,0.25312954164668877,0.6239579117766086,0.4459176597084815,2.8612386109115047,0.3066403635153744
PEKAO,50,imbalance,tree,True,9,314354,-0.043914803128903834,0.5018040852840316,0.0,2.8612386109115047,
PEKAO,50,ofi,linear,False,9,314354,0.27401012247550544,0.635723870582973,0.4642377701572113,2.8612386109115047,0.33585609503948427
PEKAO,50,ofi,linear,True,9,314354,-0.043047306763311415,0.5018253849922256,2.5449016077415908e-05,2.8612386109115047,-0.6424250833987335
PEKAO,50,ofi,tree,False,9,314354,0.25956668599020194,0.6255085305331317,0.44277470622292064,2.8612386109115047,0.3135107296825402
PEKAO,50,ofi,tree,True,9,314354,-0.04117470711272992,0.5027497923278451,0.0,2.8612386109115047,
PEKAO,50,microprice,linear,False,9,314354,0.275837230880899,0.6373085688726065,0.46952798437430415,2.8612386109115047,0.3565868479732312
PEKAO,50,microprice,linear,True,9,314354,-0.049681998129230326,0.4972672474387101,2.5449016077415908e-05,2.8612386109115047,-0.6424250833987335
PEKAO,50,microprice,tree,False,9,314354,0.2606166218919409,0.6252529340348038,0.43272552599935105,2.8612386109115047,0.3390630807926829
PEKAO,50,microprice,tree,True,9,314354,-0.04220529017002193,0.502920189993397,0.0,2.8612386109115047,
